Nr,In gebruik,Vraag NL,Antwoord,Bron,Uitkomst,Bewijszin
320,puzzel,"Hoeveel kilometer lang was de Romeinse rijksgrens, de Roman Limes, volgens UNESCO ongeveer?",5000,UNESCO World Heritage Centre — Frontiers of the Roman Empire,geen url,UNESCO World Heritage Centre — Frontiers of the Roman Empire
321,puzzel,Hoeveel koloniën kwamen in 1776 in opstand tegen Groot-Brittannië?,13,https://www.archives.gov/founding-docs/declaration,niet gevonden,
322,puzzel,Hoeveel letters telt ons Latijnse alfabet?,26,https://www.britannica.com/topic/Seven-Wonders-of-the-World,onbereikbaar,HTTP 403
323,puzzel,Hoeveel mensen werden geëvacueerd tijdens de evacuatie van Duinkerke?,338000,https://www.iwm.org.uk/history/what-was-the-dunkirk-evacuation,onbereikbaar,HTTP 403
325,puzzel,Hoeveel parachutisten werden tijdens D-Day achter de Duitse linies gedropt?,23000,https://www.iwm.org.uk/history/d-day-the-unheard-tapes,onbereikbaar,HTTP 403
327,puzzel,Hoeveel schepen ondersteunden de geallieerde landing in Normandië?,6000,https://www.iwm.org.uk/history/d-day-the-unheard-tapes,onbereikbaar,HTTP 403
328,puzzel,Hoeveel schepen telde de Spaanse Armada volgens de gebruikelijke telling?,130,https://www.britannica.com/event/Spanish-Armada,onbereikbaar,HTTP 403
329,puzzel,Hoeveel schepen werden ingezet bij de evacuatie van Duinkerke?,850,https://www.iwm.org.uk/history/what-was-the-dunkirk-evacuation,onbereikbaar,HTTP 403
330,puzzel,Hoeveel soldaten namen aan beide kanten samen deel aan de Slag bij Waterloo?,190000,https://www.britannica.com/event/Battle-of-Waterloo,onbereikbaar,HTTP 403
331,puzzel,Hoeveel soldaten telde het Franse leger bij Waterloo ongeveer?,73000,https://www.britannica.com/event/Battle-of-Waterloo,onbereikbaar,HTTP 403
332,puzzel,Hoeveel soldaten telde het leger van Napoleon tijdens de invasie van Rusland?,600000,https://www.britannica.com/event/Napoleonic-Wars,onbereikbaar,HTTP 403
334,puzzel,Hoeveel soldaten vochten tijdens de Slag om Gettysburg ongeveer mee?,165000,https://www.nps.gov/gett/learn/historyculture/civil-war-overview.htm,onbereikbaar,HTTP 404
345,puzzel,Hoeveel centimeter hoog is Michelangelo’s David?,517,Galleria dell’Accademia — David,geen url,Galleria dell’Accademia — David
349,puzzel,Hoeveel dwergplaneten worden in de NASA-overview genoemd?,5,https://www.museivaticani.va/content/museivaticani/en/collezioni/musei/cappella-sistina.html,niet gevonden,
350,puzzel,Hoeveel graden heeft een volledige cirkel?,360,https://www.galleriaaccademiafirenze.it/en/michelangelos-david/,onbereikbaar,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unabl
351,puzzel,Hoeveel landen ondertekenden de UNESCO-grondwet in 1945?,37,UNESCO — History and mission,geen url,UNESCO — History and mission
357,puzzel,Hoeveel dagen duurt de zwangerschap van een koe?,283,https://www.merckvetmanual.com/management-and-nutrition/management-of-reproduction-cattle,niet gevonden,
358,puzzel,Hoeveel dagen duurt de zwangerschap van een schaap?,152,https://www.merckvetmanual.com/management-and-nutrition/management-of-reproduction-sheep,niet gevonden,
360,puzzel,Hoeveel kilogram koffiebonen wordt wereldwijd jaarlijks geproduceerd?,10000000,https://www.ico.org/coffee-facts/,onbereikbaar,HTTP 404
361,puzzel,Hoeveel procent van de wereldbevolking werkt direct of indirect in de landbouw?,26,https://www.fao.org/statistics/en/,niet gevonden,
362,puzzel,Hoeveel ton bananen worden wereldwijd jaarlijks geproduceerd?,135000000,https://www.fao.org/faostat/en/#data/QCL,niet gevonden,
363,puzzel,Hoeveel ton koper wordt wereldwijd jaarlijks geproduceerd?,22000000,https://www.usgs.gov/centers/national-minerals-information-center/copper-statistics-and-information,niet gevonden,
364,puzzel,Hoeveel ton maïs werd wereldwijd geproduceerd in 2023?,1200000000,https://www.fao.org/faostat/en/#data/QCL,niet gevonden,
365,puzzel,Hoeveel ton suiker wordt wereldwijd jaarlijks geproduceerd?,180000000,https://www.fao.org/faostat/en/#data/QCL,niet gevonden,
366,puzzel,Hoeveel werknemers werken wereldwijd in de landbouw?,1000000000,https://www.ilo.org/industries-and-sectors/agriculture-plantations-other-rural-sectors,niet gevonden,
367,puzzel,Hoeveel IKEA-winkels zijn er wereldwijd ongeveer?,480,https://www.ikea.com/global/en/our-business/annual-summary-and-report/,onbereikbaar,HTTP 404
368,puzzel,Hoeveel Starbucks-winkels zijn er wereldwijd ongeveer?,40000,https://investor.starbucks.com/financial-data/annual-reports/default.aspx,onbereikbaar,HTTP 403
369,puzzel,Hoeveel restaurants heeft McDonald’s wereldwijd ongeveer?,42000,https://corporate.mcdonalds.com/corpmcd/investors/financial-information/annual-reports.html,onbereikbaar,The read operation timed out
370,puzzel,Hoeveel hectare bos gaat volgens FAO wereldwijd per jaar netto verloren?,4700000,https://www.fao.org/interactive/forest-resources-assessment/2020/en/,niet gevonden,
371,puzzel,Hoeveel liter water is volgens de gangbare berekening nodig om één kilogram rundvlees te produceren?,15000,https://www.waterfootprint.org/resources/interactive-tools/product-gallery/,niet gevonden,
372,puzzel,Hoeveel miljoen ton plastic afval lekt jaarlijks in de oceaan volgens een gangbare schatting?,19,https://www.unep.org/interactives/beat-plastic-pollution/,niet gevonden,
374,puzzel,Hoeveel procent van de extra warmte door klimaatverandering wordt door de oceanen opgenomen?,90,https://www.ipcc.ch/report/ar6/wg1/chapter/chapter-5/,getal gezien,"The excess heat generated by radiative forcing from increasing concentration of atmospheric CO 2 and other GHGs is mostly taken up by the ocean (&gt;90%) and the residual balance partitioned between atmospheric, terrestrial and ice melting (Cross-Chapter Box 9.2; Frölicher et al., 2015 )."
377,puzzel,Hoeveel procent van het voedsel dat wereldwijd wordt geproduceerd gaat verloren of wordt verspild?,33,https://www.unep.org/resources/report/unep-food-waste-index-report-2024,onbereikbaar,HTTP 404
378,puzzel,Hoeveel procent van het wereldwijde waterverbruik gaat naar landbouw?,70,https://www.fao.org/aquastat/en/overview/methodology/water-use,niet gevonden,
379,puzzel,Welk percentage van het zoete water bevindt zich in grondwater?,30,https://www.usgs.gov/special-topics/water-science-school/science/where-earths-water,bevestigd,Another 30 percent of freshwater is in the ground.
387,puzzel,Hoeveel noten bevat een standaard majeurtoonladder inclusief het herhaalde octaaf?,8,https://openstax.org/books/music-appreciation/pages/2-2-pitch-and-melody,onbereikbaar,HTTP 404
393,puzzel,Hoeveel snaren heeft een standaard viool?,4,https://www.britannica.com/art/violin,onbereikbaar,HTTP 403
398,puzzel,Hoeveel toetsen heeft een standaard piano?,88,https://www.yamaha.com/en/musical_instrument_guide/piano/structure/,bevestigd,"Piano with Automatic Accompaniment System in Beethoven's Day The Pianos Beloved by the Great Master, Sviatoslav Richter The Optimal Material for Piano Frames Is Also Ideal for Motorcycle Engines The Piano Soundboard Is a Board that Also Stops Vibrations Why Can't There Be More Than 88 Keys on a Piano?"
399,puzzel,Hoeveel toonstaven heeft een standaard marimba met vier octaven?,1,https://www.yamaha.com/en/musical_instrument_guide/marimba/structure/,niet gevonden,
402,puzzel,Hoeveel keer klopt een menselijk hart gemiddeld op één dag (bij rust)?,100800,https://physics.nist.gov/cgi-bin/cuu/Value?c,niet gevonden,
406,puzzel,Hoeveel millimeter per jaar groeit de Mount Everest gemiddeld?,4,https://ich.unesco.org/en/intangible-heritage-domains-00052,niet gevonden,
408,puzzel,Hoeveel windturbinebladen heeft een moderne windturbine meestal?,3,https://www.energy.gov/cmei/wind/articles/wind-turbines,onbereikbaar,HTTP 404
409,puzzel,Wat is de snelheid van het licht in vacuüm in kilometer per seconde?,300000,https://physics.nist.gov/cgi-bin/cuu/Value?c,niet gevonden,
412,puzzel,Hoeveel kilometer lang is de Nederlandse kustlijn ongeveer?,1500,https://www.rijkswaterstaat.nl/english,onbereikbaar,HTTP 404
415,puzzel,Hoeveel liter water gebruikt een gemiddeld huishouden per persoon per dag in Nederland?,129,https://www.nibud.nl/onderwerpen/rondkomen/water-en-energie/,onbereikbaar,HTTP 404
418,puzzel,Hoeveel provincies heeft Nederland?,12,https://www.government.nl/topics/provinces,niet gevonden,
425,puzzel,Hoeveel artikelen bevat de Franse Verklaring van de Rechten van de Mens en de Burger?,17,https://www.conseil-constitutionnel.fr/en/declaration-of-human-and-civic-rights-of-26-august-1789,bevestigd,"Article 17 Since the right to Property is inviolable and sacred, no one may be deprived thereof, unless public necessity, legally ascertained, obviously requires it, and just and prior indemnity has been paid."
427,puzzel,Hoeveel landen hebben een permanente zetel in de VN-Veiligheidsraad?,5,https://www.un.org/securitycouncil/content/current-members,niet gevonden,
428,puzzel,Hoeveel landen zijn lid van de NAVO?,32,https://www.nato.int/cps/en/natohq/topics_52044.htm,getal gezien,"Organization NATO member countries NATO member countries Updated: 11 March 2024 English русский français українська At present, NATO has 32 member countries."
432,puzzel,Hoeveel oorspronkelijke leden had de NAVO bij de oprichting in 1949?,12,https://www.nato.int/cps/en/natolive/topics_52044.htm,getal gezien,"Send new Code Back CONFIRM CODE Create a new password The password must be at least&nbsp;&lt;b>12 characters long, no spaces, include upper/lowercase letters, numbers and symbols.&lt;/b>&lt;/p>\r\n&#34;}}"" id=""text-937830746a"" class=""cmp-text""> The password must be at least 12 characters long, no spaces, include upper/"
433,puzzel,Uit hoeveel leden bestaat de VN-Veiligheidsraad in totaal?,15,https://www.un.org/securitycouncil/content/current-members,niet gevonden,
459,puzzel,Hoeveel Disneyland-resorts bestaan er wereldwijd?,6,https://disneyparks.disney.go.com/,onbereikbaar,The read operation timed out
460,puzzel,Hoeveel atomen bevat één molecuul water?,3,https://pubchem.ncbi.nlm.nih.gov/compound/Water,niet gevonden,
462,puzzel,Hoeveel elektronen deelt een enkelvoudige covalente binding?,2,https://openstax.org/books/chemistry-2e/pages/7-2-covalent-bonding,bevestigd,"For example, two hydrogen atoms bond covalently to form an H 2 molecule; each hydrogen atom in the H 2 molecule has two electrons stabilizing it, giving each atom the same number of valence electrons as the noble gas He."
463,puzzel,"Hoeveel elektronen heeft een natriumion, Na⁺?",10,https://openstax.org/books/chemistry-2e/pages/2-3-atomic-structure-and-symbolism,bevestigd,"The diameter of an atom is on the order of 10 −10 m, whereas the diameter of the nucleus is roughly 10 −15 m—about 100,000 times smaller."
464,puzzel,Hoeveel elementen bevat baking soda?,4,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium-bicarbonate,niet gevonden,
465,puzzel,"Hoeveel elementen bevat keukenzout, natriumchloride?",2,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium-chloride,niet gevonden,
466,puzzel,Hoeveel elementen bevat koolstofdioxide?,2,https://pubchem.ncbi.nlm.nih.gov/compound/Carbon-dioxide,bevestigd,Carbon Dioxide | CO2 | CID 280 - PubChem
467,puzzel,Hoeveel graden Celsius is het smeltpunt van aluminium ongeveer?,660,https://www.rsc.org/periodic-table/element/13/aluminium,niet gevonden,
468,puzzel,Hoeveel graden Celsius is het smeltpunt van tin ongeveer?,232,https://www.rsc.org/periodic-table/element/50/tin,niet gevonden,
471,puzzel,Hoeveel perioden heeft het moderne periodiek systeem?,7,https://iupac.org/what-we-do/periodic-table-of-elements/,bevestigd,"7, pp."
472,puzzel,Hoeveel procent azijnzuur bevat gewone huishoudazijn ongeveer?,5,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-B/part-169,getal gezien,"( 5 ) Sequestrant(s), including but not limited to calcium disodium EDTA (calcium disodium ethylenediamine- tetraacetate) and/or disodium EDTA (disodium ethylenediaminetetraacetate), may be used to preserve color and/or flavor."
473,puzzel,Hoeveel protonen heeft een neutraal atoom van uranium?,92,https://www.rsc.org/periodic-table/element/92/uranium,bevestigd,Allotropes U Uranium 92 238.029 Glossary Group A vertical column in the periodic table.
474,puzzel,Hoeveel protonen heeft een neutraal atoom van wolfraam?,74,https://www.rsc.org/periodic-table/element/74/tungsten,bevestigd,Allotropes W Tungsten 74 183.84 Glossary Group A vertical column in the periodic table.
476,puzzel,Welke pH-waarde heeft zuiver water bij kamertemperatuur ongeveer?,7,https://www.usgs.gov/special-topics/water-science-school/science/ph-and-water,bevestigd,"The range goes from 0 to 14, with 7 being neutral."
488,puzzel,Hoeveel stippen staan er in totaal op een standaard set van 28 dominostenen?,168,https://www.fidomino.org/,niet gevonden,
490,puzzel,Hoeveel stukken heeft iedere speler bij de start van schaken?,16,https://handbook.fide.com/chapter/E012023,bevestigd,2.2 At the beginning of the game White has 16 light-coloured pieces (the ‘white’ pieces); Black has 16 dark-coloured pieces (the ‘black’ pieces).
496,puzzel,Hoeveel meter is de afstand van de Olympische mannen-hordensprint?,110,https://worldathletics.org/about-iaaf/documents/book-of-rules,niet gevonden,
498,puzzel,Hoeveel minuten officiële speeltijd heeft een basketbalwedstrijd volgens de NBA-regels?,48,https://official.nba.com/rule-no-5-scoring-and-timing/,onbereikbaar,HTTP 403
499,puzzel,Hoeveel punten levert een safety op bij American football?,2,https://operations.nfl.com/the-rules/nfl-rulebook/,bevestigd,"On fields used primarily by the NFL, the professional inbounds hash marks should be 4 inches wide by 2 feet long."
500,puzzel,Hoeveel punten levert een vrije worp op bij basketbal?,1,https://www.fiba.basketball/official-basketball-rules,niet gevonden,
502,puzzel,Hoeveel spelers staan er per team op het veld bij handbal?,7,https://www.ihf.info/regulations-documents,niet gevonden,
503,puzzel,Hoeveel spelers staan er per voetbalteam op het veld?,11,https://www.theifab.com/laws/latest/the-players/,getal gezien,11 Goal Line Technology (GLT) 1 .
504,puzzel,Hoeveel spelers staan er tegelijk op het veld bij basketbal?,10,https://www.fiba.basketball/official-basketball-rules,niet gevonden,
505,puzzel,Hoeveel spelers staan er tegelijk op het veld bij een honkbalwedstrijd?,18,https://www.mlb.com/official-information/official-rules,onbereikbaar,HTTP 404
508,puzzel,Hoeveel Aardes passen er qua volume in de Zon?,1300000,https://whc.unesco.org/en/list/1631/,onbereikbaar,HTTP 403
509,puzzel,Hoeveel aardse dagen duurt een jaar op Jupiter ongeveer?,4333,https://science.nasa.gov/jupiter/facts/,getal gezien,"One day on Jupiter takes 9.9 hours (the time it takes for Jupiter to rotate or spin around once), and Jupiter makes a complete orbit around the Sun (a year in Jovian time) in about 12 Earth years (4,333 Earth days)."
510,puzzel,Hoeveel aardse dagen duurt een jaar op Venus ongeveer?,225,https://science.nasa.gov/venus/venus-facts/,getal gezien,"For one thing, your “day” would be 243 Earth days long — longer even than a Venus year (one trip around the Sun), which takes only 225 Earth days."
511,puzzel,Hoeveel aardse jaren duurt een jaar op Neptunus ongeveer?,165,https://science.nasa.gov/neptune/facts/,getal gezien,In 2011 Neptune completed its first 165-year orbit since its discovery in 1846.
514,puzzel,Hoeveel bekende manen heeft Saturnus volgens de gebruikte telling?,146,https://science.nasa.gov/saturn/moons/,niet gevonden,
515,puzzel,Hoeveel bekende manen heeft de planeet Jupiter officieel?,95,https://science.nasa.gov/jupiter/jupiter-moons/,niet gevonden,
516,puzzel,Hoeveel bekende manen heeft de planeet Saturnus officieel?,146,https://science.nasa.gov/saturn/moons/,niet gevonden,
518,puzzel,Hoeveel hoofdringen heeft Saturnus volgens de NASA-indeling?,7,https://science.nasa.gov/saturn/facts/,niet gevonden,
519,puzzel,Hoeveel ijsreuzen telt ons zonnestelsel?,2,https://science.nasa.gov/solar-system/planets/,niet gevonden,
520,puzzel,Hoeveel kilometer elektrische bekabeling zit er aan boord van het ISS?,13,https://www.christies.com/en/stories/leonardo-and-post-war-results-new-york-ad70dd5889e64989a76c94e4358c760d,niet gevonden,
521,puzzel,Hoeveel kilometer is de gemiddelde afstand van Mars tot de zon?,228000000,https://science.nasa.gov/mars/facts/,niet gevonden,
522,puzzel,Hoeveel kilometer is de gemiddelde afstand van Neptunus tot de zon?,4500000000,https://science.nasa.gov/neptune/facts/,niet gevonden,
525,puzzel,"Hoeveel miljard kilometer legt licht af in één lichtjaar, afgerond?",9460,https://whc.unesco.org/en/list/430/,onbereikbaar,HTTP 403
528,puzzel,Hoeveel planeten staan dichter bij de zon dan de aarde?,2,https://science.nasa.gov/solar-system/planets/,niet gevonden,
529,puzzel,Hoeveel planeten werden bezocht door het Voyager-programma?,4,https://science.nasa.gov/mission/voyager/,niet gevonden,
530,puzzel,Hoeveel uren duurde de historische Apollo 11-missie naar de maan?,195,https://www.nasa.gov/mission/apollo-11/,niet gevonden,
533,puzzel,In welk jaar werd de eerste mens in de ruimte gelanceerd?,1961,https://www.nasa.gov/mission/vostok-1/,onbereikbaar,HTTP 404
535,puzzel,Wat is de gemiddelde afstand van de aarde tot de maan?,384400,https://science.nasa.gov/moon/facts/,bevestigd,"The Moon is an average of 238,855 miles (384,400 kilometers) away."
536,puzzel,Wat is de gemiddelde afstand van de aarde tot de zon?,150000000,https://science.nasa.gov/sun/facts/,niet gevonden,
537,puzzel,Hoeveel cijfers heeft een standaard ISBN-13?,13,https://www.isbn-international.org/content/isbn-users-manual,onbereikbaar,HTTP 404
538,puzzel,Hoeveel letters bevat de domeinnaam-extensie .com?,3,https://www.icann.org/resources/pages/tlds-2012-02-25-en,niet gevonden,
539,puzzel,Hoeveel letters had het klassieke Latijnse alfabet?,23,https://www.britannica.com/topic/Latin-language,onbereikbaar,HTTP 403
540,puzzel,Hoeveel letters had het oorspronkelijke Morsealfabet ongeveer?,26,https://www.itu.int/en/ITU-R/terrestrial/fmd/Pages/morse.aspx,onbereikbaar,HTTP 404
543,puzzel,Hoeveel letters heeft het Russische alfabet?,33,https://www.britannica.com/topic/Cyrillic-alphabet,onbereikbaar,HTTP 403
545,puzzel,Hoeveel medeklinkerletters heeft het Thaise alfabet?,44,https://www.britannica.com/topic/Thai-language,onbereikbaar,HTTP 403
547,puzzel,Hoeveel pixels breed is een standaard 4K Ultra HD videoscherm?,3840,https://shop.cta.tech/products/consumer-technology-4k-ultra-high-definition-television,onbereikbaar,HTTP 404
548,puzzel,Hoeveel toetsen heeft een standaard computertoetsenbord ongeveer?,104,https://support.microsoft.com/windows/keyboard-shortcuts-in-windows,onbereikbaar,HTTP 404
551,puzzel,Hoeveel zijden heeft een hexagoon?,6,https://www.cisco.com/c/en/us/products/collateral/switches/what-is-the-osi-model.html,onbereikbaar,HTTP 404
555,puzzel,In welk jaar werd de eerste barcode in een winkel gescand?,1974,https://www.gs1.org/about-gs1/history,onbereikbaar,HTTP 403
556,puzzel,In welk jaar werd de eerste camera uitgevonden?,1816,https://www.britannica.com/technology/photography,onbereikbaar,HTTP 403
557,puzzel,In welk jaar werd de eerste commerciële cd uitgebracht?,1982,https://www.philips.com/a-w/about/news/archive/standard/news/articles/2022/20220817-40-years-of-the-cd.html,onbereikbaar,HTTP 404
558,puzzel,In welk jaar werd de eerste commerciële harde schijf geïntroduceerd?,1956,https://www.ibm.com/history/350-ramac,onbereikbaar,HTTP 404
560,puzzel,In welk jaar werd de eerste radio-uitzending gemaakt?,1906,https://www.britannica.com/technology/radio,onbereikbaar,HTTP 403
561,puzzel,In welk jaar werd de eerste sms verstuurd?,1992,https://www.vodafone.com/news/corporate-and-financial/30-years-of-sms,onbereikbaar,HTTP 404
565,puzzel,Hoeveel landen liggen op het Iberisch Schiereiland?,3,https://www.britannica.com/place/Iberian-Peninsula,onbereikbaar,HTTP 403
566,puzzel,Hoeveel landen vormen Centraal-Amerika?,7,https://www.britannica.com/place/Central-America,onbereikbaar,HTTP 403
567,puzzel,Hoeveel landen worden door de evenaar doorkruist?,13,https://www.britannica.com/place/Equator,onbereikbaar,HTTP 403
570,puzzel,Hoeveel kilometer lang is de Kanaaltunnel?,50,https://www.getlinkgroup.com/en/our-business/channel-tunnel/,onbereikbaar,HTTP 404
572,puzzel,Hoeveel kilometer per uur rijdt een hogesnelheidstrein zoals de TGV maximaal in reguliere dienst?,320,https://www.sncf.com/en/group/profile-and-key-figures,onbereikbaar,HTTP 403
573,puzzel,Hoeveel lijnen heeft de metro van Londen volgens de klassieke Underground-indeling?,11,https://tfl.gov.uk/corporate/about-tfl/what-we-do/london-underground,bevestigd,"Find out: How we're improving London's buses About the Superloop and transport in outer London London Underground London Underground, better known as the Tube , has 11 lines covering 402km and serving 272 stations."
574,puzzel,Hoeveel meter lang is een Airbus A380 ongeveer?,73,https://www.airbus.com/en/products-services/commercial-aircraft/passenger-aircraft/a380,getal gezien,"Read the full story Watch the video Airbus A380 in flight The A380: a unique aircraft CHARACTERISTICS The Airbus A380 is the largest passenger plane ever built , measuring 73 metres long with a wingspan of nearly 80 metres."
582,puzzel,Hoeveel vleugels heeft een passagiersvliegtuig?,2,https://www.faa.gov/regulations_policies/handbooks_manuals/aviation/phak,niet gevonden,
583,puzzel,Hoeveel wagons heeft een Eurostar-trein meestal in een volledige standaardtrein?,16,https://www.eurostar.com/rw-en/about-eurostar/company,onbereikbaar,HTTP 404
585,puzzel,Hoeveel wielen heeft een Formule 1-auto?,4,https://www.fia.com/regulation/category/110,niet gevonden,
588,puzzel,Hoeveel wielen heeft een tuk-tuk meestal?,3,https://www.britannica.com/technology/auto-rickshaw,onbereikbaar,HTTP 403
589,puzzel,In welk jaar reed de eerste auto met een verbrandingsmotor?,1886,https://www.britannica.com/technology/automobile,onbereikbaar,HTTP 403
590,puzzel,In welk jaar voer de eerste moderne onderzeeër succesvol?,1800,https://www.britannica.com/technology/submarine-naval-vessel,onbereikbaar,HTTP 403
591,puzzel,In welk jaar voer de eerste nucleaire onderzeeër uit?,1955,https://www.history.navy.mil/research/histories/ship-histories/danfs/n/nssn-571.html,onbereikbaar,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unabl
594,puzzel,Hoeveel deelverzamelingen heeft een verzameling met acht elementen?,256,https://www.britannica.com/science/set-theory,onbereikbaar,HTTP 403
596,puzzel,Hoeveel mogelijke worpen zijn er met drie gewone dobbelstenen?,216,https://www.britannica.com/science/combinatorics,onbereikbaar,HTTP 403
598,puzzel,Hoeveel verschillende uitkomsten heeft het gooien met twee gewone dobbelstenen?,11,https://www.britannica.com/science/probability-theory,onbereikbaar,HTTP 403
600,puzzel,Hoeveel zijden heeft een octagoon?,8,https://www.eia.gov/tools/faqs/faq.php?id=327&t=6,niet gevonden,
602,—,Hoeveel biljoen bacteriën leven er naar schatting in en op het menselijk lichaam?,38,https://whc.unesco.org/en/list/1321/,onbereikbaar,HTTP 403
603,—,Hoeveel botten zitten er in één menselijke voet en enkel?,26,https://my.clevelandclinic.org/health/body/24493-foot-anatomy,onbereikbaar,HTTP 404
604,—,Hoeveel duizend keer klopt een mensenhart per dag (bij rust)?,100,https://www.heart.org/en/healthy-living/fitness/fitness-basics/target-heart-rates,onbereikbaar,HTTP 403
605,—,Hoeveel liter bloed pompt een mensenhart gemiddeld per dag rond?,7500,https://mathworld.wolfram.com/PolygonDiagonal.html,niet gevonden,
607,—,Hoeveel liter zuurstof ademt een mens gemiddeld per dag in?,550,https://whc.unesco.org/en/list/1187/,onbereikbaar,HTTP 403
608,—,Hoeveel paar hersenzenuwen heeft een mens?,12,https://www.ncbi.nlm.nih.gov/books/NBK470353/,bevestigd,"In this section, we first outline the 12 cranial nerves in their anatomical order, followed by a brief overview of their functional groupings (see&#x000a0; Image.&#x000a0; Human&#x000a0;Brain&#x000a0;Cranial&#x000a0;Nerves)."
609,—,Hoeveel procent van het menselijk lichaam bestaat ongeveer uit water?,60,https://www.usgs.gov/special-topics/water-science-school/science/water-you-water-and-human-body,getal gezien,Up to 60% of the human adult body is water.
610,—,Hoeveel ribben heeft een menselijk lichaam in totaal?,24,https://health.clevelandclinic.org/how-many-ribs-do-humans-have,onbereikbaar,HTTP 404
611,—,Hoeveel spieren heeft het menselijk lichaam ongeveer?,600,https://my.clevelandclinic.org/health/body/21887-muscular-system,onbereikbaar,HTTP 404
612,—,Hoeveel vierkante centimeter is de totale oppervlakte van je huid?,18000,https://whc.unesco.org/en/list/1321/,onbereikbaar,HTTP 403
613,—,In welk jaar werd de eerste bloedtransfusie met succes uitgevoerd?,1818,https://www.britannica.com/science/blood-transfusion,onbereikbaar,HTTP 403
614,—,In welk jaar werd de eerste röntgenfoto gemaakt?,1895,https://www.nobelprize.org/prizes/physics/1901/roentgen/facts/,onbereikbaar,HTTP 404
616,—,Uit hoeveel verschillende basen bestaat DNA?,4,NHGRI — DNA Fact Sheet,geen url,NHGRI — DNA Fact Sheet
619,—,Hoeveel boeken bevat de Hebreeuwse Bijbel volgens de joodse indeling?,24,https://www.britannica.com/topic/Hebrew-Bible,onbereikbaar,HTTP 403
620,—,Hoeveel boeken bevat de katholieke Bijbel?,73,https://www.britannica.com/topic/biblical-canon,onbereikbaar,HTTP 403
624,—,Hoeveel hoofdstukken bevat Alice’s Adventures in Wonderland?,12,https://www.britannica.com/topic/Alices-Adventures-in-Wonderland,onbereikbaar,HTTP 403
625,—,Hoeveel snaren heeft een standaard akoestische gitaar?,6,https://www.poetryfoundation.org/education/glossary/haiku,onbereikbaar,HTTP 403
628,—,Hoeveel woorden telt À la recherche du temps perdu volgens Guinness World Records?,9609000,https://www.guinnessworldrecords.com/world-records/longest-novel,niet gevonden,
629,—,In welk jaar werd de eerste universiteit ter wereld gesticht volgens de traditionele telling?,859,https://www.guinnessworldrecords.com/world-records/oldest-university,niet gevonden,
631,—,Hoeveel kleuren heeft de vlag van Zuid-Afrika?,6,https://www.gov.za/about-sa/national-flag,niet gevonden,
632,—,Hoeveel vakken heeft een standaard eierdoos?,12,https://www.incredibleegg.org/eggcyclopedia/c/carton/,onbereikbaar,HTTP 404
636,—,Hoeveel dagen duurt de draagtijd van een olifant ongeveer?,660,https://animals.sandiegozoo.org/animals/elephant,niet gevonden,
639,—,Hoeveel eitjes kan een koninginnenbij per dag leggen?,2000,https://whc.unesco.org/en/criteria/,onbereikbaar,HTTP 403
641,—,Hoeveel jaar kan een reuzenschildpad ongeveer oud worden?,150,https://nationalzoo.si.edu/animals/aldabra-tortoise,getal gezien,Chyna weighs between 150 and 175 pounds.
642,—,Hoeveel kamers heeft de maag van een geit?,4,https://www.merckvetmanual.com/digestive-system/the-gastrointestinal-system-of-ruminants/overview-of-the-gastrointestinal-system-of-ruminants,onbereikbaar,HTTP 404
644,—,"Hoeveel kilogram voedsel (bladeren, gras, takken) eet een volwassen Afrikaanse olifant per dag?",150,https://animals.sandiegozoo.org/animals/african-elephant,onbereikbaar,HTTP 404
654,—,Hoeveel kilometer moet een bijenvolk gezamenlijk vliegen om één kilo honing te produceren?,90000,https://unesdoc.unesco.org/en/archives/about-unesco-history-and-mission,onbereikbaar,HTTP 403
659,—,Hoeveel magen heeft een koe?,4,https://www.merckvetmanual.com/digestive-system/the-gastrointestinal-system-of-ruminants/overview-of-the-gastrointestinal-system-of-ruminants,onbereikbaar,HTTP 404
666,—,Hoeveel paar chromosomen heeft een fruitvlieg Drosophila melanogaster?,4,https://flybase.org/,getal gezien,"( Qualtrics external link) #contributeBox.panel --> QuickSearch Human Disease Protein Domains Gene Groups Complexes Pathways Data Class Search FlyBase GO Homologs GAL4 etc Expression Phenotype References Search Species: include non-Dmel species --> Everything ID, Symbol, Name Everything &emsp;Click here to submit multi"
668,—,Hoeveel poten hebben volwassen kreeftachtigen van de orde Decapoda volgens de naam?,10,https://www.britannica.com/animal/decapod,onbereikbaar,HTTP 403
669,—,Hoeveel poten heeft een insect?,6,https://www.si.edu/spotlight/buginfo/insects,onbereikbaar,HTTP 403
670,—,Hoeveel poten heeft een kreeft?,10,https://www.fisheries.noaa.gov/species/american-lobster,bevestigd,"Appearance American lobster is a crustacean with a large shrimp-like body and 10 legs, two of which are large, strong claws."
681,—,Hoeveel spieren zitten er in de slurf van een olifant?,40000,https://whc.unesco.org/en/list/1613/,onbereikbaar,HTTP 403
682,—,Hoeveel tanden heeft een volwassen huiskat?,30,https://vcahospitals.com/know-your-pet/dental-disease-in-cats,niet gevonden,
