Nr,Status,Vraag NL,Antwoord,Bron,Artikel,Bewijszin,Toelichting,Gevonden via
936,bevestigd,Hoeveel meter hoog is Uluru?,348,https://nl.wikipedia.org/wiki/Uluru,Uluru,| hoogte = 863 (boven zeeniveau) / 348,"infobox-veld ""hoogte"" bevat het antwoord",artikel: Uluru
939,bevestigd,Hoeveel meter hoog is de Kilimanjaro?,5895,https://nl.wikipedia.org/wiki/Kilimanjaro_%28berg%29,Kilimanjaro (berg),| hoogte = 5895,"infobox-veld ""hoogte"" bevat het antwoord",artikel: Kilimanjaro
943,niet gevonden,Hoeveel meter hoog zijn de Victoriawatervallen?,108,,,,,
945,bevestigd,Hoeveel miljoen inwoners heeft Argentinië?,46,https://en.wikipedia.org/wiki/Argentina,Argentina,"| population_census = IncreaseNeutral 46,044,703 cite news |access-date=31 January 2023 |periodical= Página/12 |quote=La población argentina tiene actualmente 46.044.703 habitantes, es decir, 5.927.607 de personas más que las relevadas en el último censo, en 2010. En mayo de 2022, pocos días después del relevamiento, e","infobox-veld ""population_census"" bevat het antwoord",artikel: Argentina
949,niet gevonden,Hoeveel miljoen inwoners heeft Colombia?,52,,,,,
950,niet gevonden,Hoeveel miljoen inwoners heeft Mexico?,130,,,,,
951,niet gevonden,Hoeveel miljoen inwoners heeft Nieuw-Zeeland?,5,,,,,
954,niet gevonden,Hoeveel nationale parken telt de Verenigde Staten?,63,,,,,
956,bevestigd,Hoeveel talen erkent India als officiële taal?,22,https://en.wikipedia.org/wiki/Official_language,Official language,Second to Bolivia is India with 22 official languages.,getal staat in een zin over het onderwerp,artikel: many official languages
959,niet gevonden,Hoeveel procent van Australië is woestijn of droog gebied?,70,,,,,
963,niet gevonden,Hoeveel regio's telt Nieuw-Zeeland?,16,,,,,
964,niet gevonden,Hoeveel staatjes telt Micronesië als federatie?,4,,,,,
966,niet gevonden,Hoeveel sterren staan er op de Amerikaanse vlag?,50,,,,,
968,niet gevonden,Hoeveel territoria heeft Australië naast de staten?,2,,,,,
969,niet gevonden,Hoeveel tijdzones heeft Australië?,3,,,,,
970,niet gevonden,Hoeveel tijdzones heeft Nieuw-Zeeland?,2,,,,,
972,niet gevonden,Hoeveel tijdzones telt het vasteland van de VS?,4,,,,,
988,bevestigd,Hoeveel Wonderen van de Oude Wereld lagen in Azië of Noord-Afrika samen?,4,https://nl.wikipedia.org/wiki/Zeven_wereldwonderen_van_de_antieke_wereld,Zeven wereldwonderen van de antieke wereld,"== Achtergrond ==
De Griekse verovering van een groot deel van de toentertijd bekende wereld in de 4e eeuw v.Chr.",getal staat in een zin over het onderwerp,zoekopdracht: Wonderen van de Oude Wereld 4
998,niet gevonden,Hoeveel jaar duurde de Biafra-oorlog?,3,,,,,
1007,niet gevonden,Hoeveel landen ondertekenden het Verdrag van Rome in 1957?,6,,,,,
1008,niet gevonden,Hoeveel landen waren er bij de oprichting van de NAVO in 1949?,12,,,,,
1024,niet gevonden,Hoeveel vel papier zitten er in een standaard riem printpapier?,500,,,,,
1027,bevestigd,In welk jaar begon de Koreaanse oorlog?,1950,https://nl.wikipedia.org/wiki/Koreaanse_Oorlog,Koreaanse Oorlog,De Koreaanse Oorlog of Koreaoorlog is een in het Westen gebruikte naam voor een tussen 1950 en 1953 uitgevochten oorlog tussen het communistische Noord-Korea en het prowesterse Zuid-Korea.,getal staat in een zin over het onderwerp,artikel: Koreaanse
1039,bevestigd,In welk jaar werd Bolivia onafhankelijk van Spanje?,1825,https://nl.wikipedia.org/wiki/Bolivia,Bolivia,"Na het uitroepen van de onafhankelijkheid in 1809 volgde 16 jaar van oorlog alvorens de republiek, genoemd naar Simón Bolívar, op 6 augustus 1825 werd opgericht.",getal staat bij het gevraagde maatwoord,artikel: Bolivia
1041,bevestigd,In welk jaar werd Chili onafhankelijk van Spanje?,1818,https://en.wikipedia.org/wiki/Chile,Chile,| established_date2 = 12 February 1818,"infobox-veld ""established_date2"" bevat het antwoord",artikel: Chile
1047,bevestigd,In welk jaar werd Mexico onafhankelijk van Spanje?,1821,https://en.wikipedia.org/wiki/Mexico,Mexico,| established_date2 = 27 September 1821,"infobox-veld ""established_date2"" bevat het antwoord",artikel: Mexico
1048,bevestigd,In welk jaar werd Nelson Mandela vrijgelaten uit de gevangenis?,1990,https://en.wikipedia.org/wiki/Nelson_Mandela,Nelson Mandela,"Although some were deeply opposed to his plans, de Klerk met with Mandela in December to discuss the situation, a meeting both men considered friendly, before legalising all formerly banned political parties in February 1990 and announcing Mandela's unconditional release.",getal staat in een zin over het onderwerp,artikel: Nelson Mandela
1060,niet gevonden,Hoeveel bezoekers ontving het Louvre in 2023?,8900000,,,,,
1062,niet gevonden,Hoeveel kilogram weegt de Moai-beelden op Paaseiland gemiddeld?,12500,,,,,
1064,niet gevonden,Hoeveel officiële UNESCO-werelderfgoedlocaties heeft China volgens de UNESCO-werelderfgoedlijst?,59,,,,,
1065,niet gevonden,Hoeveel officiële UNESCO-werelderfgoedlocaties heeft Duitsland volgens de UNESCO-werelderfgoedlijst?,54,,,,,
1067,niet gevonden,Hoeveel panelen telt het Lam Gods van Van Eyck?,12,,,,,
1068,bevestigd,Hoeveel schilderijen worden aan Vincent van Gogh toegeschreven volgens de telling van het Van Gogh Museum?,900,https://nl.wikipedia.org/wiki/Vincent_van_Gogh_Vijfje,Vincent van Gogh Vijfje,"== De Vincent van Gogh-verzamelmunten ==


=== 5 euromunt ===
Metaal: zilver 925/1000
Gewicht: 11,9 gram
Diameter: 29 millimeter
Kwaliteit: Proof
Nominale waarde: € 5,-
Ontwerp: Karel Martens
Randschrift: God zij met ons


=== 10 euromunt ===
Metaal: goud 900/1000
Gewicht: 6,72 gram
Diameter: 22,5 millimeter
Kwaliteit:",getal staat in een zin over het onderwerp,zoekopdracht: Vincent van Gogh 900
1102,niet gevonden,Hoeveel knopen heeft een standaard overhemd meestal aan de voorkant?,7,,,,,
1105,niet gevonden,Hoeveel Grammy's won AC/DC?,1,,,,,
1107,niet gevonden,Hoeveel albums bracht AC/DC uit tot 2024 (studioalbums)?,17,,,,,
1109,niet gevonden,Hoeveel dansstijlen worden er klassiek onderscheiden in de Cubaanse rumba-familie (drie hoofdstijlen)?,3,,,,,
1112,niet gevonden,Hoeveel muzikanten telt een klassieke mariachiband?,10,,,,,
1116,niet gevonden,Hoeveel snaarinstrumenten bevat de klassieke Japanse koto-ensemble van hoort?,13,,,,,
1117,niet gevonden,Hoeveel snaren heeft de Ethiopische krar?,6,,,,,
1118,niet gevonden,Hoeveel snaren heeft een Indiase sitar?,20,,,,,
1119,niet gevonden,Hoeveel snaren heeft de West-Afrikaanse djembé als trommel?,0,,,,,
1121,niet gevonden,Hoeveel snaren heeft de klassieke Afrikaanse kora traditioneel?,21,,,,,
1123,niet gevonden,Hoeveel snaren heeft de klassieke Colombiaanse tiple?,12,,,,,
1124,niet gevonden,Hoeveel snaren heeft de klassieke Mexicaanse mariachi-gitarron (bajo sexto)?,12,,,,,
1125,niet gevonden,Hoeveel snaren heeft een klassieke Japanse koto?,13,,,,,
1128,niet gevonden,Hoeveel streams had Die With a Smile volgens Spotify’s 2025-lijst?,3442143544,,,,,
1129,niet gevonden,Hoeveel studioalbums bracht Kylie Minogue uit?,16,,,,,
1131,niet gevonden,Hoeveel studioalbums bracht The Beatles uit in het Verenigd Koninkrijk?,12,,,,,
1133,bevestigd,Hoeveel symfonieën schreef Mozart?,41,https://en.wikipedia.org/wiki/List_of_symphonies_by_Wolfgang_Amadeus_Mozart,List of symphonies by Wolfgang Amadeus Mozart,"== List of symphonies ==
  : Outside of original 41


== Adapted from serenades ==


== Doubtful authenticity ==


== Spurious authenticity ==


== See also ==
Mozart symphonies of spurious or doubtful authenticity
List of compositions by Wolfgang Amadeus Mozart


== Notes ==",getal staat in een zin over het onderwerp,artikel: many symphonies mozart
1134,niet gevonden,Hoeveel decibel veroorzaakt een gemiddeld gesprek op normale toon?,60,,,,,
1138,niet gevonden,Hoeveel meter diep is de Challengerdiepte in de Marianentrog?,10935,,,,,
1140,niet gevonden,Hoeveel meter per seconde meet een wind van windkracht 5?,10,,,,,
1144,niet gevonden,Hoeveel Hollandse waterlijnen kent de oude Nederlandsche Waterlinie?,3,,,,,
1146,niet gevonden,Hoeveel NL-postcodes cijfers heeft een Nederlandse postcode standaard (vier cijfers plus twee letters)?,4,,,,,
1147,niet gevonden,Hoeveel Nederlandse Nobelprijswinnaars zijn er?,21,,,,,
1148,niet gevonden,Hoeveel Nederlandse astronauten zijn er naar de ruimte gevlogen?,3,,,,,
1154,niet gevonden,Hoeveel duizend bladzijden telt het Woordenboek der Nederlandsche Taal?,45,,,,,
1155,niet gevonden,Hoeveel bruggen telt het klassieke orkestnummer Bruggetje van Sainte Anneï in de titel niet?,0,,,,,
1156,niet gevonden,Hoeveel dagen duurt de Alvleeskliervlaamse Wielerweek Vredeskoers niet?,0,,,,,
1157,niet gevonden,Hoeveel dagen duurt de Nederlands Dans Theater-productie Stop-Motion doorgaans per seizoensblok?,3,,,,,
1162,niet gevonden,Hoeveel duizend inwoners heeft Rotterdam?,670,,,,,
1163,bevestigd,Hoeveel eenheden telt de Nederlandse duizendguldenbiljet-collectie uit 1970?,1,https://nl.wikipedia.org/wiki/Nederlandse_1_gulden,Nederlandse 1 gulden,Het 1 guldenstuk of gulden is een Nederlandse munt die vanaf het einde van de 13e eeuw tot 28 januari 2002 heeft gecirculeerd.,getal staat in een zin over het onderwerp,zoekopdracht: Nederlandse 1
1167,niet gevonden,Hoeveel graden Celsius is de gemiddelde zomertemperatuur in Nederland?,18,,,,,
1170,niet gevonden,Hoeveel gram boter gaat in de klassieke Nederlandse boterkoek per 10 porties?,250,,,,,
1171,niet gevonden,Hoeveel gram suiker bevat een standaard reep chocolade van Droste van 100 gram ongeveer?,55,,,,,
1172,niet gevonden,Hoeveel gram weegt een stroopwafel van het merk Daelmans standaard?,32,,,,,
1173,niet gevonden,Hoeveel duizend inwoners heeft Amsterdam?,933,,,,,
1175,niet gevonden,Hoeveel kapstokkaarten telt een standaard Nederlandse Mens-erger-je-niet?,4,,,,,
1177,niet gevonden,Hoeveel keer per jaar publiceert het CBS de driejaarlijkse woondenquête?,1,,,,,
1179,niet gevonden,Hoeveel keer won Oranje de FIFA World Cup bij de mannen?,0,,,,,
1180,niet gevonden,Hoeveel duizend kilometer fietspad telt Nederland?,35,,,,,
1184,bevestigd,Hoeveel kilometer lang is de HSL-Zuid hogesnelheidslijn?,125,https://en.wikipedia.org/wiki/HSL-Zuid,HSL-Zuid,| linelength = cvt|125|km,"infobox-veld ""linelength"" bevat het antwoord",artikel: HSL-Zuid
1185,niet gevonden,Hoeveel kilometer van de Maas ligt in Nederland?,250,,,,,
1186,niet gevonden,Hoeveel kilometer lang is het metronet van Rotterdam?,78,,,,,
1188,niet gevonden,Hoeveel kilometer lang is de Noord-Zuidlijn Amsterdam?,9,,,,,
1189,niet gevonden,Hoeveel kilometer lang is de Van Brienenoordbrug hoofdspansegment?,300,,,,,
1194,niet gevonden,Hoeveel kinderen heeft koning Willem-Alexander?,3,,,,,
1195,bevestigd,Hoeveel klokken hangen er in het carillon van de Utrechtse Domtoren?,50,https://en.wikipedia.org/wiki/Carillon,Carillon,"A ""concert"" or ""standard"" carillon typically has 45 to 50 bells, or a range of about four octaves.",getal staat in een zin over het onderwerp,artikel: many bells carillon
1197,niet gevonden,Hoeveel vierkante kilometer groot is de provincie Utrecht?,1449,,,,,
1198,niet gevonden,"Hoeveel koppen bevat de Nederlandse driehoek bestuursniveaus (rijk, provincie, gemeente)?",3,,,,,
1203,niet gevonden,Hoeveel landen kocht de VOC formeel aan als koloniale gebieden?,0,,,,,
1208,niet gevonden,Hoeveel liter melk drinkt een Nederlander per jaar?,50,,,,,
1209,niet gevonden,Hoeveel liter melk geeft een gemiddelde Nederlandse koe per jaar?,9200,,,,,
1212,bevestigd,Hoeveel meter diep is het Zeelandbrug het hoogste punt voor schepen?,16,https://nl.wikipedia.org/wiki/Zeelandbrug,Zeelandbrug,| hoogte = 16,"infobox-veld ""hoogte"" bevat het antwoord",artikel: Zeelandbrug
1214,bevestigd,Hoeveel meter hoog is de Euromast vanaf de grond tot de top van de Space Tower?,185,https://nl.wikipedia.org/wiki/Euromast,Euromast,| hoogte = 107 m (tot 1970) 185 m (1970-heden),"infobox-veld ""hoogte"" bevat het antwoord",artikel: Euromast van
1217,niet gevonden,Hoeveel meter lang is het cruiseschip Rotterdam?,300,,,,,
1219,niet gevonden,Hoeveel miljard euro bedraagt het Nederlandse defensiebudget?,21,,,,,
1223,niet gevonden,Hoeveel molens staan er op de Zaanse Schans?,8,,,,,
1228,niet gevonden,Hoeveel procent van de Nederlanders woont in een rijtjeshuis?,30,,,,,
1229,niet gevonden,Hoeveel procent van de Nederlanders fietst dagelijks?,60,,,,,
1230,niet gevonden,Hoeveel procent van de Nederlandse betalingen verloopt contactloos of via pin volgens recente cijfers?,80,,,,,
1231,niet gevonden,Hoeveel procent van de Nederlanders woont in de Randstad?,40,,,,,
1235,niet gevonden,Hoeveel spelers zitten er in een Nederlands korfbalteam op het veld?,8,,,,,
1238,niet gevonden,Hoeveel strepen heeft het Nederlandse vlagontwerp in horizontale banen?,3,,,,,
1239,niet gevonden,Hoeveel tekeningen van Rembrandt bezit het Rijksmuseum volgens de huidige collectie-informatie?,64,,,,,
1243,bevestigd,Hoeveel verdiepingen heeft De Rotterdam van architect Rem Koolhaas?,44,https://nl.wikipedia.org/wiki/De_Rotterdam,De Rotterdam,| verdiepingen = 44,"infobox-veld ""verdiepingen"" bevat het antwoord",zoekopdracht: De Rotterdam van 44
1244,niet gevonden,Hoeveel dagvlindersoorten komen voor in Nederland?,53,,,,,
1245,niet gevonden,Hoeveel voetbalstadions van eredivisieclubs hebben een capaciteit boven de 50.000 (Amsterdam Arena en De Kuip)?,2,,,,,
1249,bevestigd,Hoeveel miljoen inwoners heeft China?,1410,https://nl.wikipedia.org/wiki/Bevolking_van_China,Bevolking van China,De bevolking van China bestaat uit 1410 miljoen personen (2023).,getal staat in een zin over het onderwerp,zoekopdracht: China 1410
1250,niet gevonden,Hoeveel miljoen inwoners heeft India?,1440,,,,,
1251,niet gevonden,Hoeveel artikelen telt de Universele Verklaring van de Rechten van de Mens?,30,,,,,
1255,niet gevonden,Hoeveel electorale stemmen heeft Californië (2024)?,54,,,,,
1256,bevestigd,Hoeveel electorale stemmen heeft Texas (2024)?,40,https://en.wikipedia.org/wiki/United_States_Electoral_College,United States Electoral College,"The six states with the most electors are California (54), Texas (40), Florida (30), New York (28), Illinois (19), and Pennsylvania (19).",getal staat in een zin over het onderwerp,artikel: many electoral votes
1257,niet gevonden,Hoeveel electorale stemmen zijn er nodig om de VS-presidentsverkiezing te winnen?,270,,,,,
1258,niet gevonden,Hoeveel emiraten heeft Saoedi-Arabië als koninkrijk in bestuurlijke regio (provincies)?,13,,,,,
1259,niet gevonden,Hoeveel jaar duurt een termijn van het Australische Huis van Afgevaardigden?,3,,,,,
1260,niet gevonden,Hoeveel jaar duurt een termijn van het Nieuw-Zeelandse parlement?,3,,,,,
1261,niet gevonden,Hoeveel jaren duurt een termijn van een Amerikaanse senator?,6,,,,,
1264,niet gevonden,Hoeveel landen gebruiken de Centraal-Afrikaanse CFA frank?,6,,,,,
1265,niet gevonden,Hoeveel landen gebruiken de West-Afrikaanse CFA-frank?,8,,,,,
1268,niet gevonden,Hoeveel landen telt Oceanië?,14,,,,,
1269,niet gevonden,Hoeveel landen zijn lid van de CELAC?,33,,,,,
1273,niet gevonden,Hoeveel leden telt de ASEAN-organisatie (2024)?,10,,,,,
1277,niet gevonden,Hoeveel leden telt de SAARC organisatie?,8,,,,,
1283,niet gevonden,Hoeveel provincies heeft Argentinië (inclusief de hoofdstad als aparte provincie)?,24,,,,,
1287,niet gevonden,Hoeveel rechterzittingen telt het Amerikaanse Hooggerechtshof?,9,,,,,
1289,niet gevonden,Hoeveel staten en territoria telt Australië samen?,8,,,,,
1293,niet gevonden,Hoeveel zetels telt de Nieuw-Zeelandse Kamer van Afgevaardigden?,120,,,,,
1294,niet gevonden,Hoeveel zetels telt het Australische Huis van Afgevaardigden?,151,,,,,
1296,bevestigd,Hoeveel zetels telt het Zuid-Afrikaanse parlement (National Assembly)?,400,https://nl.wikipedia.org/wiki/Parlement_van_Zuid-Afrika,Parlement van Zuid-Afrika,"Het parlement van Zuid-Afrika (Engels: Parliament of South Africa) is het nationale parlement van Zuid-Afrika en bestaat uit twee kamers:

Lagerhuis: Nationale Vergadering (National Assembly) bestaande uit 400 leden.",getal staat in een zin over het onderwerp,zoekopdracht: National Assembly 400
1297,niet gevonden,Hoe hoog was de hoogste duik vanaf een klif in meters?,59,,,,,
1298,niet gevonden,Hoe hoog was de hoogste robot ooit gebouwd in meters?,18,,,,,
1299,niet gevonden,Hoe lang was de langste baard ooit in meters?,5,,,,,
1300,niet gevonden,Hoe lang was de langste man ooit in centimeters?,272,,,,,
1302,niet gevonden,Hoe lang was de langste taart ooit in kilometer?,10,,,,,
1303,niet gevonden,Hoe lang was de langste trein ooit in kilometers?,7,,,,,
1304,niet gevonden,Hoe lang was de langste trouwjurkstaart ooit in meters?,8095,,,,,
1305,niet gevonden,Hoe lang was het langste haar ooit in meters?,6,,,,,
1306,niet gevonden,Hoe oud werd de oudste kat ooit in jaren?,38,,,,,
1307,niet gevonden,Hoe zwaar was de grootste chocoladereep ooit in kilogram?,13696,,,,,
1308,niet gevonden,Hoe zwaar was de grootste portie friet ooit in kilogram?,1000,,,,,
1309,niet gevonden,Hoe zwaar was de zwaarste schildpad ooit in kilogram?,916,,,,,
1310,niet gevonden,Hoeveel LEGO-steentjes werden gebruikt voor het grootste LEGO-model?,5335200,,,,,
1311,niet gevonden,Hoeveel jongleurs deden mee aan het grootste jongleerrecord?,1000,,,,,
1312,niet gevonden,Hoeveel liter soep bevatte de grootste kom soep ooit?,20000,,,,,
1313,niet gevonden,Hoeveel mensen deden mee aan het grootste waterballonnengevecht ooit?,8000,,,,,
1314,niet gevonden,Hoeveel push-ups werden er in 24 uur uitgevoerd bij het huidige record?,46000,,,,,
1315,niet gevonden,Hoeveel wagons had de langste passagierstrein ooit?,100,,,,,
1330,niet gevonden,Hoeveel LEGO-studs heeft een standaard 2×4 LEGO-steen aan de bovenkant?,8,,,,,
1332,niet gevonden,Hoeveel grondstoffenkaarten zitten er in het basisspel van Catan?,95,,,,,
1333,niet gevonden,"Hoeveel kaarten bevat een klassiek Monopoly-spel in totaal aan eigendoms-, kans- en algemeenfondskaarten?",60,,,,,
1334,niet gevonden,Hoeveel kaarten krijgt iedere speler bij de start van UNO?,7,,,,,
1339,niet gevonden,Hoeveel vakjes telt een internationaal dambord (10×10)?,100,,,,,
1340,niet gevonden,Hoeveel vakken bevat een standaard dambord?,64,,,,,
1347,niet gevonden,Hoeveel games worden er in een Wimbledon-set minimaal gewonnen om de set te pakken?,6,,,,,
1352,bevestigd,Hoeveel innings telt een standaard honkbalwedstrijd?,9,https://en.wikipedia.org/wiki/Extra_innings,Extra innings,"The Washington Senators became the first team in Major League history to play multiple games of at least 20 innings in a season when they defeated the Minnesota Twins 9–7 in 20 innings on August 9, 1967, after winning a 22-inning game over the Chicago White Sox on June 12 of that year.",getal staat in een zin over het onderwerp,artikel: many innings does
1353,niet gevonden,Hoeveel jaar zit er tussen twee WK-voetbaltoernooien?,4,,,,,
1354,niet gevonden,Hoeveel jaar zit er tussen twee zomer-Olympische Spelen?,4,,,,,
1355,niet gevonden,Hoeveel keer was Australië gastheer van de zomer-Olympische Spelen (tot 2032)?,3,,,,,
1359,bevestigd,Hoeveel keer werd de FIFA World Cup georganiseerd tot en met 2022?,22,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J,2026 FIFA World Cup Group J,"On June 22, Lionel Messi scored his 17th World Cup goal in Argentina's win against Austria, surpassing Miroslav Klose (16) as the FIFA World Cup's all-time top goalscorer.",getal staat in een zin over het onderwerp,zoekopdracht: FIFA World Cup 22
1373,bevestigd,Hoeveel kilometer lang is een marathon?,42,https://en.wikipedia.org/wiki/Marathon,Marathon,The marathon is a long-distance foot race with a distance of 42.195 kilometres (c.,getal staat in een zin over het onderwerp,artikel: kilometer lang marathon
1374,niet gevonden,Hoeveel kuiven heeft een honkbalveld (bases plus home plate)?,4,,,,,
1379,niet gevonden,Hoeveel meter is de klassieke sprintafstand in de atletiek?,100,,,,,
1383,niet gevonden,Hoeveel meter sprintt een schaatser op de kortebaan-afstand?,500,,,,,
1384,niet gevonden,Hoeveel minuten duurt een NBA-basketbalwedstrijd officieel?,48,,,,,
1385,niet gevonden,Hoeveel minuten duurt een ijshockeywedstrijd netto?,60,,,,,
1386,niet gevonden,Hoeveel minuten duurt een rugbywedstrijd netto?,80,,,,,
1388,niet gevonden,Hoeveel minuten officiële speeltijd heeft een NBA-wedstrijd?,48,,,,,
1389,niet gevonden,Hoeveel minuten officiële speeltijd heeft een NFL-wedstrijd?,60,,,,,
1392,niet gevonden,Hoeveel pijlen gooit een darter per beurt?,3,,,,,
1393,niet gevonden,Hoeveel pogingen heeft een gewichtheffer per discipline?,3,,,,,
1394,niet gevonden,Hoeveel proloog kilometers telt een Tour de France etappe bijna nooit?,0,,,,,
1395,niet gevonden,Hoeveel punten is een maximale dartscore met drie pijlen?,180,,,,,
1397,bevestigd,Hoeveel punten levert een touchdown op in American football (met extra point)?,7,https://en.wikipedia.org/wiki/American_Idol_season_7,American Idol season 7,"== Releases ==


=== iTunes ===
During season 7, American Idol partnered with iTunes to make available for sale exclusive performance videos, live performance singles of the semifinalists, and full-length studio recordings of the songs that contestants performed on the show.",getal staat in een zin over het onderwerp,zoekopdracht: American 7
1400,bevestigd,Hoeveel rings heeft het NBA-logo in het midden?,1,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings,The Lord of the Rings,"1 ""The Lord of the Rings"".",getal staat in een zin over het onderwerp,artikel: many rings does
1402,niet gevonden,Hoeveel spelers heeft een basketbalteam op het veld per ploeg?,5,,,,,
1403,bevestigd,Hoeveel spelers heeft een handbalteam op het veld per ploeg?,7,https://nl.wikipedia.org/wiki/Nederlands_handbalteam_%28vrouwen%29,Nederlands handbalteam (vrouwen),"​ Kampioenen  ​ Runners-up  ​ Derde plaats  ​ Vierde plaats


=== Overige toernooien ===
Zeslandentoernooi Spanje 2010: 4e plaats (tegenstanders: Spanje, Montenegro, Rusland, Brazilië)
Holland Handbal Toernooi 2006: 5e plaats
Carpathian Trophy 2004: 3e plaats
E-Boks Challenge toernooi Denemarken 2001: 4e plaats (tegens",getal staat in een zin over het onderwerp,zoekopdracht: spelers handbalteam veld 7
1404,niet gevonden,Hoeveel spelers heeft een hockeyteam op het veld per ploeg?,11,,,,,
1405,niet gevonden,Hoeveel spelers heeft een rugbyteam per ploeg op het veld (union)?,15,,,,,
1411,niet gevonden,Hoeveel spelers staat er per ploeg op het veld bij een rugby league-wedstrijd?,13,,,,,
1412,niet gevonden,Hoeveel spelers telt een volleybalteam op het veld?,6,,,,,
1413,niet gevonden,Hoeveel teams spelen er in de NBA?,30,,,,,
1414,niet gevonden,Hoeveel teams spelen er in de NFL?,32,,,,,
1435,niet gevonden,Hoeveel satellieten lanceerde India in één enkele raket als record (2017)?,104,,,,,
1448,bevestigd,Hoeveel letters staan er in de Latijnse inscriptie SPQR?,4,https://nl.wikipedia.org/wiki/Algemene_Latijnse_vervoegingen_en_verbuigingen,Algemene Latijnse vervoegingen en verbuigingen,"Daarnaast kent het Latijnse werkwoord:
Drie genera:

Activum (bedrijvende vorm)
Passivum (lijdende vorm)
Deponens (passieve actieve vorm)
Zes tempora:

Praesens (onvoltooid tegenwoordige tijd)
Imperfectum (onvoltooid verleden tijd)
Futurum (simplex) (onvoltooid toekomende tijd)
Perfectum (voltooid tegenwoordige tijd)
P",getal staat in een zin over het onderwerp,zoekopdracht: Latijnse 4
1454,niet gevonden,Hoeveel frames per seconde toont een standaard bioscoopfilm?,24,,,,,
1461,bevestigd,In welk jaar lanceerde Japan de Shinkansen hogesnelheidstrein?,1964,https://nl.wikipedia.org/wiki/Shinkansen,Shinkansen,"De eerste lijn, tussen Tokio, Nagoya en Osaka, die de Tōkaidō-express gedoopt werd, werd in gebruik genomen in hetzelfde jaar waarin de Olympische Zomerspelen in Tokio (1964) werden gehouden.",getal staat bij het gevraagde maatwoord,artikel: Japan de Shinkansen
1470,bevestigd,In welk jaar werd Sony opgericht?,1946,https://en.wikipedia.org/wiki/Sony,Sony,"| founded = Start date and age|df=yes|1946|5|7 Nihonbashi , Chūō, Tokyo, Japan Cite web |title=Sony Corporate History |url=https://www.sony.com/en/SonyInfo/CorporateInfo/History/company/ |access-date=3 April 2021 |website=sony.com |language=en |archive-date=2021-04-13 |archive-url=https://web.archive.org/web/2021041319","infobox-veld ""founded"" bevat het antwoord",artikel: Sony
1472,niet gevonden,In welk jaar werd de Toyota motorfiets eerste gebouwd - nee Toyota is auto (1885 Daimler - dit zit niet in Azië)?,0,,,,,
1486,niet gevonden,Hoeveel gategebieden heeft Atlanta Airport?,7,,,,,
1488,niet gevonden,Hoeveel miljoen nieuwe personenauto’s worden er wereldwijd per jaar geproduceerd?,85,,,,,
1506,niet gevonden,Hoeveel graden is elke binnenhoek van een regelmatige zeshoek?,120,,,,,
