Nr,Groep,In gebruik,Vraag NL,Antwoord,Oorspronkelijke bron,Gebruikte bron,Uitkomst,Bewijszin
785,geblokkeerd,—,Hoeveel meter diep ligt de fundering van de Burj Khalifa ongeveer?,50,https://www.burjkhalifa.ae/en/the-tower/facts-figures/,http://web.archive.org/web/20241113185425/https://www.burjkhalifa.ae/en/the-tower/facts-figures/,niet gevonden,
806,geblokkeerd,—,Hoeveel piramides staan er ongeveer in Gizeh?,3,https://www.britannica.com/place/Pyramids-of-Giza,https://www.britannica.com/place/Pyramids-of-Giza,geen archiefkopie,
816,geblokkeerd,—,Hoeveel tegels bedekken het dak van het Sydney Opera House?,1000000,https://whc.unesco.org/en/list/1613/,https://whc.unesco.org/en/list/1613/,geen archiefkopie,
852,geblokkeerd,—,Hoeveel kilometer lang is de Andes ongeveer?,7000,https://www.britannica.com/place/Andes-Mountains,http://web.archive.org/web/20260812220527/https://www.britannica.com/place/Andes-Mountains,niet gevonden,
858,geblokkeerd,—,Hoeveel kilometer lang is de Grote Muur van China ongeveer?,21196,https://whc.unesco.org/en/list/438/,http://web.archive.org/web/20260907022911/https://whc.unesco.org/en/list/438,niet gevonden,
869,geblokkeerd,—,Hoeveel kilometer lang is de kustlijn van de Middellandse Zee ongeveer?,46000,https://www.britannica.com/place/Mediterranean-Sea,http://web.archive.org/web/20260906162805/https://www.britannica.com/place/Mediterranean-Sea,niet gevonden,
870,geblokkeerd,—,Hoeveel kilometer lang is het Tanganyikameer ongeveer?,660,https://www.britannica.com/place/Lake-Tanganyika,http://web.archive.org/web/20260330211104/https://www.britannica.com/place/Lake-Tanganyika,bevestigd,"It is the longest freshwater lake in the world (410 miles [660 km]) and the second deepest (4,710 feet [1,436 meters]) after Lake Baikal in Russia ."
912,geblokkeerd,—,Hoeveel landen grenzen aan de Middellandse Zee?,22,https://www.britannica.com/place/Mediterranean-Sea,http://web.archive.org/web/20260906162805/https://www.britannica.com/place/Mediterranean-Sea,niet gevonden,
913,geblokkeerd,—,Hoeveel landen grenzen aan het Tanganyikameer?,4,https://www.britannica.com/place/Lake-Tanganyika,http://web.archive.org/web/20260330211104/https://www.britannica.com/place/Lake-Tanganyika,niet gevonden,
914,geblokkeerd,—,Hoeveel landen grenzen direct aan de Noordzee?,8,https://www.britannica.com/place/North-Sea,http://web.archive.org/web/20260831163048/https://www.britannica.com/place/North-Sea,bevestigd,Average January temperatures of North Sea surface waters range from 35 °F (2 °C) to the east of Denmark to 46 °F (8 °C) between the Shetland Islands and Norway.
915,geblokkeerd,—,Hoeveel landen grenzen direct aan de Zwarte Zee?,6,https://www.britannica.com/place/Black-Sea,http://web.archive.org/web/20260829044403/https://www.britannica.com/place/Black-Sea,getal gezien,"13, 2026, 6:45 AM ET (AP)"
916,geblokkeerd,—,Hoeveel landen hebben grondgebied in het Amazonebekken?,8,https://www.britannica.com/place/Amazon-River,http://web.archive.org/web/20260820120801/https://www.britannica.com/place/Amazon-River,getal gezien,Amazon River - Children's Encyclopedia (Ages 8-11)
926,geblokkeerd,—,Hoeveel landen worden tot het Arabisch Schiereiland gerekend?,7,https://www.britannica.com/place/Arabian-Peninsula,https://www.britannica.com/place/Arabian-Peninsula,geen archiefkopie,
960,geblokkeerd,—,Hoeveel procent van het Amazonebekken ligt ongeveer in Brazilië?,60,https://www.britannica.com/place/Amazon-River,http://web.archive.org/web/20260820120801/https://www.britannica.com/place/Amazon-River,niet gevonden,
977,geblokkeerd,—,Hoeveel vierkante kilometer is Groenland ongeveer groot?,2166000,https://www.britannica.com/place/Greenland,http://web.archive.org/web/20260720042311/https://www.britannica.com/place/Greenland,niet gevonden,
978,geblokkeerd,—,Hoeveel vierkante kilometer is de oppervlakte van het Baikalmeer ongeveer?,31700,https://www.britannica.com/place/Lake-Baikal,http://web.archive.org/web/20260808081128/https://www.britannica.com/place/Lake-Baikal,niet gevonden,
979,geblokkeerd,—,Hoeveel vierkante kilometer is het Victoriameer ongeveer?,69500,https://www.britannica.com/place/Lake-Victoria,https://www.britannica.com/place/Lake-Victoria,geen archiefkopie,
981,geblokkeerd,—,Wat is de hoogte van de Mont Blanc in de Alpen in meters?,4808,https://www.britannica.com/place/Mont-Blanc,https://www.britannica.com/place/Mont-Blanc,geen archiefkopie,
982,geblokkeerd,—,Wat is de lengte van de rivier de Nijl in kilometers?,6650,https://www.britannica.com/place/Nile-River,http://web.archive.org/web/20260803170518/https://www.britannica.com/place/Nile-River,getal gezien,"It has a length of about 4,132 miles (6,650 kilometres) and drains an area estimated at 1,293,000 square miles (3,349,000 square kilometres)."
985,geblokkeerd,—,Wat is het grootste binnenlandse waterlichaam ter wereld naar oppervlakte?,371000,https://www.britannica.com/place/Caspian-Sea,http://web.archive.org/web/20260831171259/https://www.britannica.com/place/Caspian-Sea,niet gevonden,
1009,geblokkeerd,—,Hoeveel mensen bezochten de Wereldtentoonstelling van 1889 in Parijs?,32000000,https://www.britannica.com/event/Paris-Exposition-of-1889,https://www.britannica.com/event/Paris-Exposition-of-1889,geen archiefkopie,
1010,geblokkeerd,—,Hoeveel mensen bezochten de Wereldtentoonstelling van 1893 in Chicago?,27500000,https://www.britannica.com/event/Worlds-Columbian-Exposition,http://web.archive.org/web/20260812160423/https://www.britannica.com/event/Worlds-Columbian-Exposition,niet gevonden,
1016,geblokkeerd,—,Hoeveel schepen had de Atheense vloot tijdens de Slag bij Salamis ongeveer?,370,https://www.britannica.com/event/Battle-of-Salamis,http://web.archive.org/web/20260903091834/https://www.britannica.com/event/Battle-of-Salamis,bevestigd,"By 480 the Persian king Xerxes and his army had overrun much of Greece , and his navy of about 800 galleys bottled up the smaller Greek fleet of about 370 triremes in the Saronic Gulf ."
1019,geblokkeerd,—,Hoeveel soldaten namen deel aan de landing in Normandië op D-Day?,156000,https://www.iwm.org.uk/history/d-day-the-unheard-tapes,https://www.iwm.org.uk/history/d-day-the-unheard-tapes,geen archiefkopie,
1020,geblokkeerd,—,Hoeveel soldaten telde het Britse leger bij de Slag bij Waterloo ongeveer?,68000,https://www.britannica.com/event/Battle-of-Waterloo,http://web.archive.org/web/20260812125235/https://www.britannica.com/event/Battle-of-Waterloo,bevestigd,"Fought near Waterloo village, Belgium, it pitted Napoleon’s 72,000 French troops against the duke of Wellington ’s army of 68,000 (British, Dutch, Belgian, and German soldiers) aided by 45,000 Prussians under Gebhard Leberecht von Blücher ."
1022,geblokkeerd,—,Hoeveel ton bommen werd tijdens de Blitz op Londen afgeworpen?,18000,https://www.iwm.org.uk/history/the-blitz,http://web.archive.org/web/20180106100336/http://www.iwm.org.uk:80/history/the-blitz,niet gevonden,
1025,geblokkeerd,—,Hoeveel vliegtuigen ondersteunden D-Day?,11000,https://www.iwm.org.uk/history/d-day-the-unheard-tapes,https://www.iwm.org.uk/history/d-day-the-unheard-tapes,geen archiefkopie,
1061,geblokkeerd,—,Hoeveel graden heeft een rechte hoek?,90,https://www.britannica.com/art/Western-architecture/Greek,https://www.britannica.com/art/Western-architecture/Greek,geen archiefkopie,
1087,geblokkeerd,—,Hoeveel KFC-restaurants zijn er wereldwijd ongeveer?,30000,https://investors.yum.com/financial-information/annual-reports,https://investors.yum.com/financial-information/annual-reports,onbereikbaar,The read operation timed out
1097,geblokkeerd,—,Hoeveel soorten worden volgens de gangbare schatting met uitsterven bedreigd?,1000000,https://www.iucnredlist.org/resources/summary-statistics,http://web.archive.org/web/20260826184620/https://www.iucnredlist.org/resources/summary-statistics,niet gevonden,
1100,geblokkeerd,—,Welk percentage van plastic afval wordt wereldwijd gestort?,46,https://www.oecd.org/environment/plastics/,https://www.oecd.org/environment/plastics/,geen archiefkopie,
1111,geblokkeerd,—,Hoeveel lijnen heeft een notenbalk?,5,https://www.britannica.com/art/staff-music,https://www.britannica.com/art/staff-music,geen archiefkopie,
1126,geblokkeerd,—,Hoeveel snaren heeft een standaard basgitaar?,4,https://www.fender.com/articles/tech-talk/bass-guitar-strings,https://www.fender.com/articles/tech-talk/bass-guitar-strings,geen archiefkopie,
1135,geblokkeerd,—,Hoeveel graden Celsius kan een bliksemschicht bereiken?,30000,https://whc.unesco.org/en/list/1314/,http://web.archive.org/web/20260804120753/https://whc.unesco.org/en/list/1314/,niet gevonden,
1317,geblokkeerd,—,"Hoeveel miljoen passagiers verwerkt Atlanta Airport (Hartsfield-Jackson, de drukste luchthaven ter wereld) per jaar?",104,https://www.atl.com/about-atl/statistics/,https://www.atl.com/about-atl/statistics/,geen archiefkopie,
1336,geblokkeerd,—,Hoeveel miljard LEGO-steentjes zijn er sinds 1958 wereldwijd in totaal geproduceerd?,600,https://whc.unesco.org/en/list/1631/,http://web.archive.org/web/20260830120558/https://whc.unesco.org/en/list/1631/,niet gevonden,
1391,geblokkeerd,—,Hoeveel periodes heeft een ijshockeywedstrijd?,3,https://www.iihf.com/en/static/5459/rules,https://www.iihf.com/en/static/5459/rules,geen archiefkopie,
1409,geblokkeerd,—,Hoeveel spelers staan er per team op het veld bij volleybal?,6,https://www.fivb.com/inside-fivb/document-centre/official-volleyball-rules,https://www.fivb.com/inside-fivb/document-centre/official-volleyball-rules,geen archiefkopie,
1446,geblokkeerd,—,Hoeveel basisjamo-tekens heeft het moderne Koreaanse Hangul-alfabet?,24,https://www.britannica.com/topic/Hangul,https://www.britannica.com/topic/Hangul,geen archiefkopie,
1449,geblokkeerd,—,Hoeveel naamvallen heeft het Duits?,4,https://www.britannica.com/topic/German-language,http://web.archive.org/web/20260827034706/https://www.britannica.com/topic/German-language,niet gevonden,
1450,geblokkeerd,—,Hoeveel naamvallen heeft het Latijn volgens de traditionele grammaticale indeling?,6,https://www.britannica.com/topic/Latin-language,http://web.archive.org/web/20260906213642/https://www.britannica.com/topic/Latin-language,bevestigd,"Imitation of Classical and post-Classical models continued even into the 6th century, and there seems to have been continuity of literary tradition for some time after the fall of the Western Roman Empire ."
1452,geblokkeerd,—,Hoeveel tonen heeft het Vietnamese taalsysteem volgens de meest gebruikte indeling?,6,https://www.britannica.com/topic/Vietnamese-language,http://web.archive.org/web/20260702112518/https://www.britannica.com/topic/Vietnamese-language,bevestigd,"June 6, 2026 • History"
1494,geblokkeerd,—,Hoeveel verkeerslichten zijn er ongeveer in New York City?,13500,https://www.nyc.gov/html/dot/html/infrastructure/traffic-signals.shtml,https://www.nyc.gov/html/dot/html/infrastructure/traffic-signals.shtml,geen archiefkopie,
1496,geblokkeerd,—,Hoeveel wielen heeft een standaard auto?,4,https://www.nhtsa.gov/vehicle-safety,http://web.archive.org/web/20260906181521/https://www.nhtsa.gov/vehicle-safety,niet gevonden,
1499,geblokkeerd,—,Hoeveel wielen heeft een tram meestal in een vierassige configuratie?,8,https://www.britannica.com/technology/streetcar,http://web.archive.org/web/20260802232040/https://www.britannica.com/technology/streetcar,niet gevonden,
1502,geblokkeerd,—,In welk jaar reed de eerste hogesnelheidstrein in commerciële dienst?,1964,https://www.jreast.co.jp/e/press/2003/20030501.pdf,https://www.jreast.co.jp/e/press/2003/20030501.pdf,geen archiefkopie,
2,niet gevonden,daily,Hoeveel duizend knipperbewegingen met je ogen maak je gemiddeld per dag?,15,https://www.aao.org/eye-health/tips-prevention/how-often-do-you-blink,https://www.aao.org/eye-health/tips-prevention/how-often-do-you-blink,niet gevonden,
8,niet gevonden,daily,Hoeveel kilogram weegt de tong van een blauwe vinvis ongeveer?,2700,https://ich.unesco.org/en/intangible-heritage-domains-00052,https://ich.unesco.org/en/intangible-heritage-domains-00052,niet gevonden,
16,niet gevonden,daily,Hoeveel Muzen (dochters van Zeus) telt de Griekse mythologie?,9,https://www.genome.gov/about-genomics/fact-sheets/Deoxyribonucleic-Acid-Fact-Sheet,https://www.genome.gov/about-genomics/fact-sheets/Deoxyribonucleic-Acid-Fact-Sheet,niet gevonden,
29,niet gevonden,daily,Wat is de lengte van het Panamakanaal van de Atlantische naar de Stille Oceaan in km?,82,https://pancanal.com/en/history-of-the-panama-canal/,https://pancanal.com/en/history-of-the-panama-canal/,niet gevonden,
35,niet gevonden,daily,Hoeveel procent van Antarctica is met ijs bedekt?,98,https://www.bas.ac.uk/about/about-antarctica/antarctica-facts/,https://www.bas.ac.uk/about/about-antarctica/antarctica-facts/,niet gevonden,
42,niet gevonden,daily,In welk jaar werd de eerste moderne volkstelling gehouden?,1665,https://www.ons.gov.uk/census/aboutcensus,https://www.ons.gov.uk/census/aboutcensus,niet gevonden,
45,niet gevonden,daily,Hoeveel ton goud wordt wereldwijd jaarlijks gewonnen?,3000,https://www.usgs.gov/centers/national-minerals-information-center/gold-statistics-and-information,https://www.usgs.gov/centers/national-minerals-information-center/gold-statistics-and-information,niet gevonden,
46,niet gevonden,daily,Welk percentage van het wereldwijde cement wordt geproduceerd in China?,55,https://www.usgs.gov/centers/national-minerals-information-center/cement-statistics-and-information,https://www.usgs.gov/centers/national-minerals-information-center/cement-statistics-and-information,niet gevonden,
47,niet gevonden,daily,Hoeveel filialen heeft Decathlon wereldwijd ongeveer?,1700,https://www.decathlon-united.media/,https://www.decathlon-united.media/,niet gevonden,
51,niet gevonden,daily,Welk percentage van het aardoppervlak bestaat uit land?,29,https://oceanservice.noaa.gov/facts/oceanwater.html,https://oceanservice.noaa.gov/facts/oceanwater.html,niet gevonden,
52,niet gevonden,daily,Welk percentage van het aardoppervlak bestaat uit oceanen en zeeën?,71,https://oceanservice.noaa.gov/facts/oceanwater.html,https://oceanservice.noaa.gov/facts/oceanwater.html,niet gevonden,
53,niet gevonden,daily,Welk percentage van het zoete water zit vast in ijs en gletsjers?,69,https://www.usgs.gov/special-topics/water-science-school/science/where-earths-water,https://www.usgs.gov/special-topics/water-science-school/science/where-earths-water,niet gevonden,
57,niet gevonden,daily,Hoeveel toetsen heeft een standaard MIDI-pianotoetsenbord met vijf octaven?,61,https://midi.org/midi-1-0,https://midi.org/midi-1-0,niet gevonden,
84,niet gevonden,daily,Wat is de geschatte leeftijd van de planeet Aarde in miljoenen jaren?,4540,https://pubs.usgs.gov/gip/geotime/age.html,https://pubs.usgs.gov/gip/geotime/age.html,niet gevonden,
103,niet gevonden,daily,Hoeveel diagonalen heeft een regelmatige twintighoek?,170,https://mathworld.wolfram.com/PolygonDiagonal.html,https://mathworld.wolfram.com/PolygonDiagonal.html,niet gevonden,
111,niet gevonden,puzzel,Hoeveel chromosomen bevat een menselijke eicel vóór de bevruchting?,23,https://www.genome.gov/genetics-glossary/Chromosome,https://www.genome.gov/genetics-glossary/Chromosome,niet gevonden,
113,niet gevonden,puzzel,Hoeveel chromosomenparen heeft een mens?,23,https://www.genome.gov/genetics-glossary/Chromosome,https://www.genome.gov/genetics-glossary/Chromosome,niet gevonden,
116,niet gevonden,puzzel,Hoeveel kamers heeft het menselijk hart?,4,https://www.nhlbi.nih.gov/health/heart,https://www.nhlbi.nih.gov/health/heart,niet gevonden,
138,niet gevonden,puzzel,Hoeveel komedies schreef Shakespeare volgens de traditionele genre-indeling?,14,https://www.folger.edu/explore/shakespeares-works/,https://www.folger.edu/explore/shakespeares-works/,niet gevonden,
148,niet gevonden,puzzel,Hoeveel armen heeft de gewone vijfarmige zeester?,5,https://oceanservice.noaa.gov/facts/seastars.html,https://oceanservice.noaa.gov/facts/seastars.html,niet gevonden,
169,niet gevonden,puzzel,Hoeveel EU-landen voerden de euro in bij de start van de euro in 1999?,21,https://www.ecb.europa.eu/euro/changeover/2002/html/index.en.html,https://www.ecb.europa.eu/euro/changeover/2002/html/index.en.html,niet gevonden,
170,niet gevonden,puzzel,Hoeveel bitcoins kunnen er maximaal worden gecreëerd?,21000000,https://bitcoin.org/bitcoin.pdf,https://bitcoin.org/bitcoin.pdf,niet gevonden,
182,niet gevonden,puzzel,Hoeveel basis-ingrediënten heeft een klassieke pizza Margherita?,3,https://www.pizzanapoletana.org/en/associazione_pizza_napoletana,https://www.pizzanapoletana.org/en/associazione_pizza_napoletana,niet gevonden,
215,niet gevonden,puzzel,Hoeveel werelden verbindt de wereldboom Yggdrasil in de Noorse mythologie?,9,https://www.canada.ca/en/intergovernmental-affairs/services/provinces-territories.html,https://www.canada.ca/en/intergovernmental-affairs/services/provinces-territories.html,niet gevonden,
222,niet gevonden,puzzel,Hoeveel jaar duurde de bouw van de Hagia Sophia?,5,https://muze.gen.tr/muze-detay/ayasofya,https://muze.gen.tr/muze-detay/ayasofya,niet gevonden,
226,niet gevonden,puzzel,Hoeveel klinknagels houden de metalen delen van de Eiffeltoren bij elkaar?,2500000,https://www.toureiffel.paris/en/the-monument/key-figures,https://www.toureiffel.paris/en/the-monument/key-figures,getal gezien,"2,500,000"
235,niet gevonden,puzzel,Hoeveel meter lang is de Akashi Kaikyōbrug in Japan?,3911,https://www.jb-honshi.co.jp/english/,https://www.jb-honshi.co.jp/english/,niet gevonden,
240,niet gevonden,puzzel,Hoeveel minaretten heeft de Taj Mahal?,4,https://asi.nic.in/taj-mahal/,https://asi.nic.in/taj-mahal/,niet gevonden,
246,niet gevonden,puzzel,Hoeveel traptreden beklim je naar de 86e verdieping van het Empire State Building?,1576,https://www.esbnyc.com/about/facts-figures,https://www.esbnyc.com/about/facts-figures,niet gevonden,
247,niet gevonden,puzzel,Hoeveel treden telt de wenteltrap in het Vrijheidsbeeld naar de kroon?,354,https://www.nps.gov/stli/learn/historyculture/statue-statistics.htm,https://www.nps.gov/stli/learn/historyculture/statue-statistics.htm,niet gevonden,
271,niet gevonden,puzzel,"Hoeveel kilometer lang is de langste grot ter wereld, Mammoth Cave, ongeveer?",685,https://www.nps.gov/maca/learn/nature/index.htm,https://www.nps.gov/maca/learn/nature/index.htm,niet gevonden,
276,niet gevonden,puzzel,Hoeveel landen grenzen aan Duitsland?,9,https://www.auswaertiges-amt.de/en/aussenpolitik/laenderinformationen,https://www.auswaertiges-amt.de/en/aussenpolitik/laenderinformationen,niet gevonden,
295,niet gevonden,puzzel,Hoeveel staten heeft Australië?,6,https://www.australia.gov.au/about-australia/our-country/states-and-territories,https://www.australia.gov.au/about-australia/our-country/states-and-territories,niet gevonden,
302,niet gevonden,puzzel,Hoeveel vierkante kilometer is het Arctische zee-ijs in de zomer ongeveer minimaal?,4000000,https://nsidc.org/arcticseaicenews/,https://nsidc.org/arcticseaicenews/,niet gevonden,
310,niet gevonden,puzzel,Hoeveel afgevaardigden ondertekenden de Amerikaanse Grondwet?,39,https://www.archives.gov/founding-docs/constitution,https://www.archives.gov/founding-docs/constitution,niet gevonden,
321,niet gevonden,puzzel,Hoeveel koloniën kwamen in 1776 in opstand tegen Groot-Brittannië?,13,https://www.archives.gov/founding-docs/declaration,https://www.archives.gov/founding-docs/declaration,niet gevonden,
349,niet gevonden,puzzel,Hoeveel dwergplaneten worden in de NASA-overview genoemd?,5,https://www.museivaticani.va/content/museivaticani/en/collezioni/musei/cappella-sistina.html,https://www.museivaticani.va/content/museivaticani/en/collezioni/musei/cappella-sistina.html,niet gevonden,
357,niet gevonden,puzzel,Hoeveel dagen duurt de zwangerschap van een koe?,283,https://www.merckvetmanual.com/management-and-nutrition/management-of-reproduction-cattle,https://www.merckvetmanual.com/management-and-nutrition/management-of-reproduction-cattle,niet gevonden,
358,niet gevonden,puzzel,Hoeveel dagen duurt de zwangerschap van een schaap?,152,https://www.merckvetmanual.com/management-and-nutrition/management-of-reproduction-sheep,https://www.merckvetmanual.com/management-and-nutrition/management-of-reproduction-sheep,niet gevonden,
361,niet gevonden,puzzel,Hoeveel procent van de wereldbevolking werkt direct of indirect in de landbouw?,26,https://www.fao.org/statistics/en/,https://www.fao.org/statistics/en/,niet gevonden,
362,niet gevonden,puzzel,Hoeveel ton bananen worden wereldwijd jaarlijks geproduceerd?,135000000,https://www.fao.org/faostat/en/#data/QCL,https://www.fao.org/faostat/en/#data/QCL,niet gevonden,
363,niet gevonden,puzzel,Hoeveel ton koper wordt wereldwijd jaarlijks geproduceerd?,22000000,https://www.usgs.gov/centers/national-minerals-information-center/copper-statistics-and-information,https://www.usgs.gov/centers/national-minerals-information-center/copper-statistics-and-information,niet gevonden,
364,niet gevonden,puzzel,Hoeveel ton maïs werd wereldwijd geproduceerd in 2023?,1200000000,https://www.fao.org/faostat/en/#data/QCL,https://www.fao.org/faostat/en/#data/QCL,niet gevonden,
365,niet gevonden,puzzel,Hoeveel ton suiker wordt wereldwijd jaarlijks geproduceerd?,180000000,https://www.fao.org/faostat/en/#data/QCL,https://www.fao.org/faostat/en/#data/QCL,niet gevonden,
366,niet gevonden,puzzel,Hoeveel werknemers werken wereldwijd in de landbouw?,1000000000,https://www.ilo.org/industries-and-sectors/agriculture-plantations-other-rural-sectors,https://www.ilo.org/industries-and-sectors/agriculture-plantations-other-rural-sectors,niet gevonden,
370,niet gevonden,puzzel,Hoeveel hectare bos gaat volgens FAO wereldwijd per jaar netto verloren?,4700000,https://www.fao.org/interactive/forest-resources-assessment/2020/en/,https://www.fao.org/interactive/forest-resources-assessment/2020/en/,niet gevonden,
371,niet gevonden,puzzel,Hoeveel liter water is volgens de gangbare berekening nodig om één kilogram rundvlees te produceren?,15000,https://www.waterfootprint.org/resources/interactive-tools/product-gallery/,https://www.waterfootprint.org/resources/interactive-tools/product-gallery/,niet gevonden,
372,niet gevonden,puzzel,Hoeveel miljoen ton plastic afval lekt jaarlijks in de oceaan volgens een gangbare schatting?,19,https://www.unep.org/interactives/beat-plastic-pollution/,https://www.unep.org/interactives/beat-plastic-pollution/,niet gevonden,
378,niet gevonden,puzzel,Hoeveel procent van het wereldwijde waterverbruik gaat naar landbouw?,70,https://www.fao.org/aquastat/en/overview/methodology/water-use,https://www.fao.org/aquastat/en/overview/methodology/water-use,niet gevonden,
399,niet gevonden,puzzel,Hoeveel toonstaven heeft een standaard marimba met vier octaven?,1,https://www.yamaha.com/en/musical_instrument_guide/marimba/structure/,https://www.yamaha.com/en/musical_instrument_guide/marimba/structure/,bevestigd,[Experiment1]Tone plate sanding depth and sound pitch experiment
402,niet gevonden,puzzel,Hoeveel keer klopt een menselijk hart gemiddeld op één dag (bij rust)?,100800,https://physics.nist.gov/cgi-bin/cuu/Value?c,https://physics.nist.gov/cgi-bin/cuu/Value?c,niet gevonden,
406,niet gevonden,puzzel,Hoeveel millimeter per jaar groeit de Mount Everest gemiddeld?,4,https://ich.unesco.org/en/intangible-heritage-domains-00052,https://ich.unesco.org/en/intangible-heritage-domains-00052,niet gevonden,
409,niet gevonden,puzzel,Wat is de snelheid van het licht in vacuüm in kilometer per seconde?,300000,https://physics.nist.gov/cgi-bin/cuu/Value?c,https://physics.nist.gov/cgi-bin/cuu/Value?c,niet gevonden,
418,niet gevonden,puzzel,Hoeveel provincies heeft Nederland?,12,https://www.government.nl/topics/provinces,https://www.government.nl/topics/provinces,niet gevonden,
427,niet gevonden,puzzel,Hoeveel landen hebben een permanente zetel in de VN-Veiligheidsraad?,5,https://www.un.org/securitycouncil/content/current-members,https://www.un.org/securitycouncil/content/current-members,niet gevonden,
433,niet gevonden,puzzel,Uit hoeveel leden bestaat de VN-Veiligheidsraad in totaal?,15,https://www.un.org/securitycouncil/content/current-members,https://www.un.org/securitycouncil/content/current-members,bevestigd,The Council is composed of 15 Members:
460,niet gevonden,puzzel,Hoeveel atomen bevat één molecuul water?,3,https://pubchem.ncbi.nlm.nih.gov/compound/Water,https://pubchem.ncbi.nlm.nih.gov/compound/Water,niet gevonden,
464,niet gevonden,puzzel,Hoeveel elementen bevat baking soda?,4,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium-bicarbonate,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium-bicarbonate,niet gevonden,
465,niet gevonden,puzzel,"Hoeveel elementen bevat keukenzout, natriumchloride?",2,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium-chloride,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium-chloride,niet gevonden,
467,niet gevonden,puzzel,Hoeveel graden Celsius is het smeltpunt van aluminium ongeveer?,660,https://www.rsc.org/periodic-table/element/13/aluminium,https://www.rsc.org/periodic-table/element/13/aluminium,getal gezien,"660.323&#176;C, 1220.581&#176;F, 933.473 K"
468,niet gevonden,puzzel,Hoeveel graden Celsius is het smeltpunt van tin ongeveer?,232,https://www.rsc.org/periodic-table/element/50/tin,https://www.rsc.org/periodic-table/element/50/tin,niet gevonden,
488,niet gevonden,puzzel,Hoeveel stippen staan er in totaal op een standaard set van 28 dominostenen?,168,https://www.fidomino.org/,https://www.fidomino.org/,niet gevonden,
496,niet gevonden,puzzel,Hoeveel meter is de afstand van de Olympische mannen-hordensprint?,110,https://worldathletics.org/about-iaaf/documents/book-of-rules,https://worldathletics.org/about-iaaf/documents/book-of-rules,niet gevonden,
500,niet gevonden,puzzel,Hoeveel punten levert een vrije worp op bij basketbal?,1,https://www.fiba.basketball/official-basketball-rules,https://www.fiba.basketball/official-basketball-rules,niet gevonden,
502,niet gevonden,puzzel,Hoeveel spelers staan er per team op het veld bij handbal?,7,https://www.ihf.info/regulations-documents,https://www.ihf.info/regulations-documents,niet gevonden,
504,niet gevonden,puzzel,Hoeveel spelers staan er tegelijk op het veld bij basketbal?,10,https://www.fiba.basketball/official-basketball-rules,https://www.fiba.basketball/official-basketball-rules,niet gevonden,
514,niet gevonden,puzzel,Hoeveel bekende manen heeft Saturnus volgens de gebruikte telling?,146,https://science.nasa.gov/saturn/moons/,https://science.nasa.gov/saturn/moons/,niet gevonden,
515,niet gevonden,puzzel,Hoeveel bekende manen heeft de planeet Jupiter officieel?,95,https://science.nasa.gov/jupiter/jupiter-moons/,https://science.nasa.gov/jupiter/jupiter-moons/,niet gevonden,
516,niet gevonden,puzzel,Hoeveel bekende manen heeft de planeet Saturnus officieel?,146,https://science.nasa.gov/saturn/moons/,https://science.nasa.gov/saturn/moons/,niet gevonden,
518,niet gevonden,puzzel,Hoeveel hoofdringen heeft Saturnus volgens de NASA-indeling?,7,https://science.nasa.gov/saturn/facts/,https://science.nasa.gov/saturn/facts/,bevestigd,article 7 days ago
519,niet gevonden,puzzel,Hoeveel ijsreuzen telt ons zonnestelsel?,2,https://science.nasa.gov/solar-system/planets/,https://science.nasa.gov/solar-system/planets/,bevestigd,2 min read
520,niet gevonden,puzzel,Hoeveel kilometer elektrische bekabeling zit er aan boord van het ISS?,13,https://www.christies.com/en/stories/leonardo-and-post-war-results-new-york-ad70dd5889e64989a76c94e4358c760d,https://www.christies.com/en/stories/leonardo-and-post-war-results-new-york-ad70dd5889e64989a76c94e4358c760d,niet gevonden,
521,niet gevonden,puzzel,Hoeveel kilometer is de gemiddelde afstand van Mars tot de zon?,228000000,https://science.nasa.gov/mars/facts/,https://science.nasa.gov/mars/facts/,niet gevonden,
522,niet gevonden,puzzel,Hoeveel kilometer is de gemiddelde afstand van Neptunus tot de zon?,4500000000,https://science.nasa.gov/neptune/facts/,https://science.nasa.gov/neptune/facts/,niet gevonden,
528,niet gevonden,puzzel,Hoeveel planeten staan dichter bij de zon dan de aarde?,2,https://science.nasa.gov/solar-system/planets/,https://science.nasa.gov/solar-system/planets/,bevestigd,2 min read
529,niet gevonden,puzzel,Hoeveel planeten werden bezocht door het Voyager-programma?,4,https://science.nasa.gov/mission/voyager/,https://science.nasa.gov/mission/voyager/,bevestigd,article 4 days ago
530,niet gevonden,puzzel,Hoeveel uren duurde de historische Apollo 11-missie naar de maan?,195,https://www.nasa.gov/mission/apollo-11/,https://www.nasa.gov/mission/apollo-11/,niet gevonden,
536,niet gevonden,puzzel,Wat is de gemiddelde afstand van de aarde tot de zon?,150000000,https://science.nasa.gov/sun/facts/,https://science.nasa.gov/sun/facts/,niet gevonden,
538,niet gevonden,puzzel,Hoeveel letters bevat de domeinnaam-extensie .com?,3,https://www.icann.org/resources/pages/tlds-2012-02-25-en,https://www.icann.org/resources/pages/tlds-2012-02-25-en,niet gevonden,
