Nr,Uitkomst,In gebruik,Vraag NL,Antwoord,Bron,Artikel,Bewijs
970,bevestigd,—,Hoeveel tijdzones heeft Nieuw-Zeeland?,2,https://en.wikipedia.org/wiki/Zeeland,Zeeland,"| demographics2_footnotes = {{cite web|url=https://ec.europa.eu/eurostat/databrowser/view/tgs00003/default/table?lang=en|title=EU regions by GDP, Eurostat}}"
972,geen bron,—,Hoeveel tijdzones telt het vasteland van de VS?,4,,,
984,natellen,—,Hoeveel duizend vierkante kilometer groot is Australië?,7692,https://nl.wikipedia.org/wiki/Australi%C3%AB_%28land%29,Australië (land),Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
986,natellen,—,Hoeveel Amerikaanse militairen kwamen tijdens de Tweede Wereldoorlog om het leven?,405000,https://nl.wikipedia.org/wiki/Tweede_Wereldoorlog,Tweede Wereldoorlog,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
996,bevestigd,—,Hoeveel jaar duurde de Amerikaanse Burgeroorlog?,4,https://en.wikipedia.org/wiki/American_Civil_War,American Civil War,"Lincoln was inaugurated on March 4, 1861, four months after his 1860 election, which afforded the South time to prepare for war."
998,bevestigd,—,Hoeveel jaar duurde de Biafra-oorlog?,3,https://en.wikipedia.org/wiki/Jello_Biafra,Jello Biafra,"Biafra finished fourth out of a field of ten in the first round of voting, receiving 3.79 percent of the vote (6,591 votes); he failed to advance to the runoff and Dianne Feinstein won the second round of the voting."
1007,natellen,—,Hoeveel landen ondertekenden het Verdrag van Rome in 1957?,6,https://en.wikipedia.org/wiki/Treaty_of_Rome,Treaty of Rome,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1008,bevestigd,—,Hoeveel landen waren er bij de oprichting van de NAVO in 1949?,12,https://en.wikipedia.org/wiki/NATO,NATO,"The 12 founding members of the alliance were Belgium, Canada, Denmark, France, Iceland, Italy, Luxembourg, the Netherlands, Norway, Portugal, the United Kingdom, and the United States."
1011,natellen,—,Hoeveel mensen dienden in totaal in het Amerikaanse leger tijdens de Tweede Wereldoorlog?,16000000,https://nl.wikipedia.org/wiki/Tweede_Wereldoorlog,Tweede Wereldoorlog,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1024,geen bron,—,Hoeveel vel papier zitten er in een standaard riem printpapier?,500,,,
1060,natellen,—,Hoeveel bezoekers ontving het Louvre in 2023?,8900000,https://nl.wikipedia.org/wiki/Louvre,Louvre,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1062,natellen,—,Hoeveel kilogram weegt de Moai-beelden op Paaseiland gemiddeld?,12500,https://nl.wikipedia.org/wiki/Moai,Moai,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1064,bevestigd,—,Hoeveel officiële UNESCO-werelderfgoedlocaties heeft China volgens de UNESCO-werelderfgoedlijst?,59,https://en.wikipedia.org/wiki/China,China,"About 17.95% were 14 years old or younger, 63.35% were between 15 and 59, and 18.7% were over 60."
1065,natellen,—,Hoeveel officiële UNESCO-werelderfgoedlocaties heeft Duitsland volgens de UNESCO-werelderfgoedlijst?,54,https://nl.wikipedia.org/wiki/Werelderfgoedlijst,Werelderfgoedlijst,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1067,bevestigd,—,Hoeveel panelen telt het Lam Gods van Van Eyck?,12,https://nl.wikipedia.org/wiki/Het_Lam_Gods_%28gebroeders_Van_Eyck%29,Het Lam Gods (gebroeders Van Eyck),"Eén en ander vindt zijn oorsprong in het Oude Testament, Bijbelboek Exodus, hoofdstuk 12 (De instelling van het Pascha/ Pesach)."
1073,geen bron,—,Hoeveel bijen leven er in een sterk bijenvolk in de zomer?,50000,,,
1088,natellen,—,Hoeveel winkels heeft Aldi wereldwijd ongeveer?,12500,https://nl.wikipedia.org/wiki/Aldi,Aldi,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1089,natellen,—,Hoeveel winkels heeft Lidl wereldwijd ongeveer?,12500,https://nl.wikipedia.org/wiki/Lidl,Lidl,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1096,geen bron,—,Hoeveel procent van de wetlands is sinds 1700 wereldwijd verdwenen?,85,,,
1102,geen bron,—,Hoeveel knopen heeft een standaard overhemd meestal aan de voorkant?,7,,,
1105,bevestigd,—,Hoeveel Grammy's won AC/DC?,1,https://en.wikipedia.org/wiki/Grammy_Awards,Grammy Awards,"The 68th Annual Grammy Awards, featuring a total of 95 categories, were presented on February 1, 2026."
1107,geen bron,—,Hoeveel albums bracht AC/DC uit tot 2024 (studioalbums)?,17,,,
1109,bevestigd,—,Hoeveel dansstijlen worden er klassiek onderscheiden in de Cubaanse rumba-familie (drie hoofdstijlen)?,3,https://nl.wikipedia.org/wiki/Cubaanse_Revolutie,Cubaanse Revolutie,| casualties3 = 5.000 doden (1958-1959)
1112,geen bron,—,Hoeveel muzikanten telt een klassieke mariachiband?,10,,,
1116,bevestigd,—,Hoeveel snaarinstrumenten bevat de klassieke Japanse koto-ensemble van hoort?,13,https://nl.wikipedia.org/wiki/Japan,Japan,"Voor het aandeel van de jongeren, tot 15 jaar, zijn de cijfers 35%, 13% en 10% voor dezelfde jaren."
1117,natellen,—,Hoeveel snaren heeft de Ethiopische krar?,6,https://nl.wikipedia.org/wiki/Ethiopische_kalender,Ethiopische kalender,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1118,natellen,—,Hoeveel snaren heeft een Indiase sitar?,20,https://nl.wikipedia.org/wiki/India,India,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1119,geen bron,—,Hoeveel snaren heeft de West-Afrikaanse djembé als trommel?,0,,,
1121,natellen,—,Hoeveel snaren heeft de klassieke Afrikaanse kora traditioneel?,21,https://nl.wikipedia.org/wiki/Afrikaans,Afrikaans,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1123,natellen,—,Hoeveel snaren heeft de klassieke Colombiaanse tiple?,12,https://nl.wikipedia.org/wiki/Colombia,Colombia,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1124,natellen,—,Hoeveel snaren heeft de klassieke Mexicaanse mariachi-gitarron (bajo sexto)?,12,https://en.wikipedia.org/wiki/Mexican,Mexican,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1125,natellen,—,Hoeveel snaren heeft een klassieke Japanse koto?,13,https://nl.wikipedia.org/wiki/Japan,Japan,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1128,natellen,—,Hoeveel streams had Die With a Smile volgens Spotify’s 2025-lijst?,3442143544,https://en.wikipedia.org/wiki/Spotify,Spotify,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1129,bevestigd,—,Hoeveel studioalbums bracht Kylie Minogue uit?,16,https://nl.wikipedia.org/wiki/Kylie_Minogue,Kylie Minogue,"|align=""left""|''Better the devil you know''||1990||16-06-1990||22||6|| Nr. 16 in de Nationale Hitparade|Nationale Top 100"
1131,bevestigd,—,Hoeveel studioalbums bracht The Beatles uit in het Verenigd Koninkrijk?,12,https://nl.wikipedia.org/wiki/Verenigd_Koninkrijk,Verenigd Koninkrijk,"Voor die tijd bestond een pond uit 20 shilling en een shilling uit 12 pence, waardoor het pond dus 240 pence telde."
1134,geen bron,—,Hoeveel decibel veroorzaakt een gemiddeld gesprek op normale toon?,60,,,
1138,natellen,—,Hoeveel meter diep is de Challengerdiepte in de Marianentrog?,10935,https://nl.wikipedia.org/wiki/Challengerdiepte,Challengerdiepte,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1140,geen bron,—,Hoeveel meter per seconde meet een wind van windkracht 5?,10,,,
1141,geen bron,—,Wat is de snelheid van het geluid in droge lucht bij 20°C in km/u?,1235,,,
1144,natellen,—,Hoeveel Hollandse waterlijnen kent de oude Nederlandsche Waterlinie?,3,https://en.wikipedia.org/wiki/Hollandse_Synagoge,Hollandse Synagoge,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1146,bevestigd,—,Hoeveel NL-postcodes cijfers heeft een Nederlandse postcode standaard (vier cijfers plus twee letters)?,4,https://nl.wikipedia.org/wiki/Nederland,Nederland,"Ter vergelijking: de Belgische bevolking groeide van anderhalf keer zo groot als die van Nederland (4,5 miljoen in 1850) tot ruim een derde kleiner (10 miljoen in 2000)."
1147,natellen,—,Hoeveel Nederlandse Nobelprijswinnaars zijn er?,21,https://nl.wikipedia.org/wiki/Lijst_van_Nederlandse_Nobelprijswinnaars,Lijst van Nederlandse Nobelprijswinnaars,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1148,bevestigd,—,Hoeveel Nederlandse astronauten zijn er naar de ruimte gevlogen?,3,https://nl.wikipedia.org/wiki/Nederland,Nederland,"Door een gunstige zeewatertemperatuur van 3 °C in de winter en 16 °C in de zomer zijn vooral de Waddenzee en de Oosterschelde belangrijk als kraamkamer van onder meer schol, tong en mosselen."
1154,natellen,—,Hoeveel duizend bladzijden telt het Woordenboek der Nederlandsche Taal?,45,https://nl.wikipedia.org/wiki/Woordenboek_der_Nederlandsche_Taal,Woordenboek der Nederlandsche Taal,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1155,geen bron,—,Hoeveel bruggen telt het klassieke orkestnummer Bruggetje van Sainte Anneï in de titel niet?,0,,,
1156,geen bron,—,Hoeveel dagen duurt de Alvleeskliervlaamse Wielerweek Vredeskoers niet?,0,,,
1157,bevestigd,—,Hoeveel dagen duurt de Nederlands Dans Theater-productie Stop-Motion doorgaans per seizoensblok?,3,https://nl.wikipedia.org/wiki/Nederlands_Dans_Theater,Nederlands Dans Theater,"Tussen 1991 en 2006 bestond nog een derde groep: NDT 3 (dansers vanaf 40 jaar), opgericht op initiatief van Jiří Kylián."
1162,natellen,—,Hoeveel duizend inwoners heeft Rotterdam?,670,https://nl.wikipedia.org/wiki/Rotterdam,Rotterdam,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1167,natellen,—,Hoeveel graden Celsius is de gemiddelde zomertemperatuur in Nederland?,18,https://nl.wikipedia.org/wiki/Nederland,Nederland,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1170,natellen,—,Hoeveel gram boter gaat in de klassieke Nederlandse boterkoek per 10 porties?,250,https://nl.wikipedia.org/wiki/Nederland,Nederland,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1171,natellen,—,Hoeveel gram suiker bevat een standaard reep chocolade van Droste van 100 gram ongeveer?,55,https://nl.wikipedia.org/wiki/Droste,Droste,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1172,natellen,—,Hoeveel gram weegt een stroopwafel van het merk Daelmans standaard?,32,https://nl.wikipedia.org/wiki/Arne_Daelmans,Arne Daelmans,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1173,natellen,—,Hoeveel duizend inwoners heeft Amsterdam?,933,https://nl.wikipedia.org/wiki/Amsterdam,Amsterdam,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1175,geen bron,—,Hoeveel kapstokkaarten telt een standaard Nederlandse Mens-erger-je-niet?,4,,,
1177,bevestigd,—,Hoeveel keer per jaar publiceert het CBS de driejaarlijkse woondenquête?,1,https://en.wikipedia.org/wiki/CBS,CBS,"== Programming ==

As of 2026, CBS provides 87+1⁄2 hours of regularly scheduled network programming each week."
1179,bevestigd,—,Hoeveel keer won Oranje de FIFA World Cup bij de mannen?,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026 FIFA World Cup squads,"| {{#invoke:flag|deco|BRA}} ''' Brazilian football league system|Brazil ''' ||style=""text-align:center"" | 32 ||style=""text-align:center""| {{Decimals|{{#expr:32/1248*100}}|2}}% ||style=""text-align:center""| 25 ||style=""text-align:center""| 0"
1180,natellen,—,Hoeveel duizend kilometer fietspad telt Nederland?,35,https://nl.wikipedia.org/wiki/Nederland,Nederland,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1185,natellen,—,Hoeveel kilometer van de Maas ligt in Nederland?,250,https://nl.wikipedia.org/wiki/Nederland,Nederland,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1186,bevestigd,—,Hoeveel kilometer lang is het metronet van Rotterdam?,78,https://en.wikipedia.org/wiki/Rotterdam,Rotterdam,"The metro network has 78.3 km (48.7 mi) of rail tracks, and there are 70 stations, which makes it the largest of the Benelux."
1188,geen bron,—,Hoeveel kilometer lang is de Noord-Zuidlijn Amsterdam?,9,,,
1189,natellen,—,Hoeveel kilometer lang is de Van Brienenoordbrug hoofdspansegment?,300,https://nl.wikipedia.org/wiki/Van_Brienenoordbrug,Van Brienenoordbrug,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1193,bevestigd,—,Hoeveel kilometer lang is de kust van de Nederlandse Waddeneilanden ongeveer?,300,https://nl.wikipedia.org/wiki/Waddeneilanden,Waddeneilanden,"De zandplaat beslaat dan zo'n 2,5 bij 1,2 kilometer, ofwel 300 hectare."
1194,bevestigd,—,Hoeveel kinderen heeft koning Willem-Alexander?,3,https://nl.wikipedia.org/wiki/Willem-Alexander_der_Nederlanden,Willem-Alexander der Nederlanden,"Om die reden groeide hij op met alleen naar de radio te luisteren, voornamelijk naar de Nederlandse publieke zender Hilversum 3; de popzender."
1197,natellen,—,Hoeveel vierkante kilometer groot is de provincie Utrecht?,1449,https://nl.wikipedia.org/wiki/Utrecht_%28stad%29,Utrecht (stad),Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1198,bevestigd,—,"Hoeveel koppen bevat de Nederlandse driehoek bestuursniveaus (rijk, provincie, gemeente)?",3,https://nl.wikipedia.org/wiki/Nederland,Nederland,"Door een gunstige zeewatertemperatuur van 3 °C in de winter en 16 °C in de zomer zijn vooral de Waddenzee en de Oosterschelde belangrijk als kraamkamer van onder meer schol, tong en mosselen."
1203,geen bron,—,Hoeveel landen kocht de VOC formeel aan als koloniale gebieden?,0,,,
1208,natellen,—,Hoeveel liter melk drinkt een Nederlander per jaar?,50,https://nl.wikipedia.org/wiki/Nederlanders,Nederlanders,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1209,natellen,—,Hoeveel liter melk geeft een gemiddelde Nederlandse koe per jaar?,9200,https://nl.wikipedia.org/wiki/Nederland,Nederland,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1217,natellen,—,Hoeveel meter lang is het cruiseschip Rotterdam?,300,https://nl.wikipedia.org/wiki/Rotterdam,Rotterdam,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1218,natellen,—,Hoeveel meter onder zeeniveau ligt het diepste punt van Nederland?,7,https://nl.wikipedia.org/wiki/Nederland,Nederland,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1219,natellen,—,Hoeveel miljard euro bedraagt het Nederlandse defensiebudget?,21,https://nl.wikipedia.org/wiki/Nederland,Nederland,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1223,bevestigd,—,Hoeveel molens staan er op de Zaanse Schans?,8,https://en.wikipedia.org/wiki/Zaanse_Schans,Zaanse Schans,|type8=point|coord8={{coord|52.47804|4.81329}}|marker8=windmill|marker-color8=555555|title8=De Bonte Hen
1227,natellen,—,Hoeveel procent van Nederland ligt onder zeeniveau?,26,https://nl.wikipedia.org/wiki/Nederland,Nederland,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1228,natellen,—,Hoeveel procent van de Nederlanders woont in een rijtjeshuis?,30,https://nl.wikipedia.org/wiki/Nederlanders,Nederlanders,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1229,natellen,—,Hoeveel procent van de Nederlanders fietst dagelijks?,60,https://nl.wikipedia.org/wiki/Nederlanders,Nederlanders,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1230,natellen,—,Hoeveel procent van de Nederlandse betalingen verloopt contactloos of via pin volgens recente cijfers?,80,https://nl.wikipedia.org/wiki/Nederland,Nederland,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1231,natellen,—,Hoeveel procent van de Nederlanders woont in de Randstad?,40,https://nl.wikipedia.org/wiki/Nederlanders,Nederlanders,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1235,natellen,—,Hoeveel spelers zitten er in een Nederlands korfbalteam op het veld?,8,https://nl.wikipedia.org/wiki/Nederlands,Nederlands,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1238,bevestigd,—,Hoeveel strepen heeft het Nederlandse vlagontwerp in horizontale banen?,3,https://nl.wikipedia.org/wiki/Nederland,Nederland,"Door een gunstige zeewatertemperatuur van 3 °C in de winter en 16 °C in de zomer zijn vooral de Waddenzee en de Oosterschelde belangrijk als kraamkamer van onder meer schol, tong en mosselen."
1239,bevestigd,—,Hoeveel tekeningen van Rembrandt bezit het Rijksmuseum volgens de huidige collectie-informatie?,64,https://en.wikipedia.org/wiki/List_of_works_about_Rembrandt,List of works about Rembrandt,"The Burlington Magazine 90(540): 64–67
Muth, Christopher C."
1244,bevestigd,—,Hoeveel dagvlindersoorten komen voor in Nederland?,53,https://nl.wikipedia.org/wiki/Nederland,Nederland,"Vanaf 1963 tot 2016, in 53 jaar, is deze met nog eens 5 miljoen (ruim 40%) gegroeid."
1245,bevestigd,—,Hoeveel voetbalstadions van eredivisieclubs hebben een capaciteit boven de 50.000 (Amsterdam Arena en De Kuip)?,2,https://en.wikipedia.org/wiki/De_Kuip,De Kuip,"It has also long been one of the home grounds of the Netherlands national football team, having hosted over 150 international matches, the first international match at the stadium was a match against Belgium on 2 May 1937."
1248,natellen,—,Hoeveel zuilen heeft het Rijksmuseum aan de voorgevel?,8,https://nl.wikipedia.org/wiki/Rijksmuseum_Amsterdam,Rijksmuseum Amsterdam,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1250,natellen,—,Hoeveel miljoen inwoners heeft India?,1440,https://nl.wikipedia.org/wiki/India,India,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1251,bevestigd,—,Hoeveel artikelen telt de Universele Verklaring van de Rechten van de Mens?,30,https://en.wikipedia.org/wiki/Universal_Declaration_of_Human_Rights,Universal Declaration of Human Rights,"A foundational text in the history of human and civil rights, the Declaration consists of 30 articles detailing an individual's ""basic rights and fundamental freedoms"" and affirming their universal character as inherent, inalienable, and applicable to all human beings."
1255,bevestigd,—,Hoeveel electorale stemmen heeft Californië (2024)?,54,https://en.wikipedia.org/wiki/California,California,"Consequently, California also has the largest number of electoral votes in national presidential elections, with 54."
1257,geen bron,—,Hoeveel electorale stemmen zijn er nodig om de VS-presidentsverkiezing te winnen?,270,,,
1258,bevestigd,—,Hoeveel emiraten heeft Saoedi-Arabië als koninkrijk in bestuurlijke regio (provincies)?,13,https://nl.wikipedia.org/wiki/Saoedi-Arabi%C3%AB,Saoedi-Arabië,"|rowspan=""2"" width=""25%""|13 Provincies van Saoedi-Arabië|administratieve regio's [a]"
1259,bevestigd,—,Hoeveel jaar duurt een termijn van het Australische Huis van Afgevaardigden?,3,https://en.wikipedia.org/wiki/Australian_House_of_Representatives,Australian House of Representatives,| term_length = 3 years
1260,natellen,—,Hoeveel jaar duurt een termijn van het Nieuw-Zeelandse parlement?,3,https://nl.wikipedia.org/wiki/Nieuw-Zeeland,Nieuw-Zeeland,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1261,natellen,—,Hoeveel jaren duurt een termijn van een Amerikaanse senator?,6,https://nl.wikipedia.org/wiki/American,American,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1264,natellen,—,Hoeveel landen gebruiken de Centraal-Afrikaanse CFA frank?,6,https://en.wikipedia.org/wiki/Central_African_CFA_franc,Central African CFA franc,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1265,natellen,—,Hoeveel landen gebruiken de West-Afrikaanse CFA-frank?,8,https://nl.wikipedia.org/wiki/CFA-frank,CFA-frank,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1268,bevestigd,—,Hoeveel landen telt Oceanië?,14,https://en.wikipedia.org/wiki/Oceania,Oceania,| title = ( List of sovereign states and dependent territories in Oceania#United Nations member states|14 )
1269,geen bron,—,Hoeveel landen zijn lid van de CELAC?,33,,,
1273,natellen,—,Hoeveel leden telt de ASEAN-organisatie (2024)?,10,https://nl.wikipedia.org/wiki/ASEAN,ASEAN,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1277,geen bron,—,Hoeveel leden telt de SAARC organisatie?,8,,,
1283,natellen,—,Hoeveel provincies heeft Argentinië (inclusief de hoofdstad als aparte provincie)?,24,https://nl.wikipedia.org/wiki/Argentini%C3%AB,Argentinië,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1287,bevestigd,—,Hoeveel rechterzittingen telt het Amerikaanse Hooggerechtshof?,9,https://en.wikipedia.org/wiki/Supreme_Court_of_the_United_States,Supreme Court of the United States,"When the court is not in session, lectures about the courtroom are held hourly from 9:30 am to 3:30 pm and reservations are not necessary."
1289,natellen,—,Hoeveel staten en territoria telt Australië samen?,8,https://nl.wikipedia.org/wiki/Australi%C3%AB_%28land%29,Australië (land),Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1293,bevestigd,—,Hoeveel zetels telt de Nieuw-Zeelandse Kamer van Afgevaardigden?,120,https://nl.wikipedia.org/wiki/Nieuw-Zeeland,Nieuw-Zeeland,Het land heeft een parlement bestaande uit één kamer met normaal gesproken 120 leden.
1294,natellen,—,Hoeveel zetels telt het Australische Huis van Afgevaardigden?,151,https://en.wikipedia.org/wiki/Australian_House_of_Representatives,Australian House of Representatives,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1297,geen bron,—,Hoe hoog was de hoogste duik vanaf een klif in meters?,59,,,
1298,geen bron,—,Hoe hoog was de hoogste robot ooit gebouwd in meters?,18,,,
1299,geen bron,—,Hoe lang was de langste baard ooit in meters?,5,,,
1300,geen bron,—,Hoe lang was de langste man ooit in centimeters?,272,,,
1302,geen bron,—,Hoe lang was de langste taart ooit in kilometer?,10,,,
1303,geen bron,—,Hoe lang was de langste trein ooit in kilometers?,7,,,
1304,geen bron,—,Hoe lang was de langste trouwjurkstaart ooit in meters?,8095,,,
1305,geen bron,—,Hoe lang was het langste haar ooit in meters?,6,,,
1306,geen bron,—,Hoe oud werd de oudste kat ooit in jaren?,38,,,
1307,geen bron,—,Hoe zwaar was de grootste chocoladereep ooit in kilogram?,13696,,,
1308,geen bron,—,Hoe zwaar was de grootste portie friet ooit in kilogram?,1000,,,
1309,geen bron,—,Hoe zwaar was de zwaarste schildpad ooit in kilogram?,916,,,
1310,natellen,—,Hoeveel LEGO-steentjes werden gebruikt voor het grootste LEGO-model?,5335200,https://nl.wikipedia.org/wiki/LEGO,LEGO,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1311,geen bron,—,Hoeveel jongleurs deden mee aan het grootste jongleerrecord?,1000,,,
1312,geen bron,—,Hoeveel liter soep bevatte de grootste kom soep ooit?,20000,,,
1313,geen bron,—,Hoeveel mensen deden mee aan het grootste waterballonnengevecht ooit?,8000,,,
1314,geen bron,—,Hoeveel push-ups werden er in 24 uur uitgevoerd bij het huidige record?,46000,,,
1315,geen bron,—,Hoeveel wagons had de langste passagierstrein ooit?,100,,,
1316,natellen,—,Hoeveel hotels heeft Hilton wereldwijd ongeveer?,7500,https://nl.wikipedia.org/wiki/Paris_Hilton,Paris Hilton,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1321,geen bron,—,Hoeveel elektronen kan de derde elektronenschil maximaal bevatten?,18,,,
1330,bevestigd,—,Hoeveel LEGO-studs heeft een standaard 2×4 LEGO-steen aan de bovenkant?,8,https://nl.wikipedia.org/wiki/LEGO_Masters_%28Nederland/Vlaanderen%29,LEGO Masters (Nederland/Vlaanderen),"Daarna werden een voor een kettlebell-gewichten van respectievelijk 8, 8, 10, 10, 12, 12, 14, 14, 16, 16, 20 en 20 kg op de brug geplaatst."
1331,natellen,—,Hoeveel gekleurde vierkantjes telt een standaard Rubik's kubus aan de buitenkant?,54,https://en.wikipedia.org/wiki/Rubik%27s_Cube,Rubik's Cube,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1332,natellen,—,Hoeveel grondstoffenkaarten zitten er in het basisspel van Catan?,95,https://nl.wikipedia.org/wiki/Catan,Catan,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1333,natellen,—,"Hoeveel kaarten bevat een klassiek Monopoly-spel in totaal aan eigendoms-, kans- en algemeenfondskaarten?",60,https://nl.wikipedia.org/wiki/Monopoly,Monopoly,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1334,geen bron,—,Hoeveel kaarten krijgt iedere speler bij de start van UNO?,7,,,
1339,geen bron,—,Hoeveel vakjes telt een internationaal dambord (10×10)?,100,,,
1340,geen bron,—,Hoeveel vakken bevat een standaard dambord?,64,,,
1347,bevestigd,—,Hoeveel games worden er in een Wimbledon-set minimaal gewonnen om de set te pakken?,6,https://nl.wikipedia.org/wiki/Wimbledon_2026_%28vrouwen%29,Wimbledon 2026 (vrouwen),Spelregel: in de beslissende set wordt bij een stand van 6–6 een supertiebreak (tot 10 punten) gespeeld.
1353,natellen,—,Hoeveel jaar zit er tussen twee WK-voetbaltoernooien?,4,https://nl.wikipedia.org/wiki/WDF_World_Cup,WDF World Cup,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
1354,bevestigd,—,Hoeveel jaar zit er tussen twee zomer-Olympische Spelen?,4,https://en.wikipedia.org/wiki/Olympic_Games,Olympic Games,"|title=Olympics to Hold Events Every 2 Years : Winter Games to Be Split Off, Start Own 4-Year Cycle in '94"
1355,bevestigd,—,Hoeveel keer was Australië gastheer van de zomer-Olympische Spelen (tot 2032)?,3,https://nl.wikipedia.org/wiki/Australi%C3%AB_%28land%29,Australië (land),| Voor3 = Tasmanië
1374,geen bron,—,Hoeveel kuiven heeft een honkbalveld (bases plus home plate)?,4,,,
1379,geen bron,—,Hoeveel meter is de klassieke sprintafstand in de atletiek?,100,,,
1383,geen bron,—,Hoeveel meter sprintt een schaatser op de kortebaan-afstand?,500,,,
1384,bevestigd,—,Hoeveel minuten duurt een NBA-basketbalwedstrijd officieel?,48,https://nl.wikipedia.org/wiki/Basketbal,Basketbal,1 wedstrijd duurt 40 (in de FIBA) of 48 minuten (in de NBA).
1385,geen bron,—,Hoeveel minuten duurt een ijshockeywedstrijd netto?,60,,,
1386,geen bron,—,Hoeveel minuten duurt een rugbywedstrijd netto?,80,,,
1388,geen bron,—,Hoeveel minuten officiële speeltijd heeft een NBA-wedstrijd?,48,,,
1389,geen bron,—,Hoeveel minuten officiële speeltijd heeft een NFL-wedstrijd?,60,,,
1392,geen bron,—,Hoeveel pijlen gooit een darter per beurt?,3,,,
1393,geen bron,—,Hoeveel pogingen heeft een gewichtheffer per discipline?,3,,,
1394,bevestigd,—,Hoeveel proloog kilometers telt een Tour de France etappe bijna nooit?,0,https://en.wikipedia.org/wiki/1985_Tour_de_France,1985 Tour de France,"Paul Sherwen (La Redoute) was involved in a crash just 1 km (0.62 mi) into the stage and suffered throughout, reaching the finish more than an hour behind Pedersen."
1395,geen bron,—,Hoeveel punten is een maximale dartscore met drie pijlen?,180,,,
