Nr,In gebruik,Categorie,Vraag NL,Antwoord,Welke bron nodig,Waar te vinden,Bron (door jou)
894,—,Geografie,Hoeveel landen grenzen aan Mozambique?,6,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
898,—,Geografie,Hoeveel landen grenzen aan Oeganda?,5,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
906,—,Geografie,Hoeveel landen grenzen aan Spanje (vasteland)?,5,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
907,—,Geografie,Hoeveel landen grenzen aan Tanzania?,8,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
911,—,Geografie,Hoeveel landen grenzen aan Zuid-Afrika?,6,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
919,—,Geografie,Hoeveel landen liggen er aan de Middellandse Zee (Noord-Afrika + Europa + Azië)?,22,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
920,—,Geografie,Hoeveel landen telt Europa?,50,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
921,—,Geografie,Hoeveel landen liggen er in Melanesië?,4,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
923,—,Geografie,Hoeveel landen telt Azië?,49,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
924,—,Geografie,Hoeveel landen telt Midden-Amerika?,7,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
925,—,Geografie,Hoeveel landen telt de Sahel-regio?,10,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
931,—,Geografie,Hoeveel meter hoog is de K2?,8611,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
943,—,Geografie,Hoeveel meter hoog zijn de Victoriawatervallen?,108,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
949,—,Geografie,Hoeveel miljoen inwoners heeft Colombia?,52,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
950,—,Geografie,Hoeveel miljoen inwoners heeft Mexico?,130,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
951,—,Geografie,Hoeveel miljoen inwoners heeft Nieuw-Zeeland?,5,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
954,—,Geografie,Hoeveel nationale parken telt de Verenigde Staten?,63,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
959,—,Geografie,Hoeveel procent van Australië is woestijn of droog gebied?,70,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
963,—,Geografie,Hoeveel regio's telt Nieuw-Zeeland?,16,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
964,—,Geografie,Hoeveel staatjes telt Micronesië als federatie?,4,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
966,—,Geografie,Hoeveel sterren staan er op de Amerikaanse vlag?,50,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
968,—,Geografie,Hoeveel territoria heeft Australië naast de staten?,2,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
969,—,Geografie,Hoeveel tijdzones heeft Australië?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
970,—,Geografie,Hoeveel tijdzones heeft Nieuw-Zeeland?,2,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
972,—,Geografie,Hoeveel tijdzones telt het vasteland van de VS?,4,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
998,—,Geschiedenis,Hoeveel jaar duurde de Biafra-oorlog?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1007,—,Geschiedenis,Hoeveel landen ondertekenden het Verdrag van Rome in 1957?,6,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1008,—,Geschiedenis,Hoeveel landen waren er bij de oprichting van de NAVO in 1949?,12,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1024,—,Dagelijks leven,Hoeveel vel papier zitten er in een standaard riem printpapier?,500,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1060,—,Kunst en cultuur,Hoeveel bezoekers ontving het Louvre in 2023?,8900000,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1062,—,Kunst en cultuur,Hoeveel kilogram weegt de Moai-beelden op Paaseiland gemiddeld?,12500,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1064,—,Kunst en cultuur,Hoeveel officiële UNESCO-werelderfgoedlocaties heeft China volgens de UNESCO-werelderfgoedlijst?,59,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1065,—,Kunst en cultuur,Hoeveel officiële UNESCO-werelderfgoedlocaties heeft Duitsland volgens de UNESCO-werelderfgoedlijst?,54,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1067,—,Kunst en cultuur,Hoeveel panelen telt het Lam Gods van Van Eyck?,12,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1102,—,Mode en lifestyle,Hoeveel knopen heeft een standaard overhemd meestal aan de voorkant?,7,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1105,—,Muziek,Hoeveel Grammy's won AC/DC?,1,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1107,—,Muziek,Hoeveel albums bracht AC/DC uit tot 2024 (studioalbums)?,17,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1109,—,Muziek,Hoeveel dansstijlen worden er klassiek onderscheiden in de Cubaanse rumba-familie (drie hoofdstijlen)?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1112,—,Muziek,Hoeveel muzikanten telt een klassieke mariachiband?,10,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1116,—,Muziek,Hoeveel snaarinstrumenten bevat de klassieke Japanse koto-ensemble van hoort?,13,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1117,—,Muziek,Hoeveel snaren heeft de Ethiopische krar?,6,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1118,—,Muziek,Hoeveel snaren heeft een Indiase sitar?,20,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1119,—,Muziek,Hoeveel snaren heeft de West-Afrikaanse djembé als trommel?,0,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1121,—,Muziek,Hoeveel snaren heeft de klassieke Afrikaanse kora traditioneel?,21,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1123,—,Muziek,Hoeveel snaren heeft de klassieke Colombiaanse tiple?,12,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1124,—,Muziek,Hoeveel snaren heeft de klassieke Mexicaanse mariachi-gitarron (bajo sexto)?,12,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1125,—,Muziek,Hoeveel snaren heeft een klassieke Japanse koto?,13,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1128,—,Muziek,Hoeveel streams had Die With a Smile volgens Spotify’s 2025-lijst?,3442143544,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1129,—,Muziek,Hoeveel studioalbums bracht Kylie Minogue uit?,16,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1131,—,Muziek,Hoeveel studioalbums bracht The Beatles uit in het Verenigd Koninkrijk?,12,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1134,—,Natuurkunde,Hoeveel decibel veroorzaakt een gemiddeld gesprek op normale toon?,60,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1138,—,Geografie,Hoeveel meter diep is de Challengerdiepte in de Marianentrog?,10935,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1144,—,Geschiedenis,Hoeveel Hollandse waterlijnen kent de oude Nederlandsche Waterlinie?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1146,—,Dagelijks leven,Hoeveel NL-postcodes cijfers heeft een Nederlandse postcode standaard (vier cijfers plus twee letters)?,4,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1147,—,Geschiedenis,Hoeveel Nederlandse Nobelprijswinnaars zijn er?,21,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1148,—,Sterrenkunde & ruimte,Hoeveel Nederlandse astronauten zijn er naar de ruimte gevlogen?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1154,—,Taal,Hoeveel duizend bladzijden telt het Woordenboek der Nederlandsche Taal?,45,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1155,—,Muziek,Hoeveel bruggen telt het klassieke orkestnummer Bruggetje van Sainte Anneï in de titel niet?,0,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1156,—,Sport,Hoeveel dagen duurt de Alvleeskliervlaamse Wielerweek Vredeskoers niet?,0,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1157,—,Kunst en cultuur,Hoeveel dagen duurt de Nederlands Dans Theater-productie Stop-Motion doorgaans per seizoensblok?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1162,—,Geografie,Hoeveel duizend inwoners heeft Rotterdam?,670,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1167,—,Geografie,Hoeveel graden Celsius is de gemiddelde zomertemperatuur in Nederland?,18,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1170,—,Eten & drinken,Hoeveel gram boter gaat in de klassieke Nederlandse boterkoek per 10 porties?,250,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1172,—,Eten & drinken,Hoeveel gram weegt een stroopwafel van het merk Daelmans standaard?,32,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1173,—,Geografie,Hoeveel duizend inwoners heeft Amsterdam?,933,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1175,—,Spellen en speelgoed,Hoeveel kapstokkaarten telt een standaard Nederlandse Mens-erger-je-niet?,4,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1177,—,Dagelijks leven,Hoeveel keer per jaar publiceert het CBS de driejaarlijkse woondenquête?,1,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1179,—,Sport,Hoeveel keer won Oranje de FIFA World Cup bij de mannen?,0,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1180,—,Vervoer,Hoeveel duizend kilometer fietspad telt Nederland?,35,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1185,—,Geografie,Hoeveel kilometer van de Maas ligt in Nederland?,250,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1186,—,Vervoer,Hoeveel kilometer lang is het metronet van Rotterdam?,78,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1188,—,Vervoer,Hoeveel kilometer lang is de Noord-Zuidlijn Amsterdam?,9,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1189,—,Gebouwen en infrastructuur,Hoeveel kilometer lang is de Van Brienenoordbrug hoofdspansegment?,300,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1194,—,Geschiedenis,Hoeveel kinderen heeft koning Willem-Alexander?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1197,—,Geografie,Hoeveel vierkante kilometer groot is de provincie Utrecht?,1449,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1198,—,Politiek en recht,"Hoeveel koppen bevat de Nederlandse driehoek bestuursniveaus (rijk, provincie, gemeente)?",3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1203,—,Geschiedenis,Hoeveel landen kocht de VOC formeel aan als koloniale gebieden?,0,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1208,—,Eten & drinken,Hoeveel liter melk drinkt een Nederlander per jaar?,50,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1209,—,Landbouw en industrie,Hoeveel liter melk geeft een gemiddelde Nederlandse koe per jaar?,9200,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1217,—,Vervoer,Hoeveel meter lang is het cruiseschip Rotterdam?,300,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1219,—,Politiek en recht,Hoeveel miljard euro bedraagt het Nederlandse defensiebudget?,21,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1223,—,Gebouwen en infrastructuur,Hoeveel molens staan er op de Zaanse Schans?,8,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1230,—,Economie & geld,Hoeveel procent van de Nederlandse betalingen verloopt contactloos of via pin volgens recente cijfers?,80,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1238,—,Geografie,Hoeveel strepen heeft het Nederlandse vlagontwerp in horizontale banen?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1239,—,Kunst en cultuur,Hoeveel tekeningen van Rembrandt bezit het Rijksmuseum volgens de huidige collectie-informatie?,64,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1244,—,Dieren,Hoeveel dagvlindersoorten komen voor in Nederland?,53,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1245,—,Sport,Hoeveel voetbalstadions van eredivisieclubs hebben een capaciteit boven de 50.000 (Amsterdam Arena en De Kuip)?,2,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1250,—,Geografie,Hoeveel miljoen inwoners heeft India?,1440,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1251,—,Politiek en recht,Hoeveel artikelen telt de Universele Verklaring van de Rechten van de Mens?,30,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1255,—,Politiek en recht,Hoeveel electorale stemmen heeft Californië (2024)?,54,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1257,—,Politiek en recht,Hoeveel electorale stemmen zijn er nodig om de VS-presidentsverkiezing te winnen?,270,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1258,—,Politiek en recht,Hoeveel emiraten heeft Saoedi-Arabië als koninkrijk in bestuurlijke regio (provincies)?,13,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1259,—,Politiek en recht,Hoeveel jaar duurt een termijn van het Australische Huis van Afgevaardigden?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1260,—,Politiek en recht,Hoeveel jaar duurt een termijn van het Nieuw-Zeelandse parlement?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1261,—,Politiek en recht,Hoeveel jaren duurt een termijn van een Amerikaanse senator?,6,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1264,—,Politiek en recht,Hoeveel landen gebruiken de Centraal-Afrikaanse CFA frank?,6,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1265,—,Politiek en recht,Hoeveel landen gebruiken de West-Afrikaanse CFA-frank?,8,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1268,—,Geografie,Hoeveel landen telt Oceanië?,14,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1269,—,Politiek en recht,Hoeveel landen zijn lid van de CELAC?,33,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1273,—,Politiek en recht,Hoeveel leden telt de ASEAN-organisatie (2024)?,10,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1277,—,Politiek en recht,Hoeveel leden telt de SAARC organisatie?,8,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1283,—,Politiek en recht,Hoeveel provincies heeft Argentinië (inclusief de hoofdstad als aparte provincie)?,24,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1287,—,Politiek en recht,Hoeveel rechterzittingen telt het Amerikaanse Hooggerechtshof?,9,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1289,—,Politiek en recht,Hoeveel staten en territoria telt Australië samen?,8,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1293,—,Politiek en recht,Hoeveel zetels telt de Nieuw-Zeelandse Kamer van Afgevaardigden?,120,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1294,—,Politiek en recht,Hoeveel zetels telt het Australische Huis van Afgevaardigden?,151,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1297,—,Records en vergelijkingen,Hoe hoog was de hoogste duik vanaf een klif in meters?,59,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1310,—,Records en vergelijkingen,Hoeveel LEGO-steentjes werden gebruikt voor het grootste LEGO-model?,5335200,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1311,—,Records en vergelijkingen,Hoeveel jongleurs deden mee aan het grootste jongleerrecord?,1000,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1330,—,Spellen en speelgoed,Hoeveel LEGO-studs heeft een standaard 2×4 LEGO-steen aan de bovenkant?,8,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1332,—,Spellen en speelgoed,Hoeveel grondstoffenkaarten zitten er in het basisspel van Catan?,95,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1333,—,Spellen en speelgoed,"Hoeveel kaarten bevat een klassiek Monopoly-spel in totaal aan eigendoms-, kans- en algemeenfondskaarten?",60,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1334,—,Spellen en speelgoed,Hoeveel kaarten krijgt iedere speler bij de start van UNO?,7,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1339,—,Spellen en speelgoed,Hoeveel vakjes telt een internationaal dambord (10×10)?,100,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1340,—,Spellen en speelgoed,Hoeveel vakken bevat een standaard dambord?,64,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1347,—,Sport,Hoeveel games worden er in een Wimbledon-set minimaal gewonnen om de set te pakken?,6,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1353,—,Sport,Hoeveel jaar zit er tussen twee WK-voetbaltoernooien?,4,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1354,—,Sport,Hoeveel jaar zit er tussen twee zomer-Olympische Spelen?,4,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1355,—,Sport,Hoeveel keer was Australië gastheer van de zomer-Olympische Spelen (tot 2032)?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1374,—,Sport,Hoeveel kuiven heeft een honkbalveld (bases plus home plate)?,4,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1379,—,Sport,Hoeveel meter is de klassieke sprintafstand in de atletiek?,100,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1383,—,Sport,Hoeveel meter sprintt een schaatser op de kortebaan-afstand?,500,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1384,—,Sport,Hoeveel minuten duurt een NBA-basketbalwedstrijd officieel?,48,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1385,—,Sport,Hoeveel minuten duurt een ijshockeywedstrijd netto?,60,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1386,—,Sport,Hoeveel minuten duurt een rugbywedstrijd netto?,80,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1392,—,Sport,Hoeveel pijlen gooit een darter per beurt?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1394,—,Sport,Hoeveel proloog kilometers telt een Tour de France etappe bijna nooit?,0,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1395,—,Sport,Hoeveel punten is een maximale dartscore met drie pijlen?,180,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1413,—,Sport,Hoeveel teams spelen er in de NBA?,30,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1414,—,Sport,Hoeveel teams spelen er in de NFL?,32,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1472,—,Technologie,In welk jaar werd de Toyota motorfiets eerste gebouwd - nee Toyota is auto (1885 Daimler - dit zit niet in Azië)?,0,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1486,—,Vervoer,Hoeveel gategebieden heeft Atlanta Airport?,7,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
1506,—,Wiskunde,Hoeveel graden is elke binnenhoek van een regelmatige zeshoek?,120,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
74,daily,Spellen en speelgoed,Hoeveel LEGO-steentjes worden er wereldwijd per seconde gemaakt?,1300,bedrijfscijfer,Jaarverslag of persmap van het bedrijf zelf.,
546,puzzel,Technologie,Hoeveel duizend zoekopdrachten verwerkt Google wereldwijd per seconde?,99,bedrijfscijfer,Jaarverslag of persmap van het bedrijf zelf.,
1140,—,Natuurkunde,Hoeveel meter per seconde meet een wind van windkracht 5?,10,bedrijfscijfer,Jaarverslag of persmap van het bedrijf zelf.,
1454,—,Technologie,Hoeveel frames per seconde toont een standaard bioscoopfilm?,24,bedrijfscijfer,Jaarverslag of persmap van het bedrijf zelf.,
1488,—,Vervoer,Hoeveel miljoen nieuwe personenauto’s worden er wereldwijd per jaar geproduceerd?,85,bedrijfscijfer,Jaarverslag of persmap van het bedrijf zelf.,
156,puzzel,Dieren,Hoeveel kilometer diep kan de potvis duiken?,2000,natuurgegevens,"IUCN Red List, of een naslagwerk als de Encyclopedia of Life.",
157,puzzel,Dieren,Hoeveel kilometer legt de Noordse stern jaarlijks trekafstand af?,70000,natuurgegevens,"IUCN Red List, of een naslagwerk als de Encyclopedia of Life.",
638,—,Dieren,Hoeveel eieren legt een kangoeroe per worp?,0,natuurgegevens,"IUCN Red List, of een naslagwerk als de Encyclopedia of Life.",
647,—,Dieren,Hoeveel kilogram weegt een volwassen mannelijke Bengaalse tijger?,220,natuurgegevens,"IUCN Red List, of een naslagwerk als de Encyclopedia of Life.",
657,—,Dieren,Hoeveel kilometer per uur sprint een leeuw?,80,natuurgegevens,"IUCN Red List, of een naslagwerk als de Encyclopedia of Life.",
663,—,Dieren,Hoeveel meter lang wordt een Afrikaanse olifant?,7,natuurgegevens,"IUCN Red List, of een naslagwerk als de Encyclopedia of Life.",
675,—,Dieren,Hoeveel soorten telt de kangoeroefamilie (Macropodidae)?,65,natuurgegevens,"IUCN Red List, of een naslagwerk als de Encyclopedia of Life.",
686,—,Dieren,Hoeveel uur per dag slaapt een koala?,20,natuurgegevens,"IUCN Red List, of een naslagwerk als de Encyclopedia of Life.",
687,—,Dieren,Hoeveel uur per dag slaapt een leeuw gemiddeld?,20,natuurgegevens,"IUCN Red List, of een naslagwerk als de Encyclopedia of Life.",
723,—,Eten & drinken,Hoeveel soorten worst kent de Duitse keuken ongeveer?,300,natuurgegevens,"IUCN Red List, of een naslagwerk als de Encyclopedia of Life.",
147,puzzel,Biologie & gezondheid,Hoeveel stappen per dag is de vaak geciteerde streefwaarde?,10000,praktijkkennis — bron twijfelachtig,Er is geen gezaghebbende bron; dit is een vuistregel. Overweeg te schrappen.,
188,puzzel,Eten & drinken,Hoeveel minuten kook je een ei voor een zacht gekookt ei?,6,praktijkkennis — bron twijfelachtig,Er is geen gezaghebbende bron; dit is een vuistregel. Overweeg te schrappen.,
104,daily,Wiskunde,Hoeveel is de som van de getallen 1 tot en met 100?,5050,rekensom — geen bron mogelijk,"Dit is een berekening, geen feit. Een bron bestaat niet en is niet nodig.",
105,daily,Wiskunde,Hoeveel manieren kun je 3 renners op een podium van 8 deelnemers indelen?,336,rekensom — geen bron mogelijk,"Dit is een berekening, geen feit. Een bron bestaat niet en is niet nodig.",
599,puzzel,Wiskunde,Hoeveel zijden heeft een icosaeder?,20,rekensom — geen bron mogelijk,"Dit is een berekening, geen feit. Een bron bestaat niet en is niet nodig.",
506,puzzel,Sport,Hoeveel spelers telt een cricketteam op het veld?,11,sportbond of competitie,"Het reglement van de bond (FIFA, NBA, UCI, World Rugby).",
507,puzzel,Sport,Hoeveel spelers telt een waterpoloteam in het water?,7,sportbond of competitie,"Het reglement van de bond (FIFA, NBA, UCI, World Rugby).",
1235,—,Sport,Hoeveel spelers zitten er in een Nederlands korfbalteam op het veld?,8,sportbond of competitie,"Het reglement van de bond (FIFA, NBA, UCI, World Rugby).",
1388,—,Sport,Hoeveel minuten officiële speeltijd heeft een NBA-wedstrijd?,48,sportbond of competitie,"Het reglement van de bond (FIFA, NBA, UCI, World Rugby).",
1389,—,Sport,Hoeveel minuten officiële speeltijd heeft een NFL-wedstrijd?,60,sportbond of competitie,"Het reglement van de bond (FIFA, NBA, UCI, World Rugby).",
1393,—,Sport,Hoeveel pogingen heeft een gewichtheffer per discipline?,3,sportbond of competitie,"Het reglement van de bond (FIFA, NBA, UCI, World Rugby).",
1402,—,Sport,Hoeveel spelers heeft een basketbalteam op het veld per ploeg?,5,sportbond of competitie,"Het reglement van de bond (FIFA, NBA, UCI, World Rugby).",
1404,—,Sport,Hoeveel spelers heeft een hockeyteam op het veld per ploeg?,11,sportbond of competitie,"Het reglement van de bond (FIFA, NBA, UCI, World Rugby).",
1405,—,Sport,Hoeveel spelers heeft een rugbyteam per ploeg op het veld (union)?,15,sportbond of competitie,"Het reglement van de bond (FIFA, NBA, UCI, World Rugby).",
1411,—,Sport,Hoeveel spelers staat er per ploeg op het veld bij een rugby league-wedstrijd?,13,sportbond of competitie,"Het reglement van de bond (FIFA, NBA, UCI, World Rugby).",
1412,—,Sport,Hoeveel spelers telt een volleybalteam op het veld?,6,sportbond of competitie,"Het reglement van de bond (FIFA, NBA, UCI, World Rugby).",
187,puzzel,Eten & drinken,Hoeveel kcal heeft een middelgroot ei?,70,voedingswaarde,Voedingscentrum (NL) of de USDA FoodData Central (internationaal).,
1171,—,Eten & drinken,Hoeveel gram suiker bevat een standaard reep chocolade van Droste van 100 gram ongeveer?,55,voedingswaarde,Voedingscentrum (NL) of de USDA FoodData Central (internationaal).,
