Nr,Vraag NL,Zoekterm,Commons-bestandspagina,Afbeelding,Licentie,Maker,Alternatieven
64,Hoeveel kiesmannen telt het Amerikaanse Electoral College?,U.S.,https://commons.wikimedia.org/wiki/File%3ANational_Park_Service_9-11_Statue_of_Liberty_and_WTC_fire.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fd/National_Park_Service_9-11_Statue_of_Liberty_and_WTC_fire.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,National Park Service,8
65,Hoeveel rechters telt het Internationaal Gerechtshof?,International Court Justice,https://commons.wikimedia.org/wiki/File%3AInternational_Court_of_Justice_HQ_2006.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a0/International_Court_of_Justice_HQ_2006.jpg/1280px-International_Court_of_Justice_HQ_2006.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,International Court of Justice; originally uploaded by Yeu Ninje at en.wikipedia.,8
66,Hoe groot was het grootste permanente IMAX-scherm in vierkante meter?,IMAX,https://commons.wikimedia.org/wiki/File%3AInterior_of_IMAX_cinema_in_Lahore_2.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fa/Interior_of_IMAX_cinema_in_Lahore_2.jpg/1280px-Interior_of_IMAX_cinema_in_Lahore_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Shahzaib Damn Cruze,8
67,Hoe lang duurde de langste voetbalwedstrijd ooit in minuten?,ever last minutes,https://commons.wikimedia.org/wiki/File%3ASTS_135_Crosses_Terminator_for_Last_Time.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/78/STS_135_Crosses_Terminator_for_Last_Time.jpg/1280px-STS_135_Crosses_Terminator_for_Last_Time.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,C m handler,3
68,Hoe lang waren de langste mouwen aan een kledingstuk ooit in meters?,garment ever metres,https://commons.wikimedia.org/wiki/File%3ADetail_of_Gladiator_mosaic%2C_two_Eques_fighting_equipped_with_lance%2C_sword_and_the_traditional_small_round_shield%2C_R%C3%B6merhalle%2C_Bad_Kreuznach%2C_Germany_%288197211680%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0c/Detail_of_Gladiator_mosaic%2C_two_Eques_fighting_equipped_with_lance%2C_sword_and_the_traditional_small_round_shield%2C_R%C3%B6merhalle%2C_Bad_Kreuznach%2C_Germany_%288197211680%29.jpg/1280px-thumbnail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 2.0,"Carole Raddato from FRANKFURT, Germany",7
69,Hoe lang was de langste vrouw ooit in centimeters?,longest woman ever,https://commons.wikimedia.org/wiki/File%3AMoon_photographs_with_foreground_tree.png,https://upload.wikimedia.org/wikipedia/commons/a/ab/Moon_photographs_with_foreground_tree.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 3.0,User:Ladyquartermaine,4
70,Hoe zwaar was de zwaarste hamburger ooit in kilogram?,ever kilograms,https://commons.wikimedia.org/wiki/File%3ASTS-116_spacewalk_1.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/89/STS-116_spacewalk_1.jpg/1280px-STS-116_spacewalk_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,NASA,8
71,Hoe zwaar was de zwaarste pompoen ooit in kilogram?,pumpkin ever kilograms,https://commons.wikimedia.org/wiki/File%3AThe_pumpkin_of_507_kilograms.JPG,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bf/The_pumpkin_of_507_kilograms.JPG/1280px-The_pumpkin_of_507_kilograms.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Dobrislava,1
72,Hoeveel procent van het lichaam was bedekt met tatoeages bij de meest getatoeëerde man?,most tattooed man,https://commons.wikimedia.org/wiki/File%3AThe_tattooed_man_%28NYPL_Hades-464672-1712644%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/79/The_tattooed_man_%28NYPL_Hades-464672-1712644%29.jpg/1280px-The_tattooed_man_%28NYPL_Hades-464672-1712644%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Scan by NYPL,8
73,Hoeveel protonen heeft een neutraal atoom van goud?,neutral atom gold,https://commons.wikimedia.org/wiki/File%3AAtom_cooling_and_trapping.JPG,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/39/Atom_cooling_and_trapping.JPG/1280px-Atom_cooling_and_trapping.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Tomasz Kawalec,1
74,Hoeveel LEGO-steentjes worden er wereldwijd per seconde gemaakt?,LEGO,https://commons.wikimedia.org/wiki/File%3ACustom_Lego_Chess_Set.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b0/Custom_Lego_Chess_Set.jpg/1280px-Custom_Lego_Chess_Set.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Noah Wulf,7
76,Hoeveel speelkaarten zitten er in een standaard kaartspel (zonder jokers)?,game without jokers,https://commons.wikimedia.org/wiki/File%3AJoker_%28carte_de_jeu%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8b/Joker_%28carte_de_jeu%29.jpg/1280px-Joker_%28carte_de_jeu%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Teuxe,8
77,Hoeveel etappes telt de Tour de France doorgaans?,Tour France,https://commons.wikimedia.org/wiki/File%3ATour_France.JPG,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5e/Tour_France.JPG/1280px-Tour_France.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,No machine-readable author provided. Petit homme~commonswiki assumed (based on copyright claims).,8
78,Hoeveel punten heeft een try in rugby union?,try rugby union,https://commons.wikimedia.org/wiki/File%3ADragons_vs_Leinster_welsh_try_Celtic_League_9_may_2008.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Dragons_vs_Leinster_welsh_try_Celtic_League_9_may_2008.jpg/1280px-Dragons_vs_Leinster_welsh_try_Celtic_League_9_may_2008.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,https://www.flickr.com/photos/awv/  Rob Gale,8
79,Hoeveel spelers staan er per team op het veld bij honkbal?,team field baseball,https://commons.wikimedia.org/wiki/File%3ABaseball_team_-_NARA_-_285178.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/81/Baseball_team_-_NARA_-_285178.jpg/1280px-Baseball_team_-_NARA_-_285178.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Unknown authorUnknown author or not provided,8
80,Hoeveel aardse dagen duurt één volledige draai van Venus ongeveer?,Venus,https://commons.wikimedia.org/wiki/File%3AVenus_globe.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/85/Venus_globe.jpg/1280px-Venus_globe.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,NASA/JPL,8
81,Hoeveel aardse uren duurt één volledige draai van Mars ongeveer?,Earth Mars,https://commons.wikimedia.org/wiki/File%3AMarsSunset.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/69/MarsSunset.jpg/1280px-MarsSunset.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,NASA/JPL/Texas A&amp;M/Cornell,7
82,Hoeveel dagen doet de planeet Mars erover om rond de zon te draaien?,Mars,https://commons.wikimedia.org/wiki/File%3AOlympus_Mons_alt.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/00/Olympus_Mons_alt.jpg/1280px-Olympus_Mons_alt.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,"Image by NASA, modifications by Seddon",7
83,In welk jaar werd de eerste exoplaneet rond een zonachtige ster ontdekt?,around sun-like star,https://commons.wikimedia.org/wiki/File%3AAstronomers_Image_Lowest-mass_Exoplanet_Around_a_Sun-like_Star.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/aa/Astronomers_Image_Lowest-mass_Exoplanet_Around_a_Sun-like_Star.jpg/1280px-Astronomers_Image_Lowest-mass_Exoplanet_Around_a_Sun-like_Star.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,NASA's Goddard Space Flight Center/S. Wiessinger,8
84,Wat is de geschatte leeftijd van de planeet Aarde in miljoenen jaren?,Earth,https://commons.wikimedia.org/wiki/File%3AEarth%27s_City_Lights_by_DMSP%2C_1994-1995_%28large%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e1/Earth%27s_City_Lights_by_DMSP%2C_1994-1995_%28large%29.jpg/1280px-Earth%27s_City_Lights_by_DMSP%2C_1994-1995_%28large%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,"Data: Marc Imhoff/NASA GSFC, Christopher Elvidge/NOAA NGDC; Image: Craig Mayhew and Robert Simmon/NASA GSFC",8
85,Hoeveel letters heeft het Armeense alfabet?,Armenian,https://commons.wikimedia.org/wiki/File%3AStatue_located_inside_the_Armenian_Church_in_Dhaka.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/81/Statue_located_inside_the_Armenian_Church_in_Dhaka.jpg/1280px-Statue_located_inside_the_Armenian_Church_in_Dhaka.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Mahbub Hossain Shaheed (mahosha),8
86,Hoeveel letters heeft het Hebreeuwse alfabet?,Hebrew,https://commons.wikimedia.org/wiki/File%3AHerzliya_Hebrew_Gymnasium%2C_Tel_Aviv.jpg,https://upload.wikimedia.org/wikipedia/commons/8/89/Herzliya_Hebrew_Gymnasium%2C_Tel_Aviv.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,"American Colony (Jerusalem). Photo Dept., photographer.",7
87,Hoeveel letters heeft het Thaise alfabet?,Thai,https://commons.wikimedia.org/wiki/File%3AChiang-Mai_Thailand_Buddhist-Manuscript-Library-and-Museum-01.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/21/Chiang-Mai_Thailand_Buddhist-Manuscript-Library-and-Museum-01.jpg/1280px-Chiang-Mai_Thailand_Buddhist-Manuscript-Library-and-Museum-01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"CEphoto, Uwe Aranas",8
88,Hoeveel letters heeft het Turkse alfabet?,Turkish,https://commons.wikimedia.org/wiki/File%3AIstanbul_and_Bosporus_big.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ea/Istanbul_and_Bosporus_big.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,Astronaut photograph ISS008-E-21752,3
89,Hoeveel naamvallen heeft het Fins?,Finnish,https://commons.wikimedia.org/wiki/File%3AA_Finnish_Maxim_M-32_machine_gun_nest_during_the_Winter_War.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b7/A_Finnish_Maxim_M-32_machine_gun_nest_during_the_Winter_War.jpg/1280px-A_Finnish_Maxim_M-32_machine_gun_nest_during_the_Winter_War.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Unknown author.,7
90,In welk jaar werd de eerste Nintendo Game Boy uitgebracht?,Nintendo Game Boy,https://commons.wikimedia.org/wiki/File%3AGame-Boy-Original.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8f/Game-Boy-Original.jpg/1280px-Game-Boy-Original.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Evan-Amos,8
91,In welk jaar werd de eerste digitale camera ontwikkeld?,digital camera developed,https://commons.wikimedia.org/wiki/File%3A2011-168-1_Camera%2C_Kodak%2C_Medalist_%286012215634%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/2011-168-1_Camera%2C_Kodak%2C_Medalist_%286012215634%29.jpg/1280px-2011-168-1_Camera%2C_Kodak%2C_Medalist_%286012215634%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,"Naval History &amp; Heritage Command from Washington, DC, USA",6
92,In welk jaar werd de eerste drukpers met losse letters in Europa gebruikt?,Europe,https://commons.wikimedia.org/wiki/File%3AEurope_satellite_orthographic.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1b/Europe_satellite_orthographic.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,,8
93,In welk jaar werd de eerste internationale telefonische verbinding gemaakt?,telephone connection made,https://commons.wikimedia.org/wiki/File%3ARamshackle_telephone_connection_across_Maes-y-Llech_-_geograph.org.uk_-_279942.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Ramshackle_telephone_connection_across_Maes-y-Llech_-_geograph.org.uk_-_279942.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 2.0,Eric Jones,8
94,In welk jaar werd de eerste televisie-uitzending verzorgd?,television broadcast arranged,https://commons.wikimedia.org/wiki/File%3AA_Clue_in_an_on_going_murder_investigation_Cold_War_promotion_becomes_Coup_p.1.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6e/A_Clue_in_an_on_going_murder_investigation_Cold_War_promotion_becomes_Coup_p.1.jpg/1280px-A_Clue_in_an_on_going_murder_investigation_Cold_War_promotion_becomes_Coup_p.1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Department of Defense Civil Defense arranged by Steven Uanna,6
95,Wat is de totale lengte van alle onderzeese internetkabels op aarde in duizend kilometer?,Internet Earth,https://commons.wikimedia.org/wiki/File%3AJudith_at_the_Banquet_of_Holofernes_%28previously_known_as_Artemisia%29%2C_by_Rembrandt%2C_from_Prado_in_Google_Earth.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b0/Judith_at_the_Banquet_of_Holofernes_%28previously_known_as_Artemisia%29%2C_by_Rembrandt%2C_from_Prado_in_Google_Earth.jpg/1280px-Judith_at_the_Banquet_of_Holofernes_%28previously_known_as_Artemisia%29%2C_by_Rembrandt%2C_from_Prado_in_Google_Earth.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Rembrandt,8
96,Hoeveel meter hoog is de Golden Gate Bridge boven het water?,Golden Gate Bridge,https://commons.wikimedia.org/wiki/File%3AGolden_Gate_Bridge_by_night.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c2/Golden_Gate_Bridge_by_night.jpg/1280px-Golden_Gate_Bridge_by_night.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Image taken by Daniel Schwen,8
97,Hoeveel metrostations heeft de Parijse metro?,Paris,https://commons.wikimedia.org/wiki/File%3ABoulevard_du_Temple_by_Daguerre.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/Boulevard_du_Temple_by_Daguerre.jpg/1280px-Boulevard_du_Temple_by_Daguerre.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Louis Daguerre,7
99,Hoeveel wielen heeft een Airbus A380?,Airbus A380,https://commons.wikimedia.org/wiki/File%3AA380_F-WWEA_LEGT_2.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/00/A380_F-WWEA_LEGT_2.jpg/1280px-A380_F-WWEA_LEGT_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 2.5,Keta,7
100,In welk jaar vertrok de eerste commerciële passagiersvlucht?,passenger flight leave,https://commons.wikimedia.org/wiki/File%3AC-141_Starlifter_contrail.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c9/C-141_Starlifter_contrail.jpg/1280px-C-141_Starlifter_contrail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Simons/Staff Sgt.,8
101,In welk jaar werd de eerste stoomlocomotief gebouwd?,steam locomotive built,https://commons.wikimedia.org/wiki/File%3AExperiment.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Experiment.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,Unknown authorUnknown author,8
102,Hoeveel diagonalen heeft een regelmatige tienhoek?,diagonals regular pentagon,https://commons.wikimedia.org/wiki/File%3AInscribed_pentagon_construction.PNG,https://upload.wikimedia.org/wikipedia/commons/1/1c/Inscribed_pentagon_construction.PNG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 3.0,Brews ohare,8
103,Hoeveel diagonalen heeft een regelmatige twintighoek?,diagonals regular 20-angle,https://commons.wikimedia.org/wiki/File%3ARoman_knife_%28or_razor%29_handle_%28FindID_266557%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/22/Roman_knife_%28or_razor%29_handle_%28FindID_266557%29.jpg/1280px-Roman_knife_%28or_razor%29_handle_%28FindID_266557%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 2.0,"Winchester Museum Service, Robert Webley, 2009-08-19 14:20:58",6
104,Hoeveel is de som van de getallen 1 tot en met 100?,sum numbers 100,https://commons.wikimedia.org/wiki/File%3ASpecimens_of_abbreviated_numbers_Fleuron_T003135-2.png,https://upload.wikimedia.org/wikipedia/commons/6/6d/Specimens_of_abbreviated_numbers_Fleuron_T003135-2.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,"Weston, William, schoolmaster",8
105,Hoeveel manieren kun je 3 renners op een podium van 8 deelnemers indelen?,riders stage participants,https://commons.wikimedia.org/wiki/File%3ABarrel_Racer_%2814273581285%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6a/Barrel_Racer_%2814273581285%29.jpg/1280px-Barrel_Racer_%2814273581285%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,"Paul VanDerWerf from Brunswick, Maine, USA",1
