nederlands	engels
Wat is de lengte van het Panamakanaal van de Atlantische naar de Stille Oceaan in km?	How many kilometres long is the Panama Canal from the Atlantic to the Pacific?
Hoeveel procent van Antarctica is met ijs bedekt?	What percentage of Antarctica is covered by ice?
Hoeveel procent van het Great Barrier Reef bestaat uit koraalriffen?	What percentage of the Great Barrier Reef consists of coral reefs?
Hoe lang duurde de langste voetbalwedstrijd ooit in minuten?	How many minutes did the longest football match ever recorded last?
Hoeveel procent van de atmosfeer bestaat ongeveer uit zuurstof?	What percentage of the atmosphere is oxygen, approximately?
Hoe lang duurde de langste plank ooit in minuten?	How many minutes did the longest plank ever recorded last?
Hoe lang is de langste levende vrouw in centimeters?	How many centimetres tall is the tallest living woman?
Hoeveel is de som van de getallen 1 tot en met 100?	How much is the sum of the numbers from 1 to 100?
Wat is de totale geschatte lengte van alle bloedvaten in een volwassen menselijk lichaam in kilometers?	How many kilometres long are all the blood vessels in an adult human body combined, approximately?
Hoe lang is de langste levende man in centimeters?	How many centimetres tall is the tallest living man?
Wat is de hoogte van de Eiffeltoren in meters (met antenne)?	How many metres high is the Eiffel Tower, including its antenna?
Wat is de hoogte van de Burj Khalifa in Dubai in meters?	How many metres high is the Burj Khalifa in Dubai?
Hoe hoog was de hoogste zandsculptuur ooit in meters?	How many metres high was the tallest sand sculpture ever made?
Wat is de hoogte van het Vrijheidsbeeld in New York inclusief sokkel in meters?	How many metres high is the Statue of Liberty in New York, including its pedestal?
Hoe oud werd de oudste hond volgens Guinness World Records in jaren?	How many years old was the oldest dog according to Guinness World Records?
Hoe hoog is de Euromast in Rotterdam?	How many metres high is the Euromast in Rotterdam?
Hoe lang was de langste hotdog ooit in meters?	How many metres long was the longest hot dog ever made?
Wat is de lengte van het Suezkanaal in Egypte in kilometers?	How many kilometres long is the Suez Canal in Egypt?
Op welke hoogte ligt het Titicacameer ongeveer boven zeeniveau?	How many metres above sea level is Lake Titicaca, approximately?
Hoe klein was het kleinste paard ooit in centimeters?	How many centimetres tall was the smallest horse ever recorded?
Wat is het atoomnummer van ijzer?	How many protons does an iron atom have?
Hoe diep is de Grand Canyon op het diepste punt ongeveer?	How many metres deep is the Grand Canyon at its deepest point, approximately?
Wat is de snelheid van het licht in vacuüm in kilometer per seconde?	How many kilometres per second is the speed of light in a vacuum?
Wat is de snelheid van het licht in vacuüm ongeveer?	How many kilometres per second is the speed of light in a vacuum, approximately?
Hoeveel ridders namen volgens de traditionele telling deel aan de Slag bij Hastings?	How many knights took part in the Battle of Hastings according to the traditional count?
Wat is de diepte van het diepste zoetwatermeer ter wereld (Baikalmeer in Rusland) in meters?	How many metres deep is the world's deepest freshwater lake, Lake Baikal in Russia?
Hoeveel kilometer lang is het Tanganyikameer ongeveer?	How many kilometres long is Lake Tanganyika, approximately?
Wat is een perfecte score bij tienpinsbowling?	How many points is a perfect score in ten-pin bowling?
Hoe oud werd de oudste kat ooit in jaren?	How many years old was the oldest cat ever recorded?
Wat is de oppervlakte van de Sahara-woestijn in miljoen vierkante kilometer?	How many million square kilometres is the Sahara Desert in area?
Hoe zwaar was de grootste portie friet ooit in kilogram?	How many kilograms did the largest serving of chips ever made weigh?
Hoe lang was de langste vrouw ooit in centimeters?	How many centimetres tall was the tallest woman ever recorded?
Hoe hoog was de hoogste duik vanaf een klif in meters?	How many metres high was the highest cliff dive ever recorded?
Hoe lang is de Afsluitdijk in kilometers?	How many kilometres long is the Afsluitdijk?
Welke pH-waarde heeft zuiver water bij kamertemperatuur ongeveer?	How much is the pH of pure water at room temperature, approximately?
Hoe hoog was de hoogste robot ooit gebouwd in meters?	How many metres high was the tallest robot ever built?
Wat is de geschatte leeftijd van de planeet Aarde in miljoenen jaren?	How many million years old is planet Earth, approximately?
Wat is de hoogte van de Mont Blanc in de Alpen in meters?	How many metres high is Mont Blanc in the Alps?
Hoe zwaar was de grootste kaas ooit gemaakt in kilogram?	How many kilograms did the largest cheese ever made weigh?
Hoe lang was de langste baard ooit in meters?	How many metres long was the longest beard ever recorded?
Wat is het atoomnummer van zuurstof?	How many protons does an oxygen atom have?
Wat is de gemiddelde afstand van de aarde tot de maan?	How many kilometres is the average distance from Earth to the Moon?
Wat is de baansnelheid van het ISS ruimtestation in kilometer per uur?	How many kilometres per hour is the orbital speed of the ISS?
Hoeveel Aardes passen er qua volume in de Zon?	How many Earths could fit inside the Sun by volume?
Hoeveel meter per uur kruipen tuinslakken maximaal?	How many metres per hour can garden snails crawl at most?
Hoeveel kilometer lang is de Yangtze ongeveer?	How many kilometres long is the Yangtze, approximately?
Hoeveel protonen heeft een neutraal atoom van goud?	How many protons does a neutral gold atom have?
Hoeveel diagonalen heeft een regelmatige tienhoek?	How many diagonals does a regular decagon have?
Hoeveel kilometer lang is de langste grot ter wereld, Mammoth Cave, ongeveer?	How many kilometres long is Mammoth Cave, the world's longest cave system, approximately?
Hoeveel poten heeft een kreeftachtige van de orde Isopoda?	How many legs does a crustacean of the order Isopoda have?
Hoeveel kilometer lang is Japan van noord naar zuid ongeveer?	How many kilometres long is Japan from north to south, approximately?
Hoeveel bitcoins kunnen er maximaal worden gecreëerd?	How many bitcoins can be created at most?
Hoeveel Oscars won The Lord of the Rings: The Return of the King?	How many Oscars did The Lord of the Rings: The Return of the King win?
Hoeveel kilometer lang is het Great Barrier Reef ongeveer?	How many kilometres long is the Great Barrier Reef, approximately?
Hoeveel graden Celsius is het smeltpunt van tin ongeveer?	How many degrees Celsius is the melting point of tin, approximately?
Hoeveel treden heeft de trap van de CN Tower ongeveer?	How many steps does the CN Tower staircase have, approximately?
Hoeveel kilometer lang is de Mississippi ongeveer?	How many kilometres long is the Mississippi River, approximately?
Hoeveel zuilen heeft de Grote Zuilenzaal van de Tempel van Karnak ongeveer?	How many columns does the Great Hypostyle Hall at the Temple of Karnak have, approximately?
Hoeveel toetsen heeft een standaard computertoetsenbord ongeveer?	How many keys does a standard computer keyboard have, approximately?
Hoeveel damstenen krijgt iedere speler bij de start van een standaard damspel?	How many draughts pieces does each player receive at the start of a standard game?
Hoeveel genummerde vakjes heeft een Europees roulettewiel, inclusief 0?	How many numbered pockets does a European roulette wheel have, including 0?
Hoeveel kilogram weegt de Moai-beelden op Paaseiland gemiddeld?	How many kilograms does a Moai statue on Easter Island weigh on average?
Hoeveel afleveringen telt de serie Friends in totaal?	How many episodes does Friends have in total?
Hoeveel kilometer lang is de Grand Canyon ongeveer?	How many kilometres long is the Grand Canyon, approximately?
Hoeveel kcal heeft een middelgroot ei?	How many kilocalories does a medium-sized egg contain?
Hoeveel protonen heeft een neutraal atoom van wolfraam?	How many protons does a neutral tungsten atom have?
Hoeveel diagonalen heeft een regelmatige twintighoek?	How many diagonals does a regular icosagon have?
Hoeveel facetten (geslepen vlakjes) heeft een standaard ronde briljant geslepen diamant?	How many facets does a standard round brilliant-cut diamond have?
Hoeveel speelvelden heeft een standaard schaakbord?	How many squares does a standard chessboard have?
Hoeveel werelden verbindt de wereldboom Yggdrasil in de Noorse mythologie?	How many worlds does the world tree Yggdrasil connect in Norse mythology?
Hoeveel kamers heeft het hart van een kakkerlak?	How many chambers does a cockroach's heart have?
Hoeveel letters had het oorspronkelijke Morsealfabet ongeveer?	How many letters did the original Morse alphabet have, approximately?
Hoeveel kilometer breed is de Sahara van noord naar zuid ongeveer op het breedste punt?	How many kilometres wide is the Sahara from north to south at its widest point, approximately?
Op hoeveel kilometer hoogte boven de aarde draait het ISS gemiddeld?	How many kilometres above Earth does the ISS orbit on average?
Hoeveel kamers heeft het hart van een krokodil?	How many chambers does a crocodile's heart have?
Hoeveel meter diep is het Tanganyikameer op het diepste punt ongeveer?	How many metres deep is Lake Tanganyika at its deepest point, approximately?
Hoeveel kilometer lang is de Andes ongeveer?	How many kilometres long are the Andes, approximately?
Hoeveel torens heeft de Notre-Dame van Parijs aan de voorzijde?	How many towers does Notre-Dame de Paris have on its front façade?
Hoeveel meter diep ligt de fundering van de Burj Khalifa ongeveer?	How many metres deep is the foundation of the Burj Khalifa, approximately?
Hoeveel kilometer lang was de historische Zijderoute ongeveer?	How many kilometres long was the historic Silk Road, approximately?
Hoeveel kilometer legt de Noordse stern jaarlijks trekafstand af?	How many kilometres does an Arctic tern travel during its annual migration?
Hoeveel meter lang is een Airbus A380 ongeveer?	How many metres long is an Airbus A380, approximately?
Hoeveel verdiepingen heeft de Gran Torre Santiago in Chili (tallest in Latijns-Amerika)?	How many floors does the Gran Torre Santiago in Chile, the tallest building in Latin America, have?
Hoeveel meter diep is het Victoriameer op het diepste punt ongeveer?	How many metres deep is Lake Victoria at its deepest point, approximately?
Hoeveel meter hoog is Angel Falls ongeveer?	How many metres high is Angel Falls, approximately?
Hoeveel graden Celsius is het smeltpunt van aluminium ongeveer?	How many degrees Celsius is the melting point of aluminium, approximately?
Hoeveel smaakpapillen heeft een menselijke tong ongeveer?	How many taste buds does a human tongue have, approximately?
Hoeveel atomen bevat één molecuul water?	How many atoms does one water molecule contain?
Hoeveel biljoen dollar is de jaarlijkse wereldhandel in goederen ongeveer?	How many trillion dollars is the annual global trade in goods worth, approximately?
Hoeveel keer won Frankrijk de Tour de France bij de mannen tot 2024?	How many times had France won the men's Tour de France (as of 2024)?
Hoeveel dagen duurt de draagtijd van een olifant ongeveer?	How many days does an elephant's gestation period last, approximately?
Hoeveel kilogram weegt de Great Bell, de grote klok van Big Ben?	How many kilograms does the Great Bell, the large bell commonly called Big Ben, weigh?
Hoeveel boeken bevat het Nieuwe Testament bij de protestante telling?	How many books does the New Testament contain according to the Protestant canon?
Hoeveel keer werd de FIFA World Cup georganiseerd tot en met 2022?	How many times had the FIFA World Cup been held by 2022?
Hoeveel meter kan een blauwe vinvis ongeveer lang worden?	How many metres long can a blue whale grow, approximately?
Hoeveel leden heeft de Nederlandse Tweede Kamer?	How many members does the Nederlandse Tweede Kamer have?
Hoeveel bogen heeft de Romeinse brug Pont du Gard in de onderste booglaag?	How many arches does the Roman aqueduct Pont du Gard have on its lower tier?
Hoeveel minuten officiële speeltijd heeft een NBA-wedstrijd?	How many minutes of official playing time does an NBA game have?
Hoeveel snaren heeft de klassieke Afrikaanse kora traditioneel?	How many strings does a traditional African kora have?
Hoeveel kilometer lang is de kustlijn van Japan ongeveer?	How many kilometres long is Japan's coastline, approximately?
Hoeveel vierkante kilometer is het Arctische zee-ijs in de zomer ongeveer minimaal?	How many square kilometres is the approximate minimum summer extent of Arctic sea ice?
Hoeveel aardse dagen duurt één volledige draai van Venus ongeveer?	How many Earth days does one full rotation of Venus take, approximately?
Hoeveel schepen had de Atheense vloot tijdens de Slag bij Salamis ongeveer?	How many ships did the Athenian fleet have during the Battle of Salamis, approximately?
Hoeveel noten bevat een standaard majeurtoonladder inclusief het herhaalde octaaf?	How many notes does a standard major scale contain, including the repeated octave?
Hoeveel protonen heeft een neutraal atoom van uranium?	How many protons does a neutral uranium atom have?
Hoeveel snaren heeft een standaard concert-pedaalharp?	How many strings does a standard concert pedal harp have?
Hoeveel kilometer lang is de Nederlandse kustlijn ongeveer?	How many kilometres long is the Dutch coastline, approximately?
Hoeveel kilometer lang was de Romeinse rijksgrens, de Roman Limes, volgens UNESCO ongeveer?	How many kilometres long was the Roman imperial frontier, the Roman Limes, according to UNESCO estimates?
Hoeveel meter ligt de Dode Zee ongeveer onder zeeniveau?	How many metres below sea level is the Dead Sea, approximately?
Hoeveel tekeningen van Rembrandt bezit het Rijksmuseum volgens de huidige collectie-informatie?	How many drawings by Rembrandt does the Rijksmuseum own according to its current collection information?
Hoeveel Oscars won de film Titanic (1997)?	How many Oscars did the film Titanic (1997) win?
Hoeveel delen telt de Harry Potter filmreeks van Warner Bros?	How many films does Warner Bros.' Harry Potter film series contain?
Hoeveel Grammys won Beyoncé in totaal tot 2023?	How many Grammys had Beyoncé won in total by 2023?
Hoeveel vierkante kilometer is de oppervlakte van IJsland ongeveer?	How many square kilometres is Iceland in area, approximately?
Hoeveel vierkante kilometer is de oppervlakte van Japan ongeveer?	How many square kilometres is Japan in area, approximately?
Hoeveel Champions League-titels won Real Madrid tot 2024?	How many Champions League titles had Real Madrid won (as of 2024)?
Hoeveel kilometer lang is de kust van de Nederlandse Waddeneilanden ongeveer?	How many kilometres long is the coastline of the Dutch Wadden Islands, approximately?
Hoeveel poten heeft een standaard statief?	How many legs does a standard tripod have?
Hoeveel cijfers heeft een standaard ISBN-13?	How many digits does a standard ISBN-13 have?
Hoeveel ml bevat een standaard Nederlandse borrelglas jenever?	How many millilitres does a standard Dutch jenever glass hold?
Hoeveel knopen heeft een standaard overhemd meestal aan de voorkant?	How many buttons does a standard shirt usually have down the front?
Hoeveel dagen duurt de Nederlands Film Festival in Utrecht?	How many days does the Nederlands Film Festival in Utrecht last?
Hoeveel kilometer lang is de Grote Muur van China ongeveer?	How many kilometres long is the Great Wall of China, approximately?
Hoeveel Copa América titels won Argentinië tot 2024?	How many Copa América titles had Argentina won (as of 2024)?
Hoeveel advocaten-generaal heeft het Hof van Justitie van de Europese Unie?	How many Advocates General does the Court of Justice of the European Union have?
