vlag	nederlands	engels
	Hoeveel melktanden heeft een kind in een compleet melkgebit?	How many baby teeth does a child have in complete milk teeth?
	Hoeveel kilometer lang is de Golden Gate Bridge hoofdspanssegment?	How many kilometres long is the Golden Gate Bridge main tension segment?
	Hoeveel kilogram weegt de tong van een blauwe vinvis ongeveer?	How many kilograms does a blue whale's tongue weigh?
	Hoeveel piramides vormen het belangrijkste piramidecomplex van Gizeh?	How many pyramids form the main pyramid complex of Giza?
GEEN	Hoeveel kilometer breed is de Kalahariwoestijn ongeveer?	
	Hoeveel werelden verbindt de wereldboom Yggdrasil in de Noorse mythologie?	How many worlds does the world tree Yggdrasil connect in Norwegian mythology?
	In welk jaar eindigde de Tweede Wereldoorlog in Europa?	In what year did World War II end in Europe?
	In welk jaar werd de eerste succesvolle orgaantransplantatie uitgevoerd?	What year was the first successful organ transplant performed?
	In welk jaar werd de eerste bloedtransfusie met succes uitgevoerd?	What year was the first blood transfusion successfully performed?
	Hoeveel farao’s waren er volgens de traditionele telling tijdens de 18e dynastie van Egypte?	How many pharaohs were there according to the traditional count during the 18th dynasty of Egypt?
	In welk jaar werd de eerste stoomlocomotief gebouwd?	In what year was the first steam locomotive built?
NL?	Hoeveel schilderijen uit de serie Zonnebloemen maakte Van Gogh?	How many paintings from the series Sunflowers did Van Gogh make?
	Hoeveel dagen duurt de zwangerschap van een koe?	How many days does a cow's pregnancy take?
	In welk jaar werd de eerste laptop uitgebracht?	In what year was the first laptop released?
	Hoeveel jongleurs deden mee aan het grootste jongleerrecord?	How many jugglers participated in the biggest juggling record?
	Hoeveel jaar duurde de Honderdjarige Oorlog tussen Engeland en Frankrijk?	How many years did the Hundred Years War between England and France last?
	Hoeveel kamers heeft het hart van een kakkerlak?	How many rooms has the heart of a cockroach?
	In welk jaar viel het Inca-rijk aan de Spanjaarden onder Pizarro?	In what year did the Inca empire fall to the Spanish under Pizarro?
GEEN	Hoeveel kilometer per uur haalt de Shanghai Maglev?	
	In welk jaar werd de eerste computer-muis ontworpen?	In what year was the first computer mouse designed?
GEEN	Hoeveel meter breed zijn de Victoriawatervallen?	
	Hoeveel meter hoog is Taipei 101?	How many metres tall is Taipei 101?
	Hoeveel milliliter speeksel produceert een mens gemiddeld per dag?	How many milliliters of saliva does a human produce on average a day?
	Hoeveel meter onder zeeniveau ligt het diepste punt van de Noordzee ongeveer?	How many meters below sea level is the deepest point of the North Sea?
	Wat is de totale geschatte lengte van alle bloedvaten in een volwassen menselijk lichaam in kilometers?	What is the total estimated length of all blood vessels in an adult human body in kilometres?
GEEN	Hoeveel ton aluminium wordt wereldwijd jaarlijks geproduceerd?	
	Hoeveel kilogram koffiebonen wordt wereldwijd jaarlijks geproduceerd?	How many kilograms of coffee beans is produced worldwide?
	Hoeveel soldaten vochten tijdens de Slag bij Verdun ongeveer mee?	How many soldiers fought around during the Battle of Verdun?
	Hoeveel armen heeft de gewone vijfarmige zeester?	How many arms does the common five-armed starfish have?
	Hoeveel aardse dagen duurt een jaar op Venus ongeveer?	How many earthly days on Venus last about a year?
	Hoeveel letters had het oorspronkelijke Morsealfabet ongeveer?	How many letters did the original Morsealfabet have about?
	Hoe lang is de langste levende man in centimeters?	How long is the longest living man in centimeters?
GEEN	Hoeveel procent van de wilde leeuwen leeft in Sub-Sahara Afrika?	
	Hoeveel graden heeft een rechte hoek?	How many degrees does a right angle have?
	Hoeveel gebeden per dag schrijft de islamitische traditie voor?	How many prayers a day does the Islamic tradition prescribe?
	Hoeveel zuilen kent de islam?	How many columns does Islam know?
	Hoeveel wielen heeft een Airbus A380?	How many wheels does an Airbus A380 have?
GEEN	Hoeveel kilometer per uur haalt een cheetah op zijn snelst?	
	Hoeveel toetsen heeft een standaard piano?	How many keys does a standard piano have?
	Hoeveel landen grenzen aan de Middellandse Zee?	How many countries border the Mediterranean?
	Hoeveel maagcompartimenten heeft een schaap?	How many stomach compartments does a sheep have?
	In welk jaar werd de eerste commerciële cd uitgebracht?	In what year was the first commercial CD released?
	Hoeveel wielen heeft een Boeing 747 volgens de standaardconfiguratie?	How many wheels does a Boeing 747 have according to the standard configuration?
	Hoeveel kilometer breed is de Sahara van noord naar zuid ongeveer op het breedste punt?	How many kilometres wide is the Sahara from north to south about at the widest point?
	Hoeveel officiële gemeenten telde Nederland in 2024?	How many official municipalities were in the Netherlands in 2024?
	Hoeveel Titanen (eerste generatie goden) kent de Griekse mythologie doorgaans?	How many Titans (first generation gods) usually know Greek mythology?
	Wat is de hoogte van de Eiffeltoren in meters (met antenne)?	What is the height of the Eiffel Tower in meters (with antenna)?
	Hoeveel chromosomen bevat een menselijke eicel vóór de bevruchting?	How many chromosomes does a human egg contain before fertilization?
	Hoeveel toneelstukken bevatte de First Folio van Shakespeare?	How many plays did Shakespeare's First Folio contain?
	Wat is de hoogte van de Burj Khalifa in Dubai in meters?	What is the height of the Burj Khalifa in Dubai in meters?
	Hoeveel stappen telt El Castillo van Chichen Itza in totaal inclusief de top?	How many steps does El Castillo of Chichen Itza total including the top?
	Hoeveel boeken bevat de katholieke Bijbel?	How many books does the Catholic Bible contain?
	Hoeveel landen grenzen landinwaarts aan de Kaspische Zee?	How many countries border inland on the Caspian Sea?
GEEN	Hoeveel kilogram weegt een volwassen mannelijke rode reuzenkangoeroe maximaal?	
	In welk jaar maakte het eerste gemotoriseerde vliegtuig een succesvolle vlucht?	In what year did the first motorized plane make a successful flight?
	In welk jaar werd NVIDIA opgericht?	In what year was NVIDIA established?
	In welk jaar werd Antarctica voor het eerst waargenomen door een expeditie?	In what year was Antarctica first observed by an expedition?
GEEN	In welk jaar werd de Eerste Franse Republiek uitgeroepen?	
	Hoeveel letters heeft het Arabische alfabet?	How many letters does the Arab alphabet have?
	Hoeveel verdiepingen heeft de Q1 Tower in Gold Coast (tallest in Australië)?	How many floors does the Q1 Tower in Gold Coast (tallest in Australia) have?
	Hoeveel letters heeft het Russische alfabet?	How many letters does the Russian alphabet have?
GEEN	Hoeveel kilometer lang is de Zambezi?	
GEEN	Hoeveel kilometer lang is de Niger?	
	Hoeveel miljard LEGO-steentjes zijn er sinds 1958 wereldwijd in totaal geproduceerd?	How many billion LEGO bricks have been produced worldwide since 1958?
	Hoeveel spelers staan er per team op het veld bij handbal?	How many players per team are on the field at handball?
	Hoeveel meter is één internationale zeemijl exact?	How many meters is one international nautical mile exactly?
	Hoeveel meter hoog is het Vrijheidsbeeld inclusief voetstuk?	How many meters high is the Statue of Liberty including pedestal?
	In welk jaar eindigde de Tweede Wereldoorlog in Azië met de capitulatie van Japan?	In what year did World War II in Asia end with the capitulation of Japan?
	Hoeveel meter lang is de Akashi Kaikyōbrug in Japan?	How many meters long is the Akashi Kaikyō Bridge in Japan?
GEEN	In welk jaar eindigde de Eerste Wereldoorlog?	
	In welk jaar werd het World Wide Web publiek vrijgegeven?	In what year was the World Wide Web released?
	Hoeveel landen liggen er aan de Middellandse Zee (Noord-Afrika + Europa + Azië)?	How many countries are on the Mediterranean (North Africa + Europe + Asia)?
	Hoeveel soorten worden volgens de gangbare schatting met uitsterven bedreigd?	How many species are threatened with extinction according to the usual estimate?
	Hoeveel ton koper wordt wereldwijd jaarlijks geproduceerd?	How many tons of copper is produced worldwide?
	Hoeveel mensen dienden in totaal in het Amerikaanse leger tijdens de Tweede Wereldoorlog?	How many people served in the U.S. Army during World War II?
	Op hoeveel kilometer hoogte boven de aarde draait het ISS gemiddeld?	How many kilometres above Earth does the ISS spin on average?
	Hoeveel spieren zitten er in de slurf van een olifant?	How many muscles are in an elephant's trunk?
	Hoeveel dagen telt een schrikkeljaar?	How many days does a leap year have?
	Hoeveel oorspronkelijke meetpunten van de Struve-geodetische boog zijn als UNESCO-onderdeel opgenomen?	How many original measuring points of the Struve-geodetic arc are included as a UNESCO component?
GEEN	Hoeveel zetels telt het Zuid-Afrikaanse parlement (National Assembly)?	
GEEN	Hoeveel centimeter hoog wordt een volwassen emoe?	
GEEN	Hoeveel piramides telt Egypte ongeveer?	
GEEN	Hoeveel landen telt Europa?	
	Hoeveel jaar duurde de bouw van de Hagia Sophia?	How many years did the construction of the Hagia Sophia take?
	Hoeveel chromosomenparen heeft een mens?	How many chromosome pairs does a human have?
GEEN	Hoeveel bekende manen heeft Jupiter (stand 2026)?	
	Hoeveel kilogram aluminium zit er ongeveer in een gemiddelde auto?	How many kilograms of aluminium is there in an average car?
	Hoeveel sterren staan er op de Amerikaanse vlag?	How many stars are on the American flag?
	Hoeveel kamers heeft het hart van een krokodil?	How many rooms has the heart of a crocodile?
	In welk jaar werd het eerste succesvolle vaccin ontwikkeld?	In what year was the first successful vaccine developed?
	Hoeveel landen grenzen aan China?	How many countries border China?
	In welk jaar werd Colombia onafhankelijk van Spanje?	In what year did Colombia become independent of Spain?
	Hoeveel centimeter hoog is Michelangelo’s David?	How many centimeters tall is Michelangelo picnic David?
	Hoeveel zuilen heeft het Parthenon aan de lange zijde?	How many columns does the Parthenon have on the long side?
GEEN	Hoeveel nationale parken telt Australië ongeveer?	
	Hoeveel jaar duurde de regering van Elizabeth II?	How many years did the government of Elizabeth II last?
	Hoeveel jaar duurde de bouw van de Taj Mahal?	How many years did the construction of the Taj Mahal take?
	Hoeveel meter diep is het Tanganyikameer op het diepste punt ongeveer?	How many meters deep is Lake Tanganyika at the deepest point about?
GEEN	Hoeveel kilogram weegt een volwassen nijlpaard?	
	Hoeveel lijnen heeft de metro van Rotterdam?	How many lines does Rotterdam Metro have?
	Hoeveel Spartanen verdedigden Thermopylae volgens de bekende historische overlevering?	How many Spartans defended Thermopylae according to the well-known historical tradition?
	Hoeveel meter breed mag een internationaal voetbalveld maximaal zijn?	How many meters wide can an international football field be?
	Hoeveel traptreden beklim je naar de 86e verdieping van het Empire State Building?	How many steps do you climb to the 86th floor of the Empire State Building?
	In welk jaar werd de eerste moderne volkstelling gehouden?	In what year was the first modern census held?
	Hoeveel LEGO-steentjes worden er wereldwijd per seconde gemaakt?	How many LEGO bricks are made worldwide per second?
	In welk jaar werd de Magna Carta bezegeld?	What year was the Magna Carta sealed?
	Welk percentage van het mariene afval bestaat volgens UNEP minstens uit plastic?	What percentage of marine waste is at least plastic according to UNEP?
	Hoeveel grondstoffenkaarten zitten er in het basisspel van Catan?	How many commodity cards are in Catan's base game?
	Hoeveel procent van het wereldwijde waterverbruik gaat naar landbouw?	How much of the global water consumption goes to agriculture?
GEEN	Wat is de lengte van de rivier de Nijl in kilometers?	
	In welk jaar werd de Mount Everest voor het eerst succesvol beklommen?	In what year was the Mount Everest successfully climbed for the first time?
	Hoe hoog was de hoogste zandsculptuur ooit in meters?	How high was the highest sand sculpture ever in metres?
	Wat is de hoogte van het Vrijheidsbeeld in New York inclusief sokkel in meters?	What is the height of the Statue of Liberty in New York including a base in metres?
	Hoeveel kilometer lang is de Andes ongeveer?	How many kilometres long is the Andes about?
	Hoeveel parachutisten werden tijdens D-Day achter de Duitse linies gedropt?	How many paratroopers were dropped behind German lines during D-Day?
	Hoeveel graden Celsius kan een bliksemschicht bereiken?	How many degrees Celsius can a lightning bolt reach?
GEEN	Hoeveel duizend beeldpunten telt een Full HD-scherm?	
	Hoeveel meter hoog is de CN Tower?	How many metres high is the CN Tower?
	In welk jaar viel het Azteekse rijk aan de Spanjaarden onder Cortés?	In what year did the Aztec empire fall to the Spanish under Cortés?
GEEN	Hoeveel miljoen inwoners heeft Mexico?	
	Hoeveel keer per minuut klopt het hart van een kolibrie tijdens het vliegen maximaal?	How many times a minute does a hummingbird's heart beat while flying?
GEEN	Hoeveel soldaten namen deel aan de landing in Normandië op D-Day?	
GEEN	Hoeveel kilometer staaldraad zit er in beide hoofdkabels van de Golden Gate Bridge samen?	
GEEN	Hoeveel velden telt een Engels dambord van 8 bij 8?	
	Hoeveel mensen stierven bij de uitbarsting van de Vesuvius in Pompeï volgens een veelgebruikte schatting?	How many people died at the eruption of the Vesuvius in Pompeii according to a common estimate?
	Hoeveel meter hoog is het Empire State Building inclusief antenne?	How many meters high is the Empire State Building including antenna?
	Hoeveel snaren heeft een standaard elektrische gitaar?	How many strings does a standard electric guitar have?
	Hoeveel kg afval produceert een Nederlander gemiddeld per jaar?	How many kg of waste does a Dutchman produce on average per year?
	Hoeveel miljoen nieuwe personenauto’s worden er wereldwijd per jaar geproduceerd?	How many million new passenger cars are produced worldwide?
	Hoeveel genummerde scorevakken heeft een dartbord?	How many numbered scoreboxes does a dart board have?
GEEN	Hoeveel soorten telt de kangoeroefamilie (Macropodidae)?	
	Hoeveel torens heeft de Notre-Dame van Parijs aan de voorzijde?	How many towers does the Notre-Dame of Paris have in front?
	Hoeveel gekleurde vierkantjes telt een standaard Rubik's kubus aan de buitenkant?	How many colored squares does a standard Rubik's cube have on the outside?
	Hoeveel graden is elke binnenhoek van een regelmatige vijfhoek?	How many degrees is each inner angle of a regular pentagon?
	Hoeveel meter hoog is de Eiffeltoren met antenne?	How many meters high is the Eiffel Tower with antenna?
	Hoeveel procent van het voedsel dat wereldwijd wordt geproduceerd gaat verloren of wordt verspild?	How much of the food produced worldwide is lost or wasted?
	Hoeveel elektronen heeft een natriumion, Na⁺?	How many electrons does a sodium ion have, Na+?
	Hoeveel torens heeft de Tower Bridge in Londen?	How many towers does the Tower Bridge have in London?
	In welk jaar werd de eerste sms verstuurd?	What year was the first text sent?
	In welk jaar had Zuid-Afrika zijn eerste vrije verkiezingen na de apartheid?	In what year did South Africa have its first free elections after apartheid?
GEEN	Hoeveel meter sprintt een schaatser op de kortebaan-afstand?	
	Hoeveel meter hoog is de Petronas Twin Tower?	How many metres high is the Petronas Twin Tower?
	Hoeveel staten liggen er op het Noord-Amerikaanse vasteland van de VS (exclusief Alaska en Hawaii)?	How many states are on the North American mainland of the US (excluding Alaska and Hawaii)?
	Hoeveel meter diep ligt de fundering van de Burj Khalifa ongeveer?	How many meters deep is the foundation of the Burj Khalifa about?
	Hoe oud werd de oudste hond volgens Guinness World Records in jaren?	How old did the oldest dog become according to Guinness World Records in years?
	In welk jaar werd de eerste drukpers met losse letters in Europa gebruikt?	In what year was the first printing press with loose letters used in Europe?
	Hoeveel schepen telde de vloot waarmee Willem de Veroveraar Engeland binnenviel?	How many ships did the fleet with which William the Conqueror invaded England count?
GEEN	Hoeveel zijvlakken heeft een icosaeder?	
	Hoeveel badkamers heeft het Witte Huis?	How many bathrooms does the White House have?
	Hoeveel procent cacao heeft standaard pure chocolade?	How much cocoa has standard pure chocolate?
	In welk jaar reed de eerste auto met een verbrandingsmotor?	What year did the first car drive a combustion engine?
	In welk jaar werd de eerste commerciële harde schijf geïntroduceerd?	In what year was the first commercial hard drive introduced?
	In welk jaar vond de kernramp in Fukushima plaats?	What year did the Fukushima nuclear disaster take place?
	Hoeveel vleugels heeft een bij?	How many wings does a bee have?
	In welk jaar bracht Apple de eerste iPhone uit?	What year did Apple release the first iPhone?
	Hoeveel spelers staan er tegelijk op het veld bij basketbal?	How many players are on the basketball field at the same time?
	Hoeveel kilometer lang was de historische Zijderoute ongeveer?	How many kilometres long was the historic Silk Road about?
	Hoeveel kilometer legt de Noordse stern jaarlijks trekafstand af?	How many kilometers does the Nordic tern travel annually?
	Hoeveel ton bommen werd tijdens de Blitz op Londen afgeworpen?	How many tons of bombs were thrown to London during the Blitz?
	Hoeveel punten is een maximale dartscore met drie pijlen?	How many points is a maximum dart score with three arrows?
GEEN	Hoeveel kilogram weegt een volwassen mannelijke jaguar?	
	Hoeveel dagen doet de planeet Mars erover om rond de zon te draaien?	How many days does the planet Mars take to orbit the sun?
GEEN	In welk jaar werd Peru onafhankelijk van Spanje?	
GEEN	Hoeveel kilometer lang is de Murray?	
	In welk jaar werd de eerste website online gezet?	In what year was the first website posted online?
	Hoeveel dialogen van Plato zijn traditioneel bewaard gebleven?	How many of Plato's dialogues have traditionally been preserved?
	In welk jaar voer de eerste nucleaire onderzeeër uit?	What year is the first nuclear submarine operating?
	Hoeveel liter bloed pompt een mensenhart gemiddeld per dag rond?	How many liters of blood does a human heart pump around on average a day?
GEEN	Hoeveel talen erkent India als officiële taal?	
	Hoeveel soldaten vochten tijdens de Slag om Gettysburg ongeveer mee?	How many soldiers fought around during the Battle of Gettysburg?
GEEN	Hoeveel uren zitten er in een standaard kalenderjaar?	
	Hoeveel meter lang is een Airbus A380 ongeveer?	How many meters long is an Airbus A380 about?
	Hoeveel meter lang mag een internationaal voetbalveld maximaal zijn?	How many meters long can an international football field be?
	Hoe hoog is de Euromast in Rotterdam?	How high is the Euromast in Rotterdam?
	Hoeveel groepen heeft het moderne periodiek systeem?	How many groups does the modern periodic table have?
	Hoe lang was de langste hotdog ooit in meters?	How long was the longest hot dog ever in meters?
GEEN	Hoeveel meter hoog zijn de Victoriawatervallen?	
GEEN	Hoeveel kilometer van de Kanaaltunnel ligt onder zee?	
GEEN	Hoeveel procent van de wereldcacao komt uit West-Afrika?	
	Hoeveel procent van het landoppervlak van de aarde is bedekt met bos?	How many percent of the Earth's land surface is covered in forest?
	Hoeveel landen liggen aan het Meer van Genève?	How many countries are at Lake Geneva?
	Hoeveel verdiepingen heeft de Gran Torre Santiago in Chili (tallest in Latijns-Amerika)?	How many floors has the Gran Torre Santiago in Chile (tallest in Latin America)?
	Hoeveel meter diep is het Victoriameer op het diepste punt ongeveer?	How many meters deep is Lake Victoria at the deepest point about?
	Hoeveel procent bedraagt het standaard-btw-tarief in België?	What percentage is the standard VAT rate in Belgium?
	Hoeveel officiële talen heeft Zwitserland?	How many official languages does Switzerland have?
GEEN	Hoeveel duizend kilometer lang is de Australische kustlijn?	
	Hoe zwaar was de zwaarste hamburger ooit in kilogram?	How heavy was the toughest hamburger ever in kilograms?
GEEN	Hoeveel kilogram weegt een volwassen giraffe?	
	Hoeveel meter hoog is de Euromast vanaf de grond tot de top van de Space Tower?	How many meters high is the Euromast from the ground to the top of the Space Tower?
GEEN	Hoeveel procent van de wereldkoffie komt uit Brazilië?	
	Hoeveel kilogram voedsel (bladeren, gras, takken) eet een volwassen Afrikaanse olifant per dag?	How many kilograms of food (leaves, grass, branches) eats an adult African elephant a day?
	Hoeveel liter water kan een kameel in één keer drinken?	How many liters of water can a camel drink at once?
	Hoeveel procent van het Amazonebekken ligt ongeveer in Brazilië?	How much of the Amazon basin is in Brazil?
	Hoeveel schepen ondersteunden de geallieerde landing in Normandië?	How many ships did the Allied landing support in Normandy?
GEEN	Hoeveel kilogram weegt een volwassen mannetjesolifant in Afrika?	
GEEN	Hoeveel eilanden telt Papoea-Nieuw-Guinea ongeveer?	
	Hoeveel seizoenen heeft de serie Friends?	How many seasons does the series Friends have?
	Hoeveel zetels telt de Nieuw-Zeelandse Kamer van Afgevaardigden?	How many seats does the New Zealand Chamber of Representatives have?
	In welk jaar werd de eerste universiteit ter wereld gesticht volgens de traditionele telling?	In what year was the first university in the world founded according to the traditional census?
	Hoeveel meter hoog is Angel Falls ongeveer?	How many metres tall is Angel Falls about?
GEEN	Hoeveel duizend inwoners heeft Amsterdam?	
	Hoeveel passagiers kan een Airbus A380 maximaal vervoeren?	How many passengers can an Airbus A380 carry?
	Hoeveel vleugelslagen per seconde kan een kolibrie in volle vlucht maken?	How many wing strokes per second can a hummingbird make in full flight?
	Wat is de lengte van het Suezkanaal in Egypte in kilometers?	What is the length of the Suez Canal in Egypt in kilometres?
	Hoeveel spelers staan er tegelijk op het veld bij een honkbalwedstrijd?	How many players are on the field at the same time at a baseball game?
GEEN	Wat is de diameter van de Maan in kilometers?	
	Hoeveel hotels heeft Hilton wereldwijd ongeveer?	How many hotels does Hilton have worldwide?
	Hoeveel dagen duurde de Slag bij Verdun?	How many days did the Battle of Verdun last?
	Hoeveel aardse uren duurt één volledige draai van Mars ongeveer?	How many Earth hours does one full turn of Mars take about?
	In welk jaar werd de eerste camera uitgevonden?	What year was the first camera invented?
GEEN	In welk jaar werd Zuid-Afrika officieel anti-apartheid democratie met Mandela als president?	
	Op welke hoogte ligt het Titicacameer ongeveer boven zeeniveau?	At what altitude is Lake Titicaca about above sea level?
	In welk jaar werd de eerste digitale camera ontwikkeld?	In what year was the first digital camera developed?
	Hoeveel letters telt ons Latijnse alfabet?	How many letters does our Latin alphabet have?
GEEN	In welk jaar werd de Volksrepubliek China gesticht?	
	Hoeveel stappen per dag is de vaak geciteerde streefwaarde?	How many steps per day is the often quoted target?
	Hoeveel soldaten namen aan beide kanten samen deel aan de Slag bij Waterloo?	How many soldiers together participated in the Battle of Waterloo on both sides?
GEEN	Hoeveel ton staal werd wereldwijd geproduceerd in 2023?	
	Hoeveel kilometer lang is de kustlijn van de Middellandse Zee ongeveer?	How many kilometres long is the coastline of the Mediterranean?
	Hoeveel dorpen krijgt iedere speler bij de start van Catan?	How many villages will each player get at the start of Catan?
	Hoeveel liter melk geeft een gemiddelde Nederlandse koe per jaar?	How many litres of milk does an average Dutch cow give a year?
GEEN	Hoeveel kolibriesoorten komen voor in de Verenigde Staten?	
	Hoe klein was het kleinste paard ooit in centimeters?	How small was the smallest horse ever in centimeters?
GEEN	Hoeveel meter hoog is kasteel Neuschwanstein?	
	Hoeveel duizend zoekopdrachten verwerkt Google wereldwijd per seconde?	How many thousand searches does Google process worldwide per second?
GEEN	Hoeveel procent van Australië is woestijn of droog gebied?	
	Welk percentage van het aardoppervlak bestaat uit land?	What percentage of the earth's surface is land?
GEEN	Hoeveel miljoen inwoners heeft Peru?	
	Hoeveel wielen heeft een tuk-tuk meestal?	How many wheels does a tuk-tuk usually have?
	Hoeveel componenten telt het UNESCO-deel van de Neder-Germaanse Limes?	How many components does the UNESCO part of the Lower German Limes have?
	Hoeveel Grammy-nominaties had Beyoncé volgens de Grammy’s vóór de uitreiking van 2025?	How many Grammy nominations did Beyoncé have, according to the Grammys, before the award of 2025?
GEEN	Hoeveel landen zijn lid van de CELAC?	
	Hoeveel landen grenzen aan het Victoriameer?	How many countries border Lake Victoria?
	Hoeveel officiële UNESCO-werelderfgoedlocaties heeft Italië volgens de UNESCO-werelderfgoedlijst?	How many official UNESCO World Heritage Sites does Italy have according to the UNESCO World Heritage List?
	Hoeveel graden Celsius is het smeltpunt van aluminium ongeveer?	How many degrees Celsius is the melting point of aluminium about?
	Hoeveel zetels telt het Europees Parlement (2024-2029)?	How many seats does the European Parliament have (2024-2029)?
	Hoeveel soeras telt de Koran?	How many suras does the Koran have?
	Hoeveel stappen telt de Mayapyramide El Castillo per zijde?	How many steps does the Mayapyramid El Castillo have per side?
	Hoeveel nummers bevatte het album Un Verano Sin Ti van Bad Bunny?	How many songs did the album contain Un Verano Sin Ti from Bad Bunny?
	Hoeveel staten telt de Verenigde Staten?	How many states does the United States have?
	Wat is het atoomnummer van ijzer?	What is the atomic number of iron?
GEEN	Hoeveel vogelsoorten telt het Amazonegebied?	
	Hoeveel leden telt het Britse Lagerhuis?	How many members do the House of Commons have?
	Hoeveel botten zitten er in één menselijke voet en enkel?	How many bones are in one human foot and ankle?
	Hoeveel ontwikkelingskaarten zitten er in het basisspel van Catan?	How many development cards are in Catan's basic game?
GEEN	Hoeveel tanden heeft een volwassen witte haai in de voorste rij van de bovenkaak?	
GEEN	In welk jaar werd Toyota opgericht als automerk?	
	In welk jaar werd de Berlijnse Muur gebouwd?	In what year was the Berlin Wall built?
	In welk jaar werd de eerste internationale telefonische verbinding gemaakt?	In what year was the first international telephone connection made?
	Hoe diep is de Grand Canyon op het diepste punt ongeveer?	How deep is the Grand Canyon at the deepest point about?
GEEN	Hoeveel kilogram weegt een volwassen wombat?	
GEEN	Hoeveel boeken bevat de gepubliceerde hoofdserie A Song of Ice and Fire (stand 2026)?	
	Hoeveel smaakpapillen heeft een menselijke tong ongeveer?	How many taste buds does a human tongue have about?
	Hoeveel bijen leven er in een sterk bijenvolk in de zomer?	How many bees live in a strong bee population in the summer?
GEEN	Hoeveel winkels heeft Aldi wereldwijd ongeveer?	
	Hoeveel beelden staan er op de top van de Brandenburger Tor?	How many images are on top of the Brandenburg Gate?
	Hoeveel kilometer lang is het Himalayagebergte ongeveer?	How many kilometers is the Himalayas?
GEEN	Hoeveel bezoekers ontving het Louvre in 2023?	
	Wat is de snelheid van het licht in vacuüm in kilometer per seconde?	What is the speed of light in vacuum in kilometers per second?
	Hoeveel vierkante kilometer is de Sahara ongeveer groot?	How many square kilometres is the Sahara about large?
	In welk jaar werd de eerste mens in de ruimte gelanceerd?	In what year was the first man launched into space?
	In welk jaar werd de eerste Nobelprijs uitgereikt?	In what year was the first Nobel Prize awarded?
GEEN	Hoeveel procent van de Nederlanders fietst dagelijks?	
	Hoeveel jaar duurde de bouw van de Dom van Keulen?	How many years did the construction of the Cologne Cathedral take?
	Hoeveel Oscar nominaties kreeg La La Land?	How many Oscar nominations did La La Land get?
GEEN	Wat is de officiële hoogte van de Mount Everest in meters?	
	Hoeveel klinknagels zaten er naar schatting in de romp van de Titanic?	How many rivets were estimated in the Titanic hull?
	Wat is de snelheid van het licht in vacuüm ongeveer?	What is the speed of light in vacuum about?
	Hoeveel landen grenzen aan Brazilië?	How many countries border on Brazil?
	Hoeveel kilometer elektrische bekabeling zit er aan boord van het ISS?	How many kilometers of electrical wiring is there on board the ISS?
	Hoeveel verdiepingen heeft de Eureka Tower in Melbourne?	How many floors does the Eureka Tower have in Melbourne?
	Hoeveel miljoen passagiers verwerkt Atlanta Airport (Hartsfield-Jackson, de drukste luchthaven ter wereld) per jaar?	How many million passengers handles Atlanta Airport (Hartsfield-Jackson, the busiest airport in the world) a year?
	Hoeveel verdiepingen heeft het Empire State Building?	How many floors does the Empire State Building have?
	Hoeveel halve tonen bevat een octaaf?	How many half tones does an octave contain?
	Hoeveel speelminuten duurt een officiële voetbalwedstrijd zonder verlenging?	How many minutes to play is an official football game without extension?
	Hoeveel poten hebben volwassen kreeftachtigen van de orde Decapoda volgens de naam?	How many legs have adult crustaceans of the order Decapoda by the name?
	Hoeveel etsen worden aan Rembrandt toegeschreven in de catalogus van het Rijksmuseum?	How many etchings are attributed to Rembrandt in the catalogue of the Rijksmuseum?
	Hoeveel ton goud wordt wereldwijd jaarlijks gewonnen?	How many tons of gold is won worldwide?
GEEN	Hoeveel kilometer lang is het metronet van Rotterdam?	
	Hoeveel atomen bevat één molecuul water?	How many atoms does one molecule contain water?
	Hoeveel biljoen dollar is de jaarlijkse wereldhandel in goederen ongeveer?	How much trillion dollars is the annual world trade in goods about?
	In welk jaar werd de eerste Nintendo Game Boy uitgebracht?	In what year was the first Nintendo Game Boy released?
	Hoeveel tijdzones overspant Rusland over zijn gehele grondgebied?	How many time zones does Russia span its entire territory?
	Hoeveel ridders namen volgens de traditionele telling deel aan de Slag bij Hastings?	According to the traditional count, how many knights participated in the Battle of Hastings?
GEEN	Hoeveel ton weegt een volwassen blauwe vinvis?	
NL?	Hoeveel keer won Frankrijk de Tour de France bij de mannen tot 2024?	How many times did France win the Tour de France in the men until 2024?
	Hoeveel dagen duurt de zwangerschap van een varken?	How many days does a pig's pregnancy take?
	Hoeveel hoofdstukken bevat The Hobbit?	How many chapters does The Hobbit contain?
	Hoeveel kilo weegt een koningspinguin?	How many kilograms does a king penguin weigh?
GEEN	Hoeveel bekende manen heeft Saturnus officieel (stand 2026)?	
	Hoeveel dagen duurt de draagtijd van een olifant ongeveer?	How many days does the carrying time of an elephant last about?
	Hoeveel landen zijn lid van de Afrikaanse Unie (2024)?	How many countries are members of the African Union (2024)?
	Hoeveel astronauten hebben er in de geschiedenis op de maan gelopen?	How many astronauts have walked on the moon in history?
GEEN	Hoe zwaar was de grootste chocoladereep ooit in kilogram?	
	Hoeveel vleugels heeft een kever?	How many wings does a beetle have?
	Hoeveel kilogram weegt de Great Bell, de grote klok van Big Ben?	How many kilograms does the Great Bell, Big Ben's big clock weigh?
