nr	modus	vraag	bestandsnaam	wikipedia-artikel
665	puzzel	Hoeveel meter per uur kruipen tuinslakken maximaal?	Helix pomatia (Dourbes).jpg	Tuinslakken
671	puzzel	Hoeveel procent van de wilde leeuwen leeft in Sub-Sahara Afrika?	Sub-Saharan Africa with borders.png	Sub-Sahara
672	puzzel	Hoeveel apensoorten telt het Amazonegebied ongeveer?	Amazon river basin.png	Amazonebekken
676	puzzel	Hoeveel kolibriesoorten komen voor in de Verenigde Staten?	Flag of the United States.svg	Verenigde Staten
678	puzzel	Hoeveel vogelsoorten telt Australië?	Flag of Australia (converted).svg	Australië (land)
679	puzzel	Hoeveel vogelsoorten telt Colombia, het land met de meeste ter wereld?	Flag of Colombia.svg	Colombia
680	puzzel	Hoeveel vogelsoorten telt het Amazonegebied?	Amazon river basin.png	Amazonebekken
681	puzzel	Hoeveel spieren zitten er in de slurf van een olifant?	2005-bandipur-tusker.jpg	Olifanten
682	puzzel	Hoeveel tanden heeft een volwassen huiskat?	Cat poster 2.jpg	Kat (dier)
683	puzzel	Hoeveel tanden heeft een volwassen witte haai in de voorste rij van de bovenkaak?	Gray190.png	Bovenkaaksbeen
684	puzzel	Hoeveel tanden wisselt een haai gedurende zijn leven ongeveer?	Neera Tanden Cabinet (cropped).jpg	Neera Tanden
685	puzzel	Hoeveel armen heeft een octopus?	Octopus2.jpg	Octopoda
686	puzzel	Hoeveel uur per dag slaapt een koala?	Koala climbing tree.jpg	Koala
690	puzzel	Hoeveel kilogram weegt een volwassen mannelijke Amerikaanse bizon?	Flag of the United States.svg	Verenigde Staten
691	puzzel	Hoeveel ton weegt een volwassen blauwe vinvis?	Blue Whale 001 noaa body color.jpg	Blauwe vinvis
692	puzzel	Hoeveel bedrijven bevat de S&P 500-index?	S and P 500 daily linear chart 1950 to 2016.png	S&P 500
694	puzzel	Hoeveel bedrijven vormen de Nasdaq-100-index?	NASDAQ-100-1985to2015.svg	Nasdaq-100
698	puzzel	Hoeveel landen gebruiken de euro als officiële munt?	Landen, parochiekerk Sint-Gertrudis oeg43399 foto6 2015-06-09 13.26.jpg	Landen
700	puzzel	Hoeveel munten telt een volledige set eurocent- en euromunten?	Euro coins line.jpg	Euromunten
702	puzzel	Hoeveel verschillende euromunten zijn er?	Euro coins line.jpg	Euromunten
707	puzzel	Hoeveel gram suiker zit er in een Amerikaans blikje Coca-Cola van 355 ml?	15-09-26-RalfR-WLC-0098 - Coca-Cola glass bottle (Germany).jpg	Coca-Cola
709	puzzel	Hoeveel kilocalorieën bevat een Amerikaanse McDonald’s cheeseburger?	McDonald's Golden Arches.svg	McDonald's
710	puzzel	Hoeveel miljoen zakken koffie produceert Brazilië per jaar?	Coat of arms of Brazil.svg	Brazilië
712	puzzel	Hoeveel kilogram rundvlees eet een Argentijn per jaar?	LocationArgentina2.svg	Argentinië
720	puzzel	Hoeveel procent cacao heeft standaard pure chocolade?	Chocolate.jpg	Chocolade
721	puzzel	Hoeveel procent van de wereldcacao komt uit West-Afrika?	UN Macroregion Western Africa.svg	West-Afrika
723	puzzel	Hoeveel soorten worst kent de Duitse keuken ongeveer?	Flag of Germany.svg	Duitsland
725	puzzel	Hoeveel kaassoorten produceert Frankrijk ongeveer?	Flag of France.svg	Frankrijk
741	puzzel	Hoeveel delen telt de Harry Potter filmreeks van Warner Bros?	Warner Bros. logo 2023.svg	Warner Bros.
752	puzzel	Hoeveel boeken bevat de Koran?	The Holy Quran.svg	Koran
753	puzzel	Hoeveel boeken bevat het Nieuwe Testament bij de protestante telling?	Mathis Gothart Grünewald 022.jpg	Nieuwe Testament
755	puzzel	Hoeveel dagen duurt de Ramadan maximaal?	Breaking the Fast (2) (27351979537).jpg	Ramadan
756	puzzel	Hoeveel dialogen van Plato zijn traditioneel bewaard gebleven?	Plato Silanion Musei Capitolini MC1377.jpg	Plato
760	puzzel	Hoeveel geboden telt de Thora volgens de miswot-telling?	Torah and jad.jpg	Thora
765	puzzel	Hoeveel paden telt het Achtvoudige Pad van het boeddhisme?	Hong Kong Budha.jpg	Boeddhisme
768	puzzel	Hoeveel soeras telt de Koran?	The Holy Quran.svg	Koran
772	puzzel	Hoeveel boogsegmenten telt het Colosseum per verdieping?	Colosseo 2020.jpg	Colosseum
774	puzzel	Hoeveel jaar duurde de bouw van de Dom van Keulen?	Kölner Dom und Hohenzollernbrücke Abenddämmerung (9706 7 8).jpg	Keulen
778	puzzel	Hoeveel kilometer lang is de Golden Gate Bridge hoofdspanssegment?	GoldenGateBridge-001.jpg	Golden Gate Bridge
783	puzzel	Hoeveel kilometer staaldraad zit er in beide hoofdkabels van de Golden Gate Bridge samen?	GoldenGateBridge-001.jpg	Golden Gate Bridge
785	puzzel	Hoeveel meter diep ligt de fundering van de Burj Khalifa ongeveer?	Dubai skyline 2015 (crop).jpg	Burj Khalifa
786	puzzel	Hoeveel meter hoog is de Elizabeth Tower, de toren van Big Ben?	Big-ben-1858.jpg	Big Ben
789	puzzel	Hoeveel meter hoog is de Christus Redentor standbeeld (met sokkel)?	Cristo Redentor - Rio de Janeiro, Brasil.jpg	Christus de Verlosser (Rio de Janeiro)
790	puzzel	Hoeveel meter hoog is de Christus de Verlosser inclusief sokkel?	Cristo Redentor - Rio de Janeiro, Brasil.jpg	Christus de Verlosser (Rio de Janeiro)
791	puzzel	Hoeveel meter hoog is de Eiffeltoren met antenne?	Tour Eiffel Wikimedia Commons.jpg	Eiffeltoren
793	puzzel	Hoeveel meter hoog is de Petronas Twin Tower?	Petronas Panorama II.jpg	Petronas Twin Towers
794	puzzel	Hoeveel meter hoog is de Shanghai Tower?	Shanghai tower dec 26, 2014.jpg	Shanghai Tower
796	puzzel	Hoeveel meter hoog is de Sydney Tower?	Sydney Tower 4.jpg	Sydney Tower
797	puzzel	Hoeveel meter hoog is de Taj Mahal?	Taj Mahal, Agra, India edit3.jpg	Taj Mahal
798	puzzel	Hoeveel meter hoog is de Tokyo Tower?	Tokyo Tower (11696649255).jpg	Tokiotoren
803	puzzel	Hoeveel meter lang is de langste overspanning van de Akashi Kaikyōbrug?	Akashi Bridge.JPG	Akashi-Kaikyo-brug
812	puzzel	Hoeveel stappen telt El Castillo van Chichen Itza in totaal inclusief de top?	KukulcanTempleChichénItzá.jpg	Chichén Itzá
814	puzzel	Hoeveel stenen beelden staan er in het Terracottaleger ongeveer?	Xian guerreros terracota general.JPG	Terracottaleger
816	puzzel	Hoeveel tegels bedekken het dak van het Sydney Opera House?	Sydney Opera House Sails.jpg	Sydney Opera House
817	puzzel	Hoeveel ton ijzer werd gebruikt voor de Eiffeltoren?	Tour Eiffel Wikimedia Commons.jpg	Eiffeltoren
821	puzzel	Hoeveel verdiepingen heeft One World Trade Center?	World Trade Center, New York City - aerial view (March 2001).jpg	World Trade Center (1973-2001)
822	puzzel	Hoeveel verdiepingen heeft de Eureka Tower in Melbourne?	Eureka Tower, August 2010.png	Eureka Tower
823	puzzel	Hoeveel verdiepingen heeft de Gran Torre Santiago in Chili (tallest in Latijns-Amerika)?	Montaje de Santiago de Chile (202103220).jpg	Santiago (Chili)
824	puzzel	Hoeveel verdiepingen heeft de Q1 Tower in Gold Coast (tallest in Australië)?	Gold Coast,QLD.jpg	Gold Coast
828	puzzel	Hoeveel zuilen had het oorspronkelijke Parthenon volgens de klassieke indeling?	The Parthenon in Athens.jpg	Parthenon
834	puzzel	Hoeveel Afrikaanse landen grenzen aan de Atlantische Oceaan?	Atlantic Ocean.png	Atlantische Oceaan
838	puzzel	Hoeveel duizend inwoners heeft Luxemburg?	Flag of Luxembourg.svg	Luxemburg (land)
840	puzzel	Hoeveel eilanden telt Fiji?	Flag of Fiji.svg	Fiji
841	puzzel	Hoeveel eilanden telt Papoea-Nieuw-Guinea ongeveer?	Flag of Papua New Guinea.svg	Papoea-Nieuw-Guinea
842	puzzel	Hoeveel eilanden omvat het Great Barrier Reef Marine Park ongeveer?	The dazzling colours of the Great Barrier Reef near Airlie Beach, Whitsunday Islands, Queensland.jpg	Groot Barrièrerif
843	puzzel	Hoeveel eilanden telt Indonesië officieel (2024)?	Flag of Indonesia.svg	Indonesië
844	puzzel	Hoeveel eilanden telt het Great Barrier Reef?	The dazzling colours of the Great Barrier Reef near Airlie Beach, Whitsunday Islands, Queensland.jpg	Groot Barrièrerif
849	puzzel	Hoeveel kilometer breed is de Sahara van noord naar zuid ongeveer op het breedste punt?	Sahara satellite hires.jpg	Sahara
853	puzzel	Hoeveel duizend kilometer lang is de Australische kustlijn?	Flag of Australia (converted).svg	Australië (land)
854	puzzel	Hoeveel kilometer lang is de Donau?	Donau Einzugsgebiet.png	Donau
855	puzzel	Hoeveel kilometer lang is de Ganges?	View of Ghats across the Ganges, Varanasi.jpg	Ganges (rivier)
859	puzzel	Hoeveel kilometer breed is de Kalahariwoestijn ongeveer?	Kalahari.jpg	Kalahari
860	puzzel	Hoeveel kilometer lang is de Kongo?	Flag of the Kingdom of Kongo according to Giovanni Cavazzi da Montecuccolo.svg	Koninkrijk Kongo
862	puzzel	Hoeveel kilometer lang is de Murray?	Murray A. US16 (10) (29236489603).jpg	Andy Murray
863	puzzel	Hoeveel kilometer lang is de Niger?	Niger (orthographic projection).svg	Niger
866	puzzel	Hoeveel kilometer lang is de Zambezi?	Zambezi River at junction of Namibia, Zambia, Zimbabwe & Botswana.jpg	Zambezi
869	puzzel	Hoeveel kilometer lang is de kustlijn van de Middellandse Zee ongeveer?	Locatie Middellandse Zee.PNG	Middellandse Zee
870	puzzel	Hoeveel kilometer lang is het Tanganyikameer ongeveer?	Lake tanganyika.jpg	Tanganyikameer
912	puzzel	Hoeveel landen grenzen aan de Middellandse Zee?	Locatie Middellandse Zee.PNG	Middellandse Zee
919	puzzel	Hoeveel landen liggen er aan de Middellandse Zee (Noord-Afrika + Europa + Azië)?	Locatie Middellandse Zee.PNG	Middellandse Zee
920	puzzel	Hoeveel landen telt Europa?	Europe (orthographic projection).svg	Europa (werelddeel)
922	puzzel	Hoeveel landen telt Afrika?	Africa (orthographic projection).svg	Afrika
929	puzzel	Hoeveel meter breed zijn de Victoriawatervallen?	VicFalls.jpg	Victoriawatervallen
930	puzzel	Hoeveel meter diep is de Grand Canyon op het diepste punt?	Canyon River Tree (165872763).jpeg	Grand Canyon
932	puzzel	Hoeveel meter hoog is Mount Cook (Aoraki)?	Mtcook1600x1200.jpg	Mount Cook
936	puzzel	Hoeveel meter hoog is Uluru?	Uluru, helicopter view, cropped.jpg	Uluru
939	puzzel	Hoeveel meter hoog is de Kilimanjaro?	Kilimanjaro from Amboseli.jpg	Kilimanjaro (berg)
943	puzzel	Hoeveel meter hoog zijn de Victoriawatervallen?	VicFalls.jpg	Victoriawatervallen
947	puzzel	Hoeveel miljoen inwoners heeft Brazilië?	Coat of arms of Brazil.svg	Brazilië
949	puzzel	Hoeveel miljoen inwoners heeft Colombia?	Flag of Colombia.svg	Colombia
950	puzzel	Hoeveel miljoen inwoners heeft Mexico?	Flag of Mexico.svg	Mexico (land)
952	puzzel	Hoeveel miljoen inwoners heeft Peru?	Flag of Peru.svg	Peru
953	puzzel	Hoeveel nationale parken telt Australië ongeveer?	Flag of Australia (converted).svg	Australië (land)
954	puzzel	Hoeveel nationale parken telt de Verenigde Staten?	Flag of the United States.svg	Verenigde Staten
956	puzzel	Hoeveel talen erkent India als officiële taal?	Flag of India.svg	India
958	puzzel	Hoeveel prefecturen heeft Japan?	Flag of Japan.svg	Japan
959	puzzel	Hoeveel procent van Australië is woestijn of droog gebied?	Flag of Australia (converted).svg	Australië (land)
961	puzzel	Hoeveel provincies telt China?	The Great Wall pic 1.jpg	China
963	puzzel	Hoeveel regio's telt Nieuw-Zeeland?	Flag of New Zealand.svg	Nieuw-Zeeland
965	puzzel	Hoeveel staten liggen er op het Noord-Amerikaanse vasteland van de VS (exclusief Alaska en Hawaii)?	Map of USA HI.svg	Hawaï
982	puzzel	Wat is de lengte van de rivier de Nijl in kilometers?	Along the Nile (2428700250).jpg	Nijl
987	puzzel	Hoeveel Spartanen verdedigden Thermopylae volgens de bekende historische overlevering?	InscriptieTherm.jpg	Thermopylae
991	puzzel	Hoeveel dagen duurde de D-Day-invasie tot de bevrijding van Parijs?	La Tour Eiffel vue de la Tour Saint-Jacques, Paris août 2014 (2).jpg	Parijs
1000	puzzel	Hoeveel jaar duurde de Honderdjarige Oorlog tussen Engeland en Frankrijk?	Siege orleans.jpg	Honderdjarige Oorlog
1006	puzzel	Hoeveel kilometer lang was de historische Zijderoute ongeveer?	Silk route.jpg	Zijderoute
1009	puzzel	Hoeveel mensen bezochten de Wereldtentoonstelling van 1889 in Parijs?	La Tour Eiffel vue de la Tour Saint-Jacques, Paris août 2014 (2).jpg	Parijs
1010	puzzel	Hoeveel mensen bezochten de Wereldtentoonstelling van 1893 in Chicago?	Illinois in United States.svg	Chicago
1011	puzzel	Hoeveel mensen dienden in totaal in het Amerikaanse leger tijdens de Tweede Wereldoorlog?	WW2Montage.PNG	Tweede Wereldoorlog
1012	puzzel	Hoeveel mensen stierven bij de uitbarsting van de Vesuvius in Pompeï volgens een veelgebruikte schatting?	Veduta Scavi Pompei 3.JPG	Pompeï
1015	puzzel	Hoeveel ridders namen volgens de traditionele telling deel aan de Slag bij Hastings?	Bayeux Tapestry scene57 Harold death.jpg	Slag bij Hastings
1016	puzzel	Hoeveel schepen had de Atheense vloot tijdens de Slag bij Salamis ongeveer?	Battle of salamis.png	Slag bij Salamis
1017	puzzel	Hoeveel schepen telde de vloot waarmee Willem de Veroveraar Engeland binnenviel?	Bayeux Tapestry William.jpg	Willem de Veroveraar
1019	puzzel	Hoeveel soldaten namen deel aan de landing in Normandië op D-Day?	1944 NormandyLST.jpg	D-day
1020	puzzel	Hoeveel soldaten telde het Britse leger bij de Slag bij Waterloo ongeveer?	Caletones.jpg	Slag
1022	puzzel	Hoeveel ton bommen werd tijdens de Blitz op Londen afgeworpen?	London collage.jpg	Londen
1025	puzzel	Hoeveel vliegtuigen ondersteunden D-Day?	1944 NormandyLST.jpg	D-day
1027	puzzel	In welk jaar begon de Koreaanse oorlog?	Lopez scaling seawall.jpg	Koreaanse Oorlog
1028	puzzel	In welk jaar eindigde de Eerste Wereldoorlog?	EDDY-CILONA.JPG	Eerste Wereldoorlog
1029	puzzel	In welk jaar eindigde de Tweede Wereldoorlog in Azië met de capitulatie van Japan?	WW2Montage.PNG	Tweede Wereldoorlog
1030	puzzel	In welk jaar had Zuid-Afrika zijn eerste vrije verkiezingen na de apartheid?	South Africa (centered orthographic projection).svg	Zuid-Afrika
1031	puzzel	In welk jaar landde Apollo 11 op de maan?	Apollo 11 insignia.png	Apollo 11
1032	puzzel	In welk jaar voor Christus viel Carthago in handen van de Romeinen?	Tunisie Carthage Ruines 08.JPG	Carthago
1034	puzzel	In welk jaar viel de Berlijnse Muur?	East Germans Fortify Border - Flickr - The Central Intelligence Agency.jpg	Berlijnse Muur
1035	puzzel	In welk jaar viel het Azteekse rijk aan de Spanjaarden onder Cortés?	Retrato de Hernán Cortés.jpg	Hernán Cortés
1036	puzzel	In welk jaar viel het Inca-rijk aan de Spanjaarden onder Pizarro?	Pizarro.jpg	Francisco Pizarro
1037	puzzel	In welk jaar viel het West-Romeinse Rijk traditioneel?	CompositeJesus.JPG	Jezus (traditioneel-christelijk)
1039	puzzel	In welk jaar werd Bolivia onafhankelijk van Spanje?	Flag of Spain.svg	Spanje
1040	puzzel	In welk jaar werd Brazilië officieel onafhankelijk van Portugal?	Flag of Portugal.svg	Portugal
1042	puzzel	In welk jaar werd Colombia onafhankelijk van Spanje?	Flag of Spain.svg	Spanje
1043	puzzel	In welk jaar werd Egypte officieel onafhankelijk van Groot-Brittannië?	Flag of Great Britain (1707–1800).svg	Koninkrijk Groot-Brittannië
1045	puzzel	In welk jaar werd India onafhankelijk van Groot-Brittannië?	Flag of Great Britain (1707–1800).svg	Koninkrijk Groot-Brittannië
1046	puzzel	In welk jaar werd Kenia onafhankelijk van Groot-Brittannië?	Flag of Great Britain (1707–1800).svg	Koninkrijk Groot-Brittannië
1048	puzzel	In welk jaar werd Nelson Mandela vrijgelaten uit de gevangenis?	Nelson Mandela-2008 (edit).jpg	Nelson Mandela
1049	puzzel	In welk jaar werd Nigeria onafhankelijk?	Flag of Nigeria.svg	Nigeria
1051	puzzel	In welk jaar werd Peru onafhankelijk van Spanje?	Flag of Spain.svg	Spanje
1053	puzzel	In welk jaar werd Zuid-Afrika officieel anti-apartheid democratie met Mandela als president?	Nelson Mandela-2008 (edit).jpg	Nelson Mandela
1055	puzzel	In welk jaar werd de Berlijnse Muur gebouwd?	East Germans Fortify Border - Flickr - The Central Intelligence Agency.jpg	Berlijnse Muur
1056	puzzel	In welk jaar werd de Eerste Franse Republiek uitgeroepen?	France 1800.png	Eerste Franse Republiek
1057	puzzel	In welk jaar werd de Volksrepubliek China gesticht?	People's Republic of China (orthographic projection).svg	Volksrepubliek China
1059	puzzel	Wat is de officiële hoogte van de Mount Everest in meters?	Mt Everest Aerial.jpg	Mount Everest
1060	puzzel	Hoeveel bezoekers ontving het Louvre in 2023?	Louvre-Bannenhaff-mat-Pyramid--w.jpg	Louvre
1062	puzzel	Hoeveel kilogram weegt de Moai-beelden op Paaseiland gemiddeld?	Easter Island map-nl.svg	Paaseiland
1064	puzzel	Hoeveel UNESCO-werelderfgoedlocaties heeft China (stand 2026)?	The Great Wall pic 1.jpg	China
1065	puzzel	Hoeveel UNESCO-werelderfgoedlocaties heeft Duitsland (stand 2026)?	Flag of Germany.svg	Duitsland
1068	puzzel	Hoeveel schilderijen van Vincent van Gogh bezit het Van Gogh Museum?	Logo - Van Gogh Museum.png	Van Gogh Museum
1074	puzzel	Hoeveel dagen duurt de zwangerschap van een geit?	Nederlandse Landgeit geiten.jpg	Geit
1075	puzzel	Hoeveel dagen duurt de zwangerschap van een varken?	Pig 8907.JPG	Varken (tam)
1076	puzzel	Hoeveel kilogram staal zit er ongeveer in een gemiddelde auto?	Vw kaefer ovali v sst.jpg	Auto
1079	puzzel	Hoeveel ton aluminium wordt wereldwijd jaarlijks geproduceerd?	Aluminium metal pieces.jpg	Aluminium
1080	puzzel	Hoeveel ton cement wordt wereldwijd jaarlijks geproduceerd?	Betonmortel bedrijven Cementbouw.JPG	Cement (bouwmateriaal)
1086	puzzel	Welk percentage van het wereldwijde staal wordt geproduceerd in China?	The Great Wall pic 1.jpg	China
1087	puzzel	Hoeveel KFC-restaurants zijn er wereldwijd ongeveer?	Kentucky Fried Chicken 201x logo.svg	KFC (restaurant)
1089	puzzel	Hoeveel winkels heeft Lidl wereldwijd ongeveer?	Lidl-Logo.svg	Lidl
1091	puzzel	Hoeveel delen CO₂ per miljoen delen lucht zat er rond het pre-industriële referentiejaar in de atmosfeer?	Carbon-dioxide-2D-dimensions.png	Koolstofdioxide
1097	puzzel	Hoeveel soorten worden volgens de gangbare schatting met uitsterven bedreigd?	De bedreigde zwaan Rijksmuseum SK-A-4.jpeg	De bedreigde zwaan
1098	puzzel	Hoeveel ton plastic afval produceert de mensheid jaarlijks volgens UNEP ongeveer?	United Nations Environment Programme Logo.svg	VN-Milieuprogramma
1099	puzzel	Welk percentage van het mariene afval bestaat volgens UNEP minstens uit plastic?	United Nations Environment Programme Logo.svg	VN-Milieuprogramma
1107	puzzel	Hoeveel albums bracht AC/DC uit tot 2024 (studioalbums)?	Logo ACDC.svg	AC/DC
1115	puzzel	Hoeveel pianosonates schreef Beethoven?	Beethoven.jpg	Ludwig van Beethoven
1129	puzzel	Hoeveel studioalbums bracht Kylie Minogue uit?	Kylie Minogue 1 (4515615).jpg	Kylie Minogue
1135	puzzel	Hoeveel graden Celsius kan een bliksemschicht bereiken?	Melting ice thermometer.jpg	Celsius
1138	puzzel	Hoeveel meter diep is de Challengerdiepte in de Marianentrog?	Marianatrenchmap.png	Marianentrog
1141	puzzel	Wat is de snelheid van het geluid in droge lucht bij 20°C in km/u?	Latin letter C.svg	C
1142	puzzel	Wat is de snelheid van het licht in vacuüm ongeveer?	Kolbenluftpumpe hg.jpg	Vacuum
1154	puzzel	Hoeveel duizend bladzijden telt het Woordenboek der Nederlandsche Taal?	Woordenboekfragment.jpg	Woordenboek
1162	puzzel	Hoeveel duizend inwoners heeft Rotterdam?	A view of Rotterdam, taken from the roof of the Maassilo, Rotterdam, The Netherlands.jpg	Rotterdam
1167	puzzel	Hoeveel graden Celsius is de gemiddelde zomertemperatuur in Nederland?	EU-Netherlands.svg	Nederland
1173	puzzel	Hoeveel duizend inwoners heeft Amsterdam?	Imagen de los canales concéntricos en Ámsterdam.png	Amsterdam
1181	puzzel	Hoeveel kilometer lang is de Betuweroute goederenspoorlijn?	Spoorlijn Kijfhoek - Zevenaar.png	Betuweroute
1183	puzzel	Hoeveel kilometer lang is de Elfstedentocht?	Bartlehiem v.l.n.r. Hans Bouma , Jan Kooiman , Rein Jonker , Nanne Semplonius, Bestanddeelnr 933-5792.jpg	Elfstedentocht
1184	puzzel	Hoeveel kilometer lang is de HSL-Zuid hogesnelheidslijn?	HSL4.png	Hogesnelheidslijn Schiphol - Antwerpen
1185	puzzel	Hoeveel kilometer van de Maas ligt in Nederland?	EU-Netherlands.svg	Nederland
1186	puzzel	Hoeveel kilometer lang is het metronet van Rotterdam?	A view of Rotterdam, taken from the roof of the Maassilo, Rotterdam, The Netherlands.jpg	Rotterdam
1207	puzzel	Hoeveel leden heeft de Nederlandse Tweede Kamer?	Logo of the Tweede Kamer.svg	Tweede Kamer der Staten-Generaal
1209	puzzel	Hoeveel liter melk geeft een gemiddelde Nederlandse koe per jaar?	EU-Netherlands.svg	Nederland
1212	puzzel	Hoeveel meter diep is het Zeelandbrug het hoogste punt voor schepen?	Zeelandbrug.jpg	Zeelandbrug
1213	puzzel	Hoeveel meter hoog is de Domtoren in Utrecht?	Utrecht (16295236803).jpg	Utrecht (stad)
1214	puzzel	Hoeveel meter hoog is de Euromast vanaf de grond tot de top van de Space Tower?	Rotterdam euromast.jpg	Euromast
1215	puzzel	Hoeveel meter hoog is De Zalmhaven in Rotterdam?	A view of Rotterdam, taken from the roof of the Maassilo, Rotterdam, The Netherlands.jpg	Rotterdam
1231	puzzel	Hoeveel procent van de Nederlanders woont in de Randstad?	Randstad.png	Randstad (gebied)
1239	puzzel	Hoeveel tekeningen van Rembrandt bezit het Rijksmuseum volgens de huidige collectie-informatie?	Amsterdam - Rijksmuseum.jpg	Rijksmuseum Amsterdam
1243	puzzel	Hoeveel verdiepingen heeft De Rotterdam van architect Rem Koolhaas?	Rem Koolhaas 2013.jpg	Rem Koolhaas
1244	puzzel	Hoeveel dagvlindersoorten komen voor in Nederland?	EU-Netherlands.svg	Nederland
1253	puzzel	Hoeveel departementen telt Colombia (2024)?	Flag of Colombia.svg	Colombia
1254	puzzel	Hoeveel departementen telt Peru?	Flag of Peru.svg	Peru
1255	puzzel	Hoeveel kiesmannen heeft Californië (2024)?	Map of USA CA.svg	Californië
1256	puzzel	Hoeveel kiesmannen heeft Texas (2024)?	Flag of Texas.svg	Texas
1266	puzzel	Hoeveel landen nemen er deel aan de Schengenzone (2024)?	Schengen Area participation.svg	Verdragen van Schengen
1269	puzzel	Hoeveel landen zijn lid van de CELAC?	Comunidad de Estados Latinoamericanos y Caribeños.PNG	Gemeenschap van Latijns-Amerikaanse en Caraïbische Staten
1271	puzzel	Hoeveel landen zijn lid van het Pacific Islands Forum?	Members of Pacific Island Forum.svg	Pacific Islands Forum
1272	puzzel	Hoeveel landen zijn lid van de Afrikaanse Unie (2024)?	Flag of the African Union.svg	Afrikaanse Unie
1278	puzzel	Hoeveel leden telt het Amerikaanse Huis van Afgevaardigden?	Seal of the United States House of Representatives.svg	Huis van Afgevaardigden (Verenigde Staten)
1279	puzzel	Hoeveel leden telt het Britse House of Commons?	CarlCox.jpg	Carl Cox
1280	puzzel	Hoeveel leden telt het Britse Lagerhuis?	House of Commons UK.svg	Lagerhuis (Verenigd Koninkrijk)
1281	puzzel	Hoeveel leden telt het Europees Parlement in de zittingsperiode 2024–2029?	EP-logo-CMYK NL.svg	Europees Parlement
1293	puzzel	Hoeveel zetels telt de Nieuw-Zeelandse Kamer van Afgevaardigden?	Flag of New Zealand.svg	Nieuw-Zeeland
1294	puzzel	Hoeveel zetels telt het Australische Huis van Afgevaardigden?	Flag of Australia (converted).svg	Australië (land)
1295	puzzel	Hoeveel zetels telt het Europees Parlement (2024-2029)?	EP-logo-CMYK NL.svg	Europees Parlement
1296	puzzel	Hoeveel zetels telt het Zuid-Afrikaanse parlement (National Assembly)?	Debating chamber, Y Senedd - geograph.org.uk - 1375999.jpg	Parlement van Wales
1298	puzzel	Hoe hoog was de hoogste robot ooit gebouwd in meters?	Atlas frontview 2013.jpg	Robot
1307	puzzel	Hoe zwaar was de grootste chocoladereep ooit in kilogram?	Reclamespeldje voor Bros (Bensdorp).jpg	Bros (chocoladereep)
1309	puzzel	Hoe zwaar was de zwaarste schildpad ooit in kilogram?	Hawaii turtle 2.JPG	Schildpadden
1311	puzzel	Hoeveel jongleurs deden mee aan het grootste jongleerrecord?	The Lute player (from Ballet de la nuit).jpg	Jongleur (joculator)
1312	puzzel	Hoeveel liter soep bevatte de grootste kom soep ooit?	Vegetable beef barley soup.jpg	Soep (voedsel)
1313	puzzel	Hoeveel mensen deden mee aan het grootste waterballonnengevecht ooit?	Human.svg	Mens
1316	puzzel	Hoeveel hotels heeft Hilton wereldwijd ongeveer?	Paris Hilton at the US Capitol (cropped).jpg	Paris Hilton
1317	puzzel	Hoeveel miljoen passagiers verwerkt Atlanta Airport (Hartsfield-Jackson, de drukste luchthaven ter wereld) per jaar?	Atlanta Airport Aerial Angle (31435634003) (2).jpg	Hartsfield-Jackson Atlanta International Airport
1320	puzzel	Hoeveel elektronen heeft een chloride-ion, Cl⁻?	Chlorine in bottle.jpg	Chlorine
1321	puzzel	Hoeveel elektronen kan de derde elektronenschil maximaal bevatten?	Standard Model of Elementary Particles-nl.svg	Elektron
1331	puzzel	Hoeveel gekleurde vierkantjes telt een standaard Rubik's kubus aan de buitenkant?	Rubik's cube.svg	Rubiks kubus
1332	puzzel	Hoeveel grondstoffenkaarten zitten er in het basisspel van Catan?	Nepomuk 280 - Osadníci z Katanu.jpg	Catan
1336	puzzel	Hoeveel miljard LEGO-steentjes zijn er sinds 1958 wereldwijd in totaal geproduceerd?	Lego Color Bricks.jpg	LEGO
1338	puzzel	Hoeveel speelvelden heeft een standaard schaakbord?	Chess board opening staunton.jpg	Schaakbord
1340	puzzel	Hoeveel velden telt een Engels dambord van 8 bij 8?	William Shakespeare - Sonnet XXX - Rapenburg 30, Leiden (cropped).JPG	Engels
1344	puzzel	Hoeveel Copa América titels won Argentinië tot 2024?	Copa america trofeo.jpg	Copa América
1348	puzzel	Hoeveel gouden medailles won Australië op de Olympische Zomerspelen 2024?	Épreuve Cyclisme Route Course Ligne Masculine Jeux Olympiques 2024 Rue Saint Éleuthère - Paris XVIII (FR75) - 2024-08-03 - 168.jpg	Olympische Zomerspelen
1359	puzzel	Hoeveel keer werd de FIFA World Cup georganiseerd tot en met 2022?	Maffiabendes.svg	Georganiseerde misdaad
1366	puzzel	Hoeveel keer won Frankrijk de Tour de France bij de mannen tot 2024?	Flag of France.svg	France
1373	puzzel	Hoeveel kilometer lang is een marathon?	BSK CSOB MARATON046 (33791445325).jpg	Marathon
1377	puzzel	Hoeveel landen doen mee aan het FIFA World Cup 2026?	Hubble ultra deep field.jpg	World
1378	puzzel	Hoeveel meter breed mag een internationaal voetbalveld maximaal zijn?	Braunvieh am Simplonpass, Schweiz.jpg	Breed
1383	puzzel	Hoeveel meter sprintt een schaatser op de kortebaan-afstand?	Map of Melbourne and environs electric railway time zones.jpg	Afstand
